학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,컴퓨터공학세미나,"월15:00-15:50【미지정】,수17:00-17:50【미지정】","월15:00-15:50【미지정】,수17:00-17:50【미지정】",국제어수업,0,75,1
2025학년도 1학기,컴퓨터비전,"화12:00-13:15【85702】,화13:30-14:45【85702】","화12:00-13:15【85702】,화13:30-14:45【85702】",일반수업,85,0,0
2025학년도 1학기,신호및시스템,"화10:30-11:45【21502】,목09:00-10:15【21502】","화10:30-11:45【21502】,목09:00-10:15【21502】",국제어수업,21,103,1
2025학년도 1학기,신호및시스템,"화10:30-11:45【21534】,목09:00-10:15【21534】","화10:30-11:45【21534】,목09:00-10:15【21534】",국제어수업,21,103,1
2025학년도 1학기,신호및시스템,"화10:30-11:45【21514】,목09:00-10:15【21514】","화10:30-11:45【21514】,목09:00-10:15【21514】",국제어수업,21,103,1
2025학년도 1학기,신호및시스템,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",국제어수업,0,103,1
2025학년도 1학기,디지털통신,목15:00-16:15【22111】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【22111】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2025학년도 1학기,제어공학기초,"월13:30-14:45【21514】,수12:00-13:15【21514】","월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업,21,0,0
2025학년도 1학기,제어공학기초,"화12:00-13:15【22410】,목13:30-14:45【22410】","화12:00-13:15【22410】,목13:30-14:45【22410】",국제어수업,22,0,0
2025학년도 1학기,동역학,"월12:00-13:15【22310】,수13:30-14:45【22310】","월12:00-13:15【22310】,수13:30-14:45【22310】",국제어수업,22,156,2
2025학년도 1학기,스마트카융합종합설계,"화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】","화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】",일반수업,22,0,0
2025학년도 1학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,0,0
2025학년도 1학기,기술경영개론,"토09:00-10:15【미지정】,토10:30-11:45【미지정】","토09:00-10:15【미지정】,토10:30-11:45【미지정】",일반수업,0,0,0
2025학년도 1학기,생산관리,월10:30-11:45【26223】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26223】【1.5h(ON)+1.5h(OFF)】,일반수업,26,65,1
2025학년도 1학기,데이터마이닝,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,131,1
2025학년도 1학기,차세대컴퓨터인터페이스설계,화12:00-13:15【26512】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【26512】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2025학년도 1학기,정보시각화,목10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 1학기,공격관점보안,"화15:00-16:15【26310】,목16:30-17:45【26310】","화15:00-16:15【26310】,목16:30-17:45【26310】",일반수업,26,0,0
2025학년도 1학기,강화학습개론,"화16:30-17:45【85718】,목15:00-16:15【85718】","화16:30-17:45【85718】,목15:00-16:15【85718】",일반수업,85,0,0
2025학년도 1학기,추천시스템개론,"수12:00-13:15【85605】,수13:30-14:45【85605】","수12:00-13:15【85605】,수13:30-14:45【85605】",국제어수업,85,0,0
2025학년도 1학기,ICT표준기술과실전,화15:00-16:15【85777】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【85777】【1.5h(ON)+1.5h(OFF)】,일반수업,85,0,0
2025학년도 1학기,논리회로,목10:30-11:45【21534】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【21534】【1.5h(ON)+1.5h(OFF)】,일반수업,21,256,3
2025학년도 1학기,논리회로,목10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,국제어수업,21,256,3
2025학년도 1학기,논리회로,화10:30-11:45【22409】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22409】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,256,3
2025학년도 1학기,논리회로,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,256,3
2025학년도 1학기,논리회로,"화15:00-16:15【400126】,목16:30-17:45【400126】【1h(ON)+3h(OFF)[4시간]】","화15:00-16:15【400126】,목16:30-17:45【400126】【1h(ON)+3h(OFF)[4시간]】",국제어수업,40,256,3
2025학년도 1학기,논리회로,"월13:30-14:45【85602】,수12:00-13:15【85602】","월13:30-14:45【85602】,수12:00-13:15【85602】",일반수업,85,256,3
2025학년도 1학기,논리회로설계실험,"월18:00-18:50【22202】,월19:00-19:50【22202】,월20:00-20:50【22202】,월21:00-21:45【22202】","월18:00-18:50【22202】,월19:00-19:50【22202】,월20:00-20:50【22202】,월21:00-21:45【22202】",국제어수업,22,39,1
2025학년도 1학기,논리회로설계실험,"화18:00-18:50【22202】,화19:00-19:50【22202】,화20:00-20:50【22202】,화21:00-21:45【22202】","화18:00-18:50【22202】,화19:00-19:50【22202】,화20:00-20:50【22202】,화21:00-21:45【22202】",국제어수업,22,39,1
2025학년도 1학기,논리회로설계실험,"수18:00-18:50【22202】,수19:00-19:50【22202】,수20:00-20:50【22202】,수21:00-21:45【22202】","수18:00-18:50【22202】,수19:00-19:50【22202】,수20:00-20:50【22202】,수21:00-21:45【22202】",국제어수업,22,39,1
2025학년도 1학기,논리회로설계실험,"월18:00-18:50【400126】,월19:00-19:50【400213】,월20:00-20:50【400213】,월21:00-21:45【400213】","월18:00-18:50【400126】,월19:00-19:50【400213】,월20:00-20:50【400213】,월21:00-21:45【400213】",일반수업,40,39,1
2025학년도 1학기,논리회로설계실험,"화18:00-18:50【400126】,화19:00-19:50【400213】,화20:00-20:50【400213】,화21:00-21:45【400213】","화18:00-18:50【400126】,화19:00-19:50【400213】,화20:00-20:50【400213】,화21:00-21:45【400213】",일반수업,40,39,1
2025학년도 1학기,논리회로설계실험,"수18:00-18:50【400126】,수19:00-19:50【400213】,수20:00-20:50【400213】,수21:00-21:45【400213】","수18:00-18:50【400126】,수19:00-19:50【400213】,수20:00-20:50【400213】,수21:00-21:45【400213】",일반수업,40,39,1
2025학년도 1학기,정보통신연구학점1,미지정,미지정,일반수업,0,73,24
2025학년도 1학기,마이크로프로세서,"화16:30-17:45【22409】,목15:00-16:15【22409】","화16:30-17:45【22409】,목15:00-16:15【22409】",국제어수업,22,113,2
2025학년도 1학기,마이크로프로세서,수15:00-16:15【400118】【1.5h(ON)+1.5h(OFF)】,수15:00-16:15【400118】【1.5h(ON)+1.5h(OFF)】,국제어수업,40,113,2
2025학년도 1학기,디지털시스템,"금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】","금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,42,1
2025학년도 1학기,디지털시스템,"토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】","토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,42,1
2025학년도 1학기,마이크로프로세서실험,"월18:00-19:10【330102】,월19:20-20:30【330102】【1h(ON)+3h(OFF)】","월18:00-19:10【330102】,월19:20-20:30【330102】【1h(ON)+3h(OFF)】",일반수업,33,42,1
2025학년도 1학기,종합설계프로젝트,"월18:00-19:15【85731】,월19:30-20:45【85731】","월18:00-19:15【85731】,월19:30-20:45【85731】",일반수업,85,92,2
2025학년도 1학기,종합설계프로젝트,"화09:00-10:15【22003】,화10:30-11:45【22003】","화09:00-10:15【22003】,화10:30-11:45【22003】",일반수업,22,92,2
2025학년도 1학기,종합설계프로젝트,"화18:00-19:15【85731】,화19:30-20:45【85731】","화18:00-19:15【85731】,화19:30-20:45【85731】",일반수업,85,92,2
2025학년도 1학기,종합설계프로젝트,"수18:00-19:15【22203】,수19:30-20:45【85731】","수18:00-19:15【22203】,수19:30-20:45【85731】",일반수업,22,92,2
2025학년도 1학기,종합설계프로젝트,"목18:00-19:15【22003】,목19:30-20:45【22003】","목18:00-19:15【22003】,목19:30-20:45【22003】",일반수업,22,92,2
2025학년도 1학기,종합설계프로젝트,"금12:00-13:15【23529】,금13:30-14:45【23529】","금12:00-13:15【23529】,금13:30-14:45【23529】",일반수업,23,92,2
2025학년도 1학기,스마트카공학개론,"금09:00-10:15【23217】,금10:30-11:45【23217】","금09:00-10:15【23217】,금10:30-11:45【23217】",일반수업,23,92,1
2025학년도 1학기,기계학습개론,화10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,국제어수업,40,0,0
2025학년도 1학기,자율주행캡스톤디자인,금15:00-16:15【330102】【1.5h(ON)+1.5h(OFF)】,금15:00-16:15【330102】【1.5h(ON)+1.5h(OFF)】,일반수업,33,0,0
2025학년도 1학기,양자컴퓨팅개론,수12:00-13:15【85613】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【85613】【1.5h(ON)+1.5h(OFF)】,일반수업,85,61,1
2025학년도 1학기,인공지능반도체공정기술,"금12:00-13:15【400102】,금13:30-14:45【400102】","금12:00-13:15【400102】,금13:30-14:45【400102】",일반수업,40,0,0
2025학년도 1학기,스마트팩토리캡스톤디자인1,"화18:00-19:15【22005】,화19:30-20:45【22005】","화18:00-19:15【22005】,화19:30-20:45【22005】",일반수업,22,0,0
2025학년도 1학기,기초전기회로1,"화13:30-14:45【400126】,목12:00-13:15【400126】","화13:30-14:45【400126】,목12:00-13:15【400126】",일반수업,40,0,0
2025학년도 1학기,디지털시스템설계,"월10:30-11:45【400118】,수09:00-10:15【400118】","월10:30-11:45【400118】,수09:00-10:15【400118】",일반수업,40,0,0
2025학년도 1학기,시스템프로그램,"월10:30-11:45【85613】,수09:00-10:15【85613】","월10:30-11:45【85613】,수09:00-10:15【85613】",국제어수업,85,0,0
2025학년도 1학기,시스템프로그램,"월10:30-11:45【26312】,수09:00-10:15【26312】","월10:30-11:45【26312】,수09:00-10:15【26312】",일반수업,26,0,0
2025학년도 1학기,시스템프로그램,화12:00-13:15【26312】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【26312】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2025학년도 1학기,오토마타,화12:00-13:15【85613】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【85613】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,25,1
2025학년도 1학기,자료구조개론,"월09:00-10:15【85613】,수10:30-11:45【85613】","월09:00-10:15【85613】,수10:30-11:45【85613】",국제어수업,85,234,2
2025학년도 1학기,자료구조개론,"수09:00-10:15【미지정】,수10:30-11:45【미지정】","수09:00-10:15【미지정】,수10:30-11:45【미지정】",일반수업,0,234,2
2025학년도 1학기,자료구조개론,"【모듈D】수09:00-10:15【85602】,수10:30-11:45【85602】","【모듈D】수09:00-10:15【85602】,수10:30-11:45【85602】",국제어수업,모듈D,234,2
2025학년도 1학기,알고리즘개론,수13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,일반수업,33,183,3
2025학년도 1학기,알고리즘개론,월10:30-11:45【85602】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【85602】【1.5h(ON)+1.5h(OFF)】,일반수업,85,183,3
2025학년도 1학기,오픈소스소프트웨어실습,"수18:00-18:50【26515】,수19:00-19:50【26515】,수20:00-20:50【26515】,수21:00-21:45【26515】","수18:00-18:50【26515】,수19:00-19:50【26515】,수20:00-20:50【26515】,수21:00-21:45【26515】",국제어수업,26,70,1
2025학년도 1학기,JAVA프로그래밍실습,"월18:00-18:50【85613】,월19:00-19:50【85613】,월20:00-20:50【85613】,월21:00-21:45【85613】","월18:00-18:50【85613】,월19:00-19:50【85613】,월20:00-20:50【85613】,월21:00-21:45【85613】",국제어수업,85,31,1
2025학년도 1학기,JAVA프로그래밍실습,"화18:00-18:50【85602】,화19:00-19:50【85602】,화20:00-20:50【85602】,화21:00-21:45【85602】","화18:00-18:50【85602】,화19:00-19:50【85602】,화20:00-20:50【85602】,화21:00-21:45【85602】",국제어수업,85,31,1
2025학년도 1학기,시스템프로그래밍실습,"수18:00-18:50【85613】,수19:00-19:50【85613】,수20:00-20:50【85613】,수21:00-21:45【85613】","수18:00-18:50【85613】,수19:00-19:50【85613】,수20:00-20:50【85613】,수21:00-21:45【85613】",국제어수업,85,0,0
2025학년도 1학기,문제해결,목16:30-17:45【85602】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【85602】【1.5h(ON)+1.5h(OFF)】,일반수업,85,89,1
2025학년도 1학기,소프트웨어공학개론,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,일반수업,85,123,2
2025학년도 1학기,소프트웨어공학개론,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",국제어수업,0,123,2
2025학년도 1학기,데이터베이스개론,"월12:00-13:15【26515】,수13:30-14:45【26515】","월12:00-13:15【26515】,수13:30-14:45【26515】",국제어수업,26,79,1
2025학년도 1학기,데이터베이스개론,"금09:00-10:15【미지정】,금10:30-11:45【미지정】","금09:00-10:15【미지정】,금10:30-11:45【미지정】",일반수업,0,79,1
2025학년도 1학기,데이터베이스개론,"월16:30-17:45【85602】,수15:00-16:15【85602】","월16:30-17:45【85602】,수15:00-16:15【85602】",일반수업,85,79,1
2025학년도 1학기,운영체제,목16:30-17:45【400102】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【400102】【1.5h(ON)+1.5h(OFF)】,국제어수업,40,109,2
2025학년도 1학기,운영체제,"화12:00-13:15【85602】,목13:30-14:45【85602】","화12:00-13:15【85602】,목13:30-14:45【85602】",일반수업,85,109,2
2025학년도 1학기,컴퓨터구조개론,"화13:30-14:45【85602】,목12:00-13:15【85602】","화13:30-14:45【85602】,목12:00-13:15【85602】",국제어수업,85,183,3
2025학년도 1학기,컴퓨터구조개론,"화10:30-11:45【85602】,목09:00-10:15【85602】","화10:30-11:45【85602】,목09:00-10:15【85602】",일반수업,85,183,3
2025학년도 1학기,프로그래밍언어,"월13:30-14:45【26310】,수12:00-13:15【26310】","월13:30-14:45【26310】,수12:00-13:15【26310】",국제어수업,26,0,0
2025학년도 1학기,프로그래밍언어,목15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,일반수업,85,0,0
2025학년도 1학기,컴퓨터그래픽스개론,화16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 1학기,인터넷서비스와정보보호,"화15:00-16:15【26312】,목16:30-17:45【26312】","화15:00-16:15【26312】,목16:30-17:45【26312】",일반수업,26,37,1
2025학년도 1학기,인공지능개론,수15:00-16:15【26312】【1.5h(ON)+1.5h(OFF)】,수15:00-16:15【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,205,3
2025학년도 1학기,인공지능개론,목10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,205,3
2025학년도 1학기,컴퓨터네트웍개론,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 1학기,소프트웨어특강1,수10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 1학기,정보보호개론,"화13:30-14:45【26312】,목12:00-13:15【26312】","화13:30-14:45【26312】,목12:00-13:15【26312】",국제어수업,26,80,2
2025학년도 1학기,확률과랜덤프로세스,수12:00-13:15【26312】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,31,1
2025학년도 1학기,캡스톤설계프로젝트,월15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,월15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,63,1
2025학년도 1학기,네트워크프로젝트,"화18:00-18:50【85613】,화19:00-19:50【85613】,화20:00-20:50【85613】,화21:00-21:45【85613】","화18:00-18:50【85613】,화19:00-19:50【85613】,화20:00-20:50【85613】,화21:00-21:45【85613】",일반수업,85,0,0
2025학년도 1학기,네트워크프로젝트,"목18:00-18:50【85613】,목19:00-19:50【85613】,목20:00-20:50【85613】,목21:00-21:45【85613】","목18:00-18:50【85613】,목19:00-19:50【85613】,목20:00-20:50【85613】,목21:00-21:45【85613】",일반수업,85,0,0
2025학년도 1학기,인공지능프로젝트,"월18:00-18:50【26310】,월19:00-19:50【26310】,월20:00-20:50【26310】,월21:00-21:45【26310】","월18:00-18:50【26310】,월19:00-19:50【26310】,월20:00-20:50【26310】,월21:00-21:45【26310】",일반수업,26,16,1
2025학년도 1학기,모바일앱프로그래밍실습,"월18:00-18:50【85702】,월19:00-19:50【85702】,월20:00-20:50【85702】,월21:00-21:45【85702】","월18:00-18:50【85702】,월19:00-19:50【85702】,월20:00-20:50【85702】,월21:00-21:45【85702】",국제어수업,85,15,1
2025학년도 1학기,모바일앱프로그래밍실습,"수18:00-18:50【85602】,수19:00-19:50【85602】,수20:00-20:50【85602】,수21:00-21:45【85602】","수18:00-18:50【85602】,수19:00-19:50【85602】,수20:00-20:50【85602】,수21:00-21:45【85602】",일반수업,85,15,1
2025학년도 1학기,기계학습원론,"월16:30-17:45【26310】,수15:00-16:15【26310】","월16:30-17:45【26310】,수15:00-16:15【26310】",일반수업,26,116,2
2025학년도 1학기,기계학습원론,"화10:30-11:45【26310】,목09:00-10:15【26310】","화10:30-11:45【26310】,목09:00-10:15【26310】",국제어수업,26,116,2
2025학년도 1학기,기계학습원론,목15:00-16:15【85602】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【85602】【1.5h(ON)+1.5h(OFF)】,일반수업,85,116,2
2025학년도 1학기,컴퓨터비전개론,"월12:00-13:15【85613】,수13:30-14:45【85613】","월12:00-13:15【85613】,수13:30-14:45【85613】",일반수업,85,69,1
2025학년도 1학기,심층신경망개론,목12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,자연어처리개론,"【모듈D】화15:00-16:15【26515】,화16:30-17:45【26515】","【모듈D】화15:00-16:15【26515】,화16:30-17:45【26515】",일반수업,모듈D,0,0
2025학년도 2학기,컴퓨터공학세미나,"월15:00-15:50【미지정】,수17:00-17:50【미지정】","월15:00-15:50【미지정】,수17:00-17:50【미지정】",국제어수업,0,75,1
2025학년도 2학기,신호및시스템,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,103,1
2025학년도 2학기,디지털신호처리,"화12:00-13:15【22211】,목13:30-14:45【22211】","화12:00-13:15【22211】,목13:30-14:45【22211】",일반수업,22,21,1
2025학년도 2학기,제어공학기초,화13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2025학년도 2학기,통신시스템,수13:30-14:45【21534】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【21534】【1.5h(ON)+1.5h(OFF)】,일반수업,21,0,0
2025학년도 2학기,컴퓨터네트워크개론,"화15:00-16:15【22211】,목16:30-17:45【22211】","화15:00-16:15【22211】,목16:30-17:45【22211】",일반수업,22,0,0
2025학년도 2학기,동역학,"월10:30-11:45【22312】,수09:00-10:15【22312】","월10:30-11:45【22312】,수09:00-10:15【22312】",국제어수업,22,0,0
