학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,광학기초,"월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】","월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,65,2
2024학년도 1학기,광학기초,"월13:30-14:45【21514】,수12:00-13:15【21514】","월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업,21,65,2
2024학년도 1학기,나노공학개론,금12:00-13:15【83188】【1.5h(ON)+1.5h(OFF)】,금12:00-13:15【83188】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,20,1
2024학년도 1학기,전자기와회로이론,월13:30-14:45【83188】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【83188】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,27,1
2024학년도 1학기,유기화학개론,"화12:00-13:15【83188】,목13:30-14:45【83188】【1h(ON)+3h(OFF)[4시간]】","화12:00-13:15【83188】,목13:30-14:45【83188】【1h(ON)+3h(OFF)[4시간]】",국제어수업,83,0,0
2024학년도 1학기,고체물리개론,목10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,0,0
2024학년도 1학기,물리화학개론,월16:30-17:45【83188】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【83188】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,0,0
2024학년도 1학기,기초나노공학실험2,"월18:00-18:50【83140】,월19:00-19:50【83140】,월20:00-20:50【83140】,월21:00-21:45【83140】","월18:00-18:50【83140】,월19:00-19:50【83140】,월20:00-20:50【83140】,월21:00-21:45【83140】",일반수업,83,0,0
2024학년도 1학기,바이오시스템개론,수10:30-11:45【83140】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【83140】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,14,1
2024학년도 1학기,나노재료1,"월12:00-13:15【83188】,수13:30-14:45【83188】","월12:00-13:15【83188】,수13:30-14:45【83188】",국제어수업,83,28,1
2024학년도 1학기,나노소자2,월10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,일반수업,83,0,0
