학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,융합연구프로젝트1,,미지정,일반수업,0,20,11
2024학년도 1학기,융합연구프로젝트2,,미지정,일반수업,0,4,2
2024학년도 1학기,융합연구프로젝트4,,미지정,일반수업,0,2,1
2024학년도 1학기,성균융합원현장실습4,,미지정,일반수업,0,1,1
2024학년도 1학기,자료구조개론,,"월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,242,4
2024학년도 1학기,자료구조개론,,"수09:00-10:15【85602】,수10:30-11:45【85602】",국제어수업,85,242,4
2024학년도 1학기,자료구조개론,,"화15:00-16:15【85602】,목16:30-17:45【85602】【1h(ON)+3h(OFF)[4시간]】",국제어수업,85,242,4
2024학년도 1학기,알고리즘개론,,"월12:00-13:15【26310】,수13:30-14:45【26310】",일반수업,26,0,0
2024학년도 1학기,알고리즘개론,,"월13:30-14:45【미지정】,수12:00-13:15【미지정】",국제어수업,0,0,0
2024학년도 1학기,기계학습원론,,"월16:30-17:45【26515】,수15:00-16:15【26515】",국제어수업,26,100,1
2024학년도 1학기,심층신경망개론,,화13:30-14:45【85602】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,0,0
