학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,기초역학,"화13:30-14:45【61209】,목12:00-13:15【61209】","화13:30-14:45【61209】,목12:00-13:15【61209】",일반수업,61,39,1
2024학년도 1학기,컴퓨터프로그래밍기초,"화12:00-13:15【62157B】,목13:30-14:45【62157B】","화12:00-13:15【62157B】,목13:30-14:45【62157B】",국제어수업,62,19,1
2024학년도 1학기,열유체역학,월13:30-14:45【61209】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【61209】【1.5h(ON)+1.5h(OFF)】,국제어수업,61,36,1
2024학년도 1학기,공업수학I,수13:30-14:45【61209】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【61209】【1.5h(ON)+1.5h(OFF)】,국제어수업,61,41,1
2024학년도 1학기,전자기학I,목18:00-19:15【61209】【1.5h(ON)+1.5h(OFF)】,목18:00-19:15【61209】【1.5h(ON)+1.5h(OFF)】,국제어수업,61,0,0
2024학년도 1학기,마이크로나노계측공학,"화17:00-17:50【61209】,화18:00-18:50【61209】","화17:00-17:50【61209】,화18:00-18:50【61209】",일반수업,61,0,0
2024학년도 1학기,마이크로나노계측공학실습,"화19:00-19:50【61106A】,화20:00-20:50【61106A】","화19:00-19:50【61106A】,화20:00-20:50【61106A】",일반수업,61,43,1
2024학년도 1학기,생명공학개론,"화09:00-10:15【61209】,화10:30-11:45【61209】","화09:00-10:15【61209】,화10:30-11:45【61209】",국제어수업,61,14,1
2024학년도 1학기,바이오센서공학,수10:30-11:45【61209】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【61209】【1.5h(ON)+1.5h(OFF)】,일반수업,61,26,1
2024학년도 1학기,생체역학,화15:00-16:15【61209】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【61209】【1.5h(ON)+1.5h(OFF)】,일반수업,61,21,1
2024학년도 1학기,CAD,"수15:00-15:50【62157B】,수16:00-16:50【62157B】","수15:00-15:50【62157B】,수16:00-16:50【62157B】",일반수업,62,38,1
2024학년도 1학기,CAD실습,"수17:00-17:50【62157B】,수18:00-18:50【62157B】","수17:00-17:50【62157B】,수18:00-18:50【62157B】",일반수업,62,43,1
2024학년도 1학기,메카트로닉스제어,월15:00-16:15【62157B】【0.5h(ON)+1.5h(OFF)】,월15:00-16:15【62157B】【0.5h(ON)+1.5h(OFF)】,일반수업,62,18,1
2024학년도 1학기,메카트로닉스제어실습,"월17:00-17:50【62157B】,월18:00-18:50【62157B】","월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업,62,18,1
