학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,차세대반도체종합설계,"수09:00-10:15【330110】,수10:30-11:45【330110】","수09:00-10:15【330110】,수10:30-11:45【330110】",일반수업,33,16,1
2024학년도 1학기,물리전자,"화09:00-10:15【21514】,목10:30-11:45【21514】","화09:00-10:15【21514】,목10:30-11:45【21514】",일반수업,21,75,1
2024학년도 1학기,반도체공학,"화16:30-17:45【22410】,목15:00-16:15【22410】","화16:30-17:45【22410】,목15:00-16:15【22410】",일반수업,22,55,1
2024학년도 1학기,회로이론1,"화10:30-11:45【22410】,목09:00-10:15【22410】","화10:30-11:45【22410】,목09:00-10:15【22410】",일반수업,22,366,5
2024학년도 1학기,회로이론1,"화10:30-11:45【400118】,목09:00-10:15【400118】","화10:30-11:45【400118】,목09:00-10:15【400118】",일반수업,40,366,5
2024학년도 1학기,회로이론1,"화10:30-11:45【22211】,목09:00-10:15【22211】","화10:30-11:45【22211】,목09:00-10:15【22211】",일반수업,22,366,5
2024학년도 1학기,회로이론1,"화10:30-11:45【22409】,목09:00-10:15【22409】","화10:30-11:45【22409】,목09:00-10:15【22409】",일반수업,22,366,5
2024학년도 1학기,회로이론1,"화10:30-11:45【23219】,목09:00-10:15【23219】","화10:30-11:45【23219】,목09:00-10:15【23219】",국제어수업,23,366,5
2024학년도 1학기,전자회로1,"월09:00-10:15【22409】,수10:30-11:45【22409】","월09:00-10:15【22409】,수10:30-11:45【22409】",국제어수업,22,0,0
2024학년도 1학기,전자회로1,"월09:00-10:15【21534】,수10:30-11:45【21534】","월09:00-10:15【21534】,수10:30-11:45【21534】",일반수업,21,0,0
2024학년도 1학기,전자회로1,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2024학년도 1학기,전자회로1,"월09:00-10:15【21502】,수10:30-11:45【21502】","월09:00-10:15【21502】,수10:30-11:45【21502】",일반수업,21,0,0
2024학년도 1학기,전자회로1,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,0,0
2024학년도 1학기,집적회로,"월16:30-17:45【23217】,수15:00-16:15【23217】","월16:30-17:45【23217】,수15:00-16:15【23217】",일반수업,23,0,0
2024학년도 1학기,인공지능반도체로직소자,화16:30-17:45【23529】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【23529】【1.5h(ON)+1.5h(OFF)】,국제어수업,23,37,1
2024학년도 1학기,반도체소자설계,"화12:00-13:15【21514】,목13:30-14:45【21514】","화12:00-13:15【21514】,목13:30-14:45【21514】",일반수업,21,60,1
2024학년도 1학기,논리회로,"화09:00-10:15【85613】,목10:30-11:45【85613】","화09:00-10:15【85613】,목10:30-11:45【85613】",일반수업,85,0,0
2024학년도 1학기,논리회로,목10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2024학년도 1학기,논리회로,"화09:00-10:15【21534】,목10:30-11:45【21534】","화09:00-10:15【21534】,목10:30-11:45【21534】",일반수업,21,0,0
2024학년도 1학기,논리회로,"월12:00-13:15【미지정】,수13:30-14:45【미지정】","월12:00-13:15【미지정】,수13:30-14:45【미지정】",국제어수업,0,0,0
2024학년도 1학기,논리회로,"화15:00-16:15【330110】,목16:30-17:45【330110】","화15:00-16:15【330110】,목16:30-17:45【330110】",국제어수업,33,0,0
2024학년도 1학기,마이크로프로세서,"월16:30-17:45【330110】,수15:00-16:15【400202】","월16:30-17:45【330110】,수15:00-16:15【400202】",일반수업,33,0,0
2024학년도 1학기,디지털시스템,"월12:00-13:15【21502】,수13:30-14:45【21502】","월12:00-13:15【21502】,수13:30-14:45【21502】",일반수업,21,0,0
2024학년도 1학기,디지털시스템,"월16:30-17:45【21502】,수15:00-16:15【21502】","월16:30-17:45【21502】,수15:00-16:15【21502】",일반수업,21,0,0
2024학년도 1학기,기계학습개론,"화09:00-10:15【330118】,목10:30-11:45【330118】","화09:00-10:15【330118】,목10:30-11:45【330118】",일반수업,33,0,0
