학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,차세대반도체종합설계,"수09:00-10:15【330110】,수10:30-11:45【330110】","수09:00-10:15【330110】,수10:30-11:45【330110】",일반수업,33,16,1
2024학년도 1학기,신소재공학개론1,"월12:00-13:15【26108】,수13:30-14:45【26108】","월12:00-13:15【26108】,수13:30-14:45【26108】",국제어수업,26,172,3
2024학년도 1학기,신소재공학개론1,"화09:00-10:15【26108】,목10:30-11:45【26108】","화09:00-10:15【26108】,목10:30-11:45【26108】",일반수업,26,172,3
2024학년도 1학기,신소재공학개론1,"화13:30-14:45【26311】,목12:00-13:15【26311】","화13:30-14:45【26311】,목12:00-13:15【26311】",국제어수업,26,172,3
2024학년도 1학기,전자패키지공학,"화12:00-13:15【26110】,화13:30-14:45【26110】","화12:00-13:15【26110】,화13:30-14:45【26110】",일반수업,26,0,0
2024학년도 1학기,공업유기화학1,"월12:00-13:15【26308】,수13:30-14:45【26308】","월12:00-13:15【26308】,수13:30-14:45【26308】",국제어수업,26,0,0
2024학년도 1학기,공업유기화학1,"화12:00-13:15【26223】,목13:30-14:45【26223】","화12:00-13:15【26223】,목13:30-14:45【26223】",일반수업,26,0,0
2024학년도 1학기,공업유기화학1,"화15:00-16:15【26505】,목16:30-17:45【26505】","화15:00-16:15【26505】,목16:30-17:45【26505】",국제어수업,26,0,0
2024학년도 1학기,공업유기화학1,"월09:00-10:15【32255】,수10:30-11:45【32255】","월09:00-10:15【32255】,수10:30-11:45【32255】",일반수업,32,0,0
2024학년도 1학기,화공및고분자종합설계,"수09:00-10:15【25314】,수10:30-11:45【25314】","수09:00-10:15【25314】,수10:30-11:45【25314】",일반수업,25,0,0
2024학년도 1학기,화공및고분자종합설계,"금09:00-10:15【26308】,금10:30-11:45【26308】","금09:00-10:15【26308】,금10:30-11:45【26308】",일반수업,26,0,0
2024학년도 1학기,화공및고분자종합설계,"화09:00-10:15【26502】,화10:30-11:45【26502】","화09:00-10:15【26502】,화10:30-11:45【26502】",국제어수업,26,0,0
2024학년도 1학기,화공및고분자종합설계,"목09:00-10:15【26502】,목10:30-11:45【26502】","목09:00-10:15【26502】,목10:30-11:45【26502】",일반수업,26,0,0
2024학년도 1학기,반도체화학공정,목12:00-13:15【26223】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【26223】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2024학년도 1학기,반도체화학공정,월10:30-11:45【26502】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26502】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2024학년도 1학기,플라즈마공정및응용,"화09:00-10:15【25314】,화10:30-11:45【25314】","화09:00-10:15【25314】,화10:30-11:45【25314】",일반수업,25,0,0
2024학년도 1학기,열역학,"월15:00-16:15【22310】,수16:30-17:45【22310】","월15:00-16:15【22310】,수16:30-17:45【22310】",일반수업,22,0,0
2024학년도 1학기,열역학,"월15:00-16:15【22312】,수16:30-17:45【22312】","월15:00-16:15【22312】,수16:30-17:45【22312】",일반수업,22,0,0
2024학년도 1학기,열역학,"월16:30-17:45【22310】,수15:00-16:15【22310】","월16:30-17:45【22310】,수15:00-16:15【22310】",국제어수업,22,0,0
2024학년도 1학기,열역학,"화16:30-17:45【22312】,목15:00-16:15【22312】","화16:30-17:45【22312】,목15:00-16:15【22312】",일반수업,22,0,0
2024학년도 1학기,유체역학,"월12:00-13:15【22319】,수13:30-14:45【22319】","월12:00-13:15【22319】,수13:30-14:45【22319】",일반수업,22,53,1
2024학년도 1학기,고체역학,"화15:00-16:15【22310】,목16:30-17:45【22310】","화15:00-16:15【22310】,목16:30-17:45【22310】",일반수업,22,0,0
2024학년도 1학기,고체역학,목16:30-17:45【22312】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【22312】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2024학년도 1학기,고체역학,"화16:30-17:45【22310】,목15:00-16:15【22310】","화16:30-17:45【22310】,목15:00-16:15【22310】",일반수업,22,0,0
2024학년도 1학기,고체역학,월16:30-17:45【22312】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【22312】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2024학년도 1학기,나노전달현상개론,목12:00-13:15【83188】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【83188】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,0,0
2024학년도 1학기,반도체소자,"화09:00-10:15【400118】,목10:30-11:45【400118】","화09:00-10:15【400118】,목10:30-11:45【400118】",일반수업,40,0,0
