학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,정수론,"화09:00-10:15【31316】,목10:30-11:45【31316】","화09:00-10:15【31316】,목10:30-11:45【31316】",일반수업,31,44,1
2024학년도 1학기,해석학,"화13:30-14:45【31316】,목12:00-13:15【31316】","화13:30-14:45【31316】,목12:00-13:15【31316】",일반수업,31,51,1
2024학년도 1학기,현대대수학,"월13:30-14:45【31316】,수12:00-13:15【31316】","월13:30-14:45【31316】,수12:00-13:15【31316】",일반수업,31,48,1
2024학년도 1학기,확률및통계,월10:30-11:45【31316】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【31316】【1.5h(ON)+1.5h(OFF)】,국제어수업,31,42,1
2024학년도 1학기,복소해석학,"월15:00-16:15【31316】,수16:30-17:45【31316】","월15:00-16:15【31316】,수16:30-17:45【31316】",일반수업,31,0,0
2024학년도 1학기,기하학일반,"월09:00-10:15【31316】,수10:30-11:45【31316】","월09:00-10:15【31316】,수10:30-11:45【31316】",국제어수업,31,0,0
2024학년도 1학기,수치해석학,"화10:30-11:45【31316】,목09:00-10:15【31316】","화10:30-11:45【31316】,목09:00-10:15【31316】",일반수업,31,0,0
2024학년도 1학기,편미분방정식,"금09:00-10:15【31316】,금10:30-11:45【31316】","금09:00-10:15【31316】,금10:30-11:45【31316】",일반수업,31,0,0
2024학년도 1학기,실변수함수론,"화12:00-13:15【31316】,목13:30-14:45【31316】","화12:00-13:15【31316】,목13:30-14:45【31316】",일반수업,31,38,1
2024학년도 1학기,미분기하학,"월16:30-17:45【31316】,수15:00-16:15【31316】","월16:30-17:45【31316】,수15:00-16:15【31316】",국제어수업,31,0,0
2024학년도 1학기,위상수학,"금15:00-16:15【31316】,금16:30-17:45【31316】","금15:00-16:15【31316】,금16:30-17:45【31316】",일반수업,31,0,0
2024학년도 1학기,조합및그래프이론,"금12:00-13:15【31316】,금13:30-14:45【31316】","금12:00-13:15【31316】,금13:30-14:45【31316】",일반수업,31,0,0
2024학년도 1학기,수치적선형대수학,"월15:00-16:15【31351A】,수16:30-17:45【31351A】","월15:00-16:15【31351A】,수16:30-17:45【31351A】",일반수업,31,0,0
2024학년도 1학기,금융수학,"【모듈A】화13:30-14:45【31351A】,목12:00-13:15【31351A】","【모듈A】화13:30-14:45【31351A】,목12:00-13:15【31351A】",일반수업,모듈A,0,0
2024학년도 1학기,응용편미분방정식,"금15:00-16:15【31351A】,금16:30-17:45【31351A】","금15:00-16:15【31351A】,금16:30-17:45【31351A】",일반수업,31,0,0
2024학년도 1학기,실해석학1,"화09:00-10:15【31351A】,목10:30-11:45【31351A】","화09:00-10:15【31351A】,목10:30-11:45【31351A】",일반수업,31,0,0
2024학년도 1학기,고급대수학,"화16:30-17:45【31351A】,목15:00-16:15【31351A】","화16:30-17:45【31351A】,목15:00-16:15【31351A】",국제어수업,31,0,0
2024학년도 1학기,최적화의수학적이론과프로그래밍,"월16:30-17:45【32255】,수15:00-16:15【32255】","월16:30-17:45【32255】,수15:00-16:15【32255】",일반수업,32,0,0
2024학년도 1학기,운영체제,"화15:00-16:15【23217】,목16:30-17:45【23217】","화15:00-16:15【23217】,목16:30-17:45【23217】",일반수업,23,151,2
2024학년도 1학기,운영체제,"화12:00-13:15【85602】,목13:30-14:45【85602】","화12:00-13:15【85602】,목13:30-14:45【85602】",일반수업,85,151,2
