학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,최적설계,화09:00-10:15【22310】【1.5h(ON)+1.5h(OFF)】,화09:00-10:15【22310】【1.5h(ON)+1.5h(OFF)】,일반수업,22,29,1
2024학년도 1학기,스마트카융합종합설계,"화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】","화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】",일반수업,22,40,1
2024학년도 1학기,나노융합미래기술,수16:30-17:45【83140】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【83140】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,0,0
2024학년도 1학기,공학수치해석,"화13:30-14:45【22110】,목12:00-13:15【22110】","화13:30-14:45【22110】,목12:00-13:15【22110】",국제어수업,22,110,2
2024학년도 1학기,공학수치해석,수10:30-11:45【22306】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【22306】【1.5h(ON)+1.5h(OFF)】,일반수업,22,110,2
2024학년도 1학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,0,0
2024학년도 1학기,기술경영개론,목13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2024학년도 1학기,기술경영개론,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,0,0
2024학년도 1학기,공학기초수학1,화09:00-10:15【26307】【1.5h(ON)+1.5h(OFF)】,화09:00-10:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,664,11
2024학년도 1학기,공학기초수학1,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,664,11
