학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,기능성식품학,"월18:00-19:15【61208】,월19:30-20:45【61208】","월18:00-19:15【61208】,월19:30-20:45【61208】",일반수업,61,7,1
2024학년도 1학기,생화학,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,89,1
2024학년도 1학기,미생물학,목12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,75,1
2024학년도 1학기,유전학,"금12:00-13:15【62355】,금13:30-14:45【62355】","금12:00-13:15【62355】,금13:30-14:45【62355】",국제어수업,62,44,1
2024학년도 1학기,분자생물학,"화09:00-10:15【62355】,화10:30-11:45【62355】","화09:00-10:15【62355】,화10:30-11:45【62355】",일반수업,62,0,0
2024학년도 1학기,신경생물학,"목09:00-10:15【62355】,목10:30-11:45【62355】","목09:00-10:15【62355】,목10:30-11:45【62355】",일반수업,62,36,1
2024학년도 1학기,면역학,"금15:00-16:15【62355】,금16:30-17:45【62355】","금15:00-16:15【62355】,금16:30-17:45【62355】",일반수업,62,0,0
2024학년도 1학기,피부생명공학,수16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,63,1
2024학년도 1학기,생체소재공학,월12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,20,1
2024학년도 1학기,분자유전체학,"수09:00-10:15【62355】,수10:30-11:45【62355】","수09:00-10:15【62355】,수10:30-11:45【62355】",일반수업,62,50,1
2024학년도 1학기,융합생명창의적설계,미지정,미지정,일반수업,0,33,1
2024학년도 1학기,대사생화학,화16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,61,1
2024학년도 1학기,분자피부과학,"수18:00-19:15【62306】,수19:30-20:45【62306】","수18:00-19:15【62306】,수19:30-20:45【62306】",일반수업,62,0,0
