학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,차세대바이오헬스산업과동향2,"화15:00-16:15【61306】,목16:30-17:45【61306】","화15:00-16:15【61306】,목16:30-17:45【61306】",일반수업,61,26,1
2024학년도 1학기,차세대바이오헬스GMP기초,"금15:00-16:15【61306】,금16:30-17:45【61306】","금15:00-16:15【61306】,금16:30-17:45【61306】",일반수업,61,45,1
2024학년도 1학기,기능성식품학,"월18:00-19:15【61208】,월19:30-20:45【61208】","월18:00-19:15【61208】,월19:30-20:45【61208】",일반수업,61,7,1
2024학년도 1학기,바이오통계와빅데이터,수12:00-13:15【86120】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【86120】【1.5h(ON)+1.5h(OFF)】,국제어수업,86,87,1
2024학년도 1학기,바이오프로그래밍과머신러닝,"금12:00-13:15【62306】,금13:30-14:45【62306】","금12:00-13:15【62306】,금13:30-14:45【62306】",일반수업,62,0,0
2024학년도 1학기,머신러닝통계학,목16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,23,1
2024학년도 1학기,생화학,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2024학년도 1학기,미생물학,목12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,75,1
2024학년도 1학기,유전학,"금12:00-13:15【62355】,금13:30-14:45【62355】","금12:00-13:15【62355】,금13:30-14:45【62355】",국제어수업,62,44,1
2024학년도 1학기,분자생물학,"화09:00-10:15【62355】,화10:30-11:45【62355】","화09:00-10:15【62355】,화10:30-11:45【62355】",일반수업,62,68,1
2024학년도 1학기,신경생물학,"목09:00-10:15【62355】,목10:30-11:45【62355】","목09:00-10:15【62355】,목10:30-11:45【62355】",일반수업,62,36,1
2024학년도 1학기,면역학,"금15:00-16:15【62355】,금16:30-17:45【62355】","금15:00-16:15【62355】,금16:30-17:45【62355】",일반수업,62,59,1
2024학년도 1학기,피부생명공학,수16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,63,1
2024학년도 1학기,기초식물학,"【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】","【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】",일반수업,모듈B,8,1
2024학년도 1학기,융합세포생물학,수12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,14,1
2024학년도 1학기,BT유기화학,화12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,89,1
2024학년도 1학기,생물정보학분석및피부생명공학실험,"화18:00-18:50【62355】,화19:00-19:50【62355】,화20:00-20:50【62355】,화21:00-21:45【62355】","화18:00-18:50【62355】,화19:00-19:50【62355】,화20:00-20:50【62355】,화21:00-21:45【62355】",일반수업,62,11,1
2024학년도 1학기,생체소재공학,월12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2024학년도 1학기,분자유전체학,"수09:00-10:15【62355】,수10:30-11:45【62355】","수09:00-10:15【62355】,수10:30-11:45【62355】",일반수업,62,0,0
2024학년도 1학기,융합생명창의적설계,미지정,미지정,일반수업,0,33,1
2024학년도 1학기,대사생화학,화16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,61,1
2024학년도 1학기,바이오의약면역학,"월15:00-16:15【62306】,수16:30-17:45【62306】","월15:00-16:15【62306】,수16:30-17:45【62306】",일반수업,62,55,1
2024학년도 1학기,분자피부과학,"수18:00-19:15【62306】,수19:30-20:45【62306】","수18:00-19:15【62306】,수19:30-20:45【62306】",일반수업,62,0,0
2024학년도 1학기,식물의학,"【모듈C】수09:00-10:15【62306】,수10:30-11:45【62306】","【모듈C】수09:00-10:15【62306】,수10:30-11:45【62306】",일반수업,모듈C,0,0
2024학년도 1학기,유전자교정기술,화16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2024학년도 1학기,바이오분석화학,화13:30-14:45【62306】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【62306】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2024학년도 1학기,환경생물공정,"【모듈C】화09:00-10:15【62306】,화10:30-11:45【62306】","【모듈C】화09:00-10:15【62306】,화10:30-11:45【62306】",일반수업,모듈C,0,0
2024학년도 1학기,분자생물학에서의인공지능응용,"금15:00-16:15【62306】,금16:30-17:45【62306】","금15:00-16:15【62306】,금16:30-17:45【62306】",국제어수업,62,0,0
2024학년도 1학기,바이오헬스산업과생명윤리,"금09:00-09:50【530150】,금10:00-10:50【530150】,금11:00-11:50【530150】","금09:00-09:50【530150】,금10:00-10:50【530150】,금11:00-11:50【530150】",일반수업,53,67,1
2024학년도 1학기,바이오분자약학,"금09:00-09:50【530254】,금10:00-10:50【530254】,금11:00-11:50【530254】","금09:00-09:50【530254】,금10:00-10:50【530254】,금11:00-11:50【530254】",일반수업,53,0,0
