학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,감염반응생물학,"화15:00-16:15【31213】,목16:30-17:45【31213】","화15:00-16:15【31213】,목16:30-17:45【31213】",일반수업,31,33,1
2024학년도 1학기,생물분자구조학,"화12:00-13:15【31213】,목13:30-14:45【31213】","화12:00-13:15【31213】,목13:30-14:45【31213】",일반수업,31,64,1
2024학년도 1학기,신경유전학,"월09:00-10:15【31213】,수10:30-11:45【31213】","월09:00-10:15【31213】,수10:30-11:45【31213】",일반수업,31,64,1
2024학년도 1학기,차세대바이오헬스현장실습2,미지정,미지정,일반수업,0,2,1
2024학년도 1학기,차세대바이오헬스산업과동향2,"화15:00-16:15【61306】,목16:30-17:45【61306】","화15:00-16:15【61306】,목16:30-17:45【61306】",일반수업,61,0,0
2024학년도 1학기,차세대바이오헬스GMP기초,"금15:00-16:15【61306】,금16:30-17:45【61306】","금15:00-16:15【61306】,금16:30-17:45【61306】",일반수업,61,45,1
2024학년도 1학기,생체분자화학,목10:30-11:45【330126】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,0,0
2024학년도 1학기,단백질의약화학,"화12:00-13:15【330226】,화13:30-14:45【330226】","화12:00-13:15【330226】,화13:30-14:45【330226】",국제어수업,33,0,0
2024학년도 1학기,바이오센서공학,수10:30-11:45【61209】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【61209】【1.5h(ON)+1.5h(OFF)】,일반수업,61,26,1
2024학년도 1학기,영양대사생화학,"월16:30-17:45【61208】,수15:00-16:15【61208】","월16:30-17:45【61208】,수15:00-16:15【61208】",일반수업,61,68,1
2024학년도 1학기,바이오의공학개론,"월09:00-10:15【86120】,월10:30-11:45【86120】","월09:00-10:15【86120】,월10:30-11:45【86120】",국제어수업,86,60,1
2024학년도 1학기,바이오통계와빅데이터,수12:00-13:15【86120】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【86120】【1.5h(ON)+1.5h(OFF)】,국제어수업,86,87,1
2024학년도 1학기,바이오프로그래밍과머신러닝,"금12:00-13:15【62306】,금13:30-14:45【62306】","금12:00-13:15【62306】,금13:30-14:45【62306】",일반수업,62,15,1
2024학년도 1학기,조직공학및재생의학,화13:30-14:45【86102】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【86102】【1.5h(ON)+1.5h(OFF)】,국제어수업,86,35,1
2024학년도 1학기,컴바이오믹스개론,목15:00-16:15【61208】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【61208】【1.5h(ON)+1.5h(OFF)】,일반수업,61,34,1
2024학년도 1학기,머신러닝통계학,목16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,23,1
2024학년도 1학기,바이오의약면역학,"월15:00-16:15【62306】,수16:30-17:45【62306】","월15:00-16:15【62306】,수16:30-17:45【62306】",일반수업,62,55,1
2024학년도 1학기,유전자교정기술,화16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2024학년도 1학기,바이오분석화학,화13:30-14:45【62306】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【62306】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
