학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,글로벌테크노경영,"금13:00-13:50【26106】,금14:00-14:50【26106】","금13:00-13:50【26106】,금14:00-14:50【26106】",일반수업,26,0,0
2024학년도 2학기,반도체공정기술,"화15:00-16:15【22110】,화16:30-17:45【22110】","화15:00-16:15【22110】,화16:30-17:45【22110】",국제어수업,22,0,0
2024학년도 2학기,나노소자공학,"화12:00-13:15【21502】,화13:30-14:45【21502】","화12:00-13:15【21502】,화13:30-14:45【21502】",국제어수업,21,0,0
2024학년도 2학기,SOC설계및실습,"화15:00-16:15【330102】,화16:30-17:45【330102】","화15:00-16:15【330102】,화16:30-17:45【330102】",일반수업,33,0,0
2024학년도 2학기,메모리반도체설계,"월16:30-17:45【330110】,수15:00-16:15【330110】","월16:30-17:45【330110】,수15:00-16:15【330110】",국제어수업,33,0,0
2024학년도 2학기,무선네트워크코너스톤,"화12:00-13:15【21534】,화13:30-14:45【21534】","화12:00-13:15【21534】,화13:30-14:45【21534】",국제어수업,21,0,0
2024학년도 2학기,반도체소자시뮬레이션,"화15:00-16:15【23529】,화16:30-17:45【23529】","화15:00-16:15【23529】,화16:30-17:45【23529】",일반수업,23,0,0
2024학년도 2학기,반도체공학,"화10:30-11:45【22211】,목09:00-10:15【22211】","화10:30-11:45【22211】,목09:00-10:15【22211】",일반수업,22,92,2
2024학년도 2학기,반도체공학,"화16:30-17:45【21514】,목15:00-16:15【21514】","화16:30-17:45【21514】,목15:00-16:15【21514】",일반수업,21,92,2
2024학년도 2학기,광학기초,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2024학년도 2학기,디스플레이공학,"월16:30-17:45【21534】,수15:00-16:15【21534】","월16:30-17:45【21534】,수15:00-16:15【21534】",일반수업,21,44,1
2024학년도 2학기,디지털신호처리,"화12:00-13:15【22211】,목13:30-14:45【22211】","화12:00-13:15【22211】,목13:30-14:45【22211】",국제어수업,22,52,1
2024학년도 2학기,제어공학기초,"화16:30-17:45【22211】,목15:00-16:15【22211】","화16:30-17:45【22211】,목15:00-16:15【22211】",일반수업,22,0,0
2024학년도 2학기,통신시스템,"월12:00-13:15【22111】,수13:30-14:45【22111】","월12:00-13:15【22111】,수13:30-14:45【22111】",일반수업,22,23,1
2024학년도 2학기,기초RF회로설계,"화15:00-16:15【21514】,목16:30-17:45【21514】","화15:00-16:15【21514】,목16:30-17:45【21514】",일반수업,21,21,1
2024학년도 2학기,운영체제입문,화13:30-14:45【400102】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【400102】【1.5h(ON)+1.5h(OFF)】,일반수업,40,69,1
2024학년도 2학기,광전자공학,"월12:00-13:15【22110】,수13:30-14:45【22110】","월12:00-13:15【22110】,수13:30-14:45【22110】",일반수업,22,12,1
2024학년도 2학기,공학수치해석,"목09:00-10:15【26307】,목10:30-11:45【26307】","목09:00-10:15【26307】,목10:30-11:45【26307】",일반수업,26,0,0
2024학년도 2학기,공학수치해석,"화13:30-14:45【26515】,목12:00-13:15【26515】","화13:30-14:45【26515】,목12:00-13:15【26515】",국제어수업,26,0,0
2024학년도 2학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,241,3
2024학년도 2학기,기술경영개론,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,일반수업,23,241,3
2024학년도 2학기,기술경영개론,"금12:00-13:15【26223】,금13:30-14:45【26223】","금12:00-13:15【26223】,금13:30-14:45【26223】",일반수업,26,241,3
2024학년도 2학기,논리회로,"월12:00-13:15【21502】,수13:30-14:45【21502】","월12:00-13:15【21502】,수13:30-14:45【21502】",일반수업,21,0,0
2024학년도 2학기,논리회로,목13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2024학년도 2학기,논리회로,"월12:00-13:15【400112】,수13:30-14:45【400112】","월12:00-13:15【400112】,수13:30-14:45【400112】",일반수업,40,0,0
2024학년도 2학기,확률및랜덤프로세스,"월16:30-17:45【85702】,수15:00-16:15【85702】","월16:30-17:45【85702】,수15:00-16:15【85702】",일반수업,85,217,4
2024학년도 2학기,확률및랜덤프로세스,"월10:30-11:45【21534】,수09:00-10:15【21534】","월10:30-11:45【21534】,수09:00-10:15【21534】",일반수업,21,217,4
2024학년도 2학기,확률및랜덤프로세스,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",일반수업,0,217,4
2024학년도 2학기,확률및랜덤프로세스,목16:30-17:45【330110】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【330110】【1.5h(ON)+1.5h(OFF)】,일반수업,33,217,4
