학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,논리회로,"월12:00-13:15【21502】,수13:30-14:45【21502】","월12:00-13:15【21502】,수13:30-14:45【21502】",일반수업,21,188,3
2024학년도 2학기,논리회로,목13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,일반수업,22,188,3
2024학년도 2학기,논리회로,"월12:00-13:15【400112】,수13:30-14:45【400112】","월12:00-13:15【400112】,수13:30-14:45【400112】",일반수업,40,188,3
2024학년도 2학기,확률및랜덤프로세스,"월16:30-17:45【85702】,수15:00-16:15【85702】","월16:30-17:45【85702】,수15:00-16:15【85702】",일반수업,85,217,4
2024학년도 2학기,확률및랜덤프로세스,"월10:30-11:45【21534】,수09:00-10:15【21534】","월10:30-11:45【21534】,수09:00-10:15【21534】",일반수업,21,217,4
2024학년도 2학기,확률및랜덤프로세스,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",일반수업,0,217,4
2024학년도 2학기,확률및랜덤프로세스,목16:30-17:45【330110】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【330110】【1.5h(ON)+1.5h(OFF)】,일반수업,33,217,4
2024학년도 2학기,기초공학수학1,"월09:00-10:15【22211】,수10:30-11:45【22211】","월09:00-10:15【22211】,수10:30-11:45【22211】",일반수업,22,0,0
2024학년도 2학기,기초공학수학1,"금12:00-13:15【61352】,금13:30-14:45【61352】【1h(ON)+3h(OFF)[4시간]】","금12:00-13:15【61352】,금13:30-14:45【61352】【1h(ON)+3h(OFF)[4시간]】",일반수업,61,0,0
2024학년도 2학기,기초공학수학2,"월12:00-13:15【22409】,수13:30-14:45【22409】","월12:00-13:15【22409】,수13:30-14:45【22409】",국제어수업,22,291,5
2024학년도 2학기,기초공학수학2,"월13:30-14:45【22110】,수12:00-13:15【22110】","월13:30-14:45【22110】,수12:00-13:15【22110】",국제어수업,22,291,5
2024학년도 2학기,기초공학수학2,"월16:30-17:45【22409】,수15:00-16:15【22409】","월16:30-17:45【22409】,수15:00-16:15【22409】",국제어수업,22,291,5
2024학년도 2학기,기초공학수학2,금13:30-14:45【400118】【1.5h(ON)+1.5h(OFF)】,금13:30-14:45【400118】【1.5h(ON)+1.5h(OFF)】,일반수업,40,291,5
2024학년도 2학기,기초공학수학2,"화16:30-17:45【400126】,목15:00-16:15【400126】","화16:30-17:45【400126】,목15:00-16:15【400126】",일반수업,40,291,5
2024학년도 2학기,디지털시스템,"금12:00-13:15【22203】,금13:30-14:45【22203】","금12:00-13:15【22203】,금13:30-14:45【22203】",일반수업,22,45,1
2024학년도 2학기,기계학습개론,"화16:30-17:45【21534】,목15:00-16:15【21534】","화16:30-17:45【21534】,목15:00-16:15【21534】",일반수업,21,0,0
2024학년도 2학기,반도체패키징공학,"월13:30-14:45【미지정】,수12:00-13:15【미지정】","월13:30-14:45【미지정】,수12:00-13:15【미지정】",일반수업,0,0,0
2024학년도 2학기,인공지능반도체소자시뮬레이션,"목12:00-13:15【400112】,목13:30-14:45【400112】","목12:00-13:15【400112】,목13:30-14:45【400112】",일반수업,40,0,0
2024학년도 2학기,반도체공정및장비기술,"수12:00-13:15【23219】,수13:30-14:45【23219】","수12:00-13:15【23219】,수13:30-14:45【23219】",일반수업,23,0,0
