학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,상변태학,"월10:30-11:45【26505】,수09:00-10:15【26505】","월10:30-11:45【26505】,수09:00-10:15【26505】",국제어수업,26,132,2
2024학년도 2학기,상변태학,"화12:00-13:15【26311】,목13:30-14:45【26311】","화12:00-13:15【26311】,목13:30-14:45【26311】",국제어수업,26,132,2
2024학년도 2학기,유기고분자재료,"수12:00-13:15【26110】,수13:30-14:45【26110】","수12:00-13:15【26110】,수13:30-14:45【26110】",국제어수업,26,0,0
2024학년도 2학기,화공기기분석,월15:00-16:15【26507】【1.5h(ON)+1.5h(OFF)】,월15:00-16:15【26507】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,53,1
2024학년도 2학기,반응공학,"월10:30-11:45【26308】,수09:00-10:15【26308】【1h(ON)+3h(OFF)[4시간]】","월10:30-11:45【26308】,수09:00-10:15【26308】【1h(ON)+3h(OFF)[4시간]】",국제어수업,26,0,0
2024학년도 2학기,반응공학,"월15:00-16:15【26308】,수16:30-17:45【26308】","월15:00-16:15【26308】,수16:30-17:45【26308】",일반수업,26,0,0
2024학년도 2학기,반응공학,"월12:00-13:15【26515】,수13:30-14:45【26515】","월12:00-13:15【26515】,수13:30-14:45【26515】",국제어수업,26,0,0
2024학년도 2학기,반응공학,"화10:30-11:45【26308】,목09:00-10:15【26308】","화10:30-11:45【26308】,목09:00-10:15【26308】",국제어수업,26,0,0
2024학년도 2학기,화공전자재료,월18:00-19:15【26308】【1.5h(ON)+1.5h(OFF)】,월18:00-19:15【26308】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2024학년도 2학기,공정제어및설계,"목09:00-10:15【26502】,목10:30-11:45【26502】","목09:00-10:15【26502】,목10:30-11:45【26502】",국제어수업,26,64,2
2024학년도 2학기,공정제어및설계,"화15:00-15:50【26308】,화16:00-16:50【26308】【1h(ON)+2h(OFF)】","화15:00-15:50【26308】,화16:00-16:50【26308】【1h(ON)+2h(OFF)】",일반수업,26,64,2
2024학년도 2학기,반도체공학,"화10:30-11:45【22211】,목09:00-10:15【22211】","화10:30-11:45【22211】,목09:00-10:15【22211】",일반수업,22,0,0
2024학년도 2학기,반도체공학,"화16:30-17:45【21514】,목15:00-16:15【21514】","화16:30-17:45【21514】,목15:00-16:15【21514】",일반수업,21,0,0
2024학년도 2학기,회로이론2,"화10:30-11:45【22410】,목09:00-10:15【22410】","화10:30-11:45【22410】,목09:00-10:15【22410】",일반수업,22,339,6
2024학년도 2학기,회로이론2,"화10:30-11:45【21534】,목09:00-10:15【21534】","화10:30-11:45【21534】,목09:00-10:15【21534】",일반수업,21,339,6
2024학년도 2학기,회로이론2,"화10:30-11:45【22110】,목09:00-10:15【22110】","화10:30-11:45【22110】,목09:00-10:15【22110】",일반수업,22,339,6
