학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,마음뇌인공지능,"목09:00-10:15【86126】,목10:30-11:45【86126】","목09:00-10:15【86126】,목10:30-11:45【86126】",일반수업,86,44,1
2024학년도 2학기,바이오공정공학,월16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,15,1
2024학년도 2학기,약품생화학2,"금09:00-09:50【530150】,금10:00-10:50【530150】","금09:00-09:50【530150】,금10:00-10:50【530150】",일반수업,53,44,1
2024학년도 2학기,약품미생물학2,"화13:00-13:50【530150】,화14:00-14:50【530150】","화13:00-13:50【530150】,화14:00-14:50【530150】",일반수업,53,44,1
2024학년도 2학기,생약학2,"수09:00-09:50【530150】,수10:00-10:50【530150】","수09:00-09:50【530150】,수10:00-10:50【530150】",일반수업,53,0,0
2024학년도 2학기,약품분자생물학,"금13:00-13:50【530250】,금14:00-14:50【530250】,금15:00-15:50【530250】","금13:00-13:50【530250】,금14:00-14:50【530250】,금15:00-15:50【530250】",일반수업,53,73,1
2024학년도 2학기,생물약제학,"화09:00-09:50【530254】,화10:00-10:50【530254】,화11:00-11:50【530254】","화09:00-09:50【530254】,화10:00-10:50【530254】,화11:00-11:50【530254】",국제어수업,53,0,0
2024학년도 2학기,천연물약품화학,"월09:00-09:50【530150】,월10:00-10:50【530150】,월11:00-11:50【530150】","월09:00-09:50【530150】,월10:00-10:50【530150】,월11:00-11:50【530150】",일반수업,53,0,0
2024학년도 2학기,의약화학,"수10:00-10:50【530254】,수11:00-11:50【530254】,수12:00-12:50【530254】","수10:00-10:50【530254】,수11:00-11:50【530254】,수12:00-12:50【530254】",일반수업,53,62,1
2024학년도 2학기,독성학,"월09:00-09:50【530154】,월10:00-10:50【530154】,월11:00-11:50【530154】","월09:00-09:50【530154】,월10:00-10:50【530154】,월11:00-11:50【530154】",일반수업,53,62,1
2024학년도 2학기,예방약학2,"월13:00-13:50【530254】,월14:00-14:50【530254】","월13:00-13:50【530254】,월14:00-14:50【530254】",일반수업,53,62,1
2024학년도 2학기,약제학2,목10:30-11:45【530154】【0.5h(ON)+1.5h(OFF)】,목10:30-11:45【530154】【0.5h(ON)+1.5h(OFF)】,일반수업,53,62,1
2024학년도 2학기,약물동력학,"월15:00-15:50【530254】,월16:00-16:50【530254】,월17:00-17:50【530254】","월15:00-15:50【530254】,월16:00-16:50【530254】,월17:00-17:50【530254】",일반수업,53,63,1
2024학년도 2학기,약리학2,"화13:00-13:50【530154】,화14:00-14:50【530154】","화13:00-13:50【530154】,화14:00-14:50【530154】",일반수업,53,65,1
2024학년도 2학기,약학실습2,"목13:00-13:50【530127】,목14:00-14:50【530127】,목15:00-15:50【530127】,목16:00-16:50【530127】","목13:00-13:50【530127】,목14:00-14:50【530127】,목15:00-15:50【530127】,목16:00-16:50【530127】",일반수업,53,0,0
2024학년도 2학기,유기약화학,"월15:00-15:50【530250】,월16:00-16:50【530250】,화13:00-13:50【530250】,화14:00-14:50【530250】","월15:00-15:50【530250】,월16:00-16:50【530250】,화13:00-13:50【530250】,화14:00-14:50【530250】",일반수업,53,0,0
2024학년도 2학기,약품분석학2,"월13:00-13:50【530250】,월14:00-14:50【530250】","월13:00-13:50【530250】,월14:00-14:50【530250】",일반수업,53,65,1
2024학년도 2학기,의약생물정보학,"수09:00-09:50【530250】,수10:00-10:50【530250】,수11:00-11:50【530250】","수09:00-09:50【530250】,수10:00-10:50【530250】,수11:00-11:50【530250】",국제어수업,53,65,1
2024학년도 2학기,인체해부생리학,"수16:00-16:50【530250】,수17:00-17:50【530250】,금10:00-10:50【530250】,금11:00-11:50【530250】","수16:00-16:50【530250】,수17:00-17:50【530250】,금10:00-10:50【530250】,금11:00-11:50【530250】",일반수업,53,65,1
2024학년도 2학기,유전학,"목09:00-09:50【530250】,목10:00-10:50【530250】,목11:00-11:50【530250】","목09:00-09:50【530250】,목10:00-10:50【530250】,목11:00-11:50【530250】",국제어수업,53,65,1
2024학년도 2학기,물리약학1,"화15:00-15:50【530250】,화16:00-16:50【530250】","화15:00-15:50【530250】,화16:00-16:50【530250】",일반수업,53,67,1
