학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,종합설계프로젝트,"화18:00-19:15【22003】,화19:30-20:45【22003】","화18:00-19:15【22003】,화19:30-20:45【22003】",일반수업,22,127,4
2024학년도 2학기,종합설계프로젝트,"화18:00-19:15【22203】,화19:30-20:45【85731】","화18:00-19:15【22203】,화19:30-20:45【85731】",일반수업,22,127,4
2024학년도 2학기,종합설계프로젝트,"목18:00-19:15【85731】,목19:30-20:45【85731】","목18:00-19:15【85731】,목19:30-20:45【85731】",일반수업,85,127,4
2024학년도 2학기,종합설계프로젝트,"화12:00-13:15【26305】,목13:30-14:45【26305】","화12:00-13:15【26305】,목13:30-14:45【26305】",국제어수업,26,127,4
2024학년도 2학기,자료구조개론,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2024학년도 2학기,자료구조개론,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,0,0
2024학년도 2학기,JAVA프로그래밍실습,"목18:00-18:50【85713】,목19:00-19:50【85713】,목20:00-20:50【85713】,목21:00-21:45【85713】","목18:00-18:50【85713】,목19:00-19:50【85713】,목20:00-20:50【85713】,목21:00-21:45【85713】",국제어수업,85,0,0
2024학년도 2학기,컴퓨터네트웍개론,"월16:30-17:45【85613】,수15:00-16:15【85613】【1h(ON)+3h(OFF)[4시간]】","월16:30-17:45【85613】,수15:00-16:15【85613】【1h(ON)+3h(OFF)[4시간]】",국제어수업,85,0,0
2024학년도 2학기,컴퓨터네트웍개론,"화13:30-14:45【85602】,목12:00-13:15【85602】","화13:30-14:45【85602】,목12:00-13:15【85602】",국제어수업,85,0,0
2024학년도 2학기,컴퓨터네트웍개론,"화13:30-14:45【85613】,목12:00-13:15【85613】","화13:30-14:45【85613】,목12:00-13:15【85613】",국제어수업,85,0,0
