학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,종합설계프로젝트,"화18:00-19:15【22003】,화19:30-20:45【22003】","화18:00-19:15【22003】,화19:30-20:45【22003】",일반수업,22,127,4
2024학년도 2학기,종합설계프로젝트,"화18:00-19:15【22203】,화19:30-20:45【85731】","화18:00-19:15【22203】,화19:30-20:45【85731】",일반수업,22,127,4
2024학년도 2학기,종합설계프로젝트,"목18:00-19:15【85731】,목19:30-20:45【85731】","목18:00-19:15【85731】,목19:30-20:45【85731】",일반수업,85,127,4
2024학년도 2학기,종합설계프로젝트,"화12:00-13:15【26305】,목13:30-14:45【26305】","화12:00-13:15【26305】,목13:30-14:45【26305】",국제어수업,26,127,4
2024학년도 2학기,시스템프로그램,"화16:30-17:45【26312】,목15:00-16:15【26312】","화16:30-17:45【26312】,목15:00-16:15【26312】",국제어수업,26,123,3
2024학년도 2학기,시스템프로그램,화15:00-16:15【26312】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【26312】【1.5h(ON)+1.5h(OFF)】,일반수업,26,123,3
2024학년도 2학기,시스템프로그램,"월15:00-16:15【85602】,수16:30-17:45【85602】","월15:00-16:15【85602】,수16:30-17:45【85602】",일반수업,85,123,3
2024학년도 2학기,자료구조개론,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,206,2
2024학년도 2학기,자료구조개론,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,206,2
2024학년도 2학기,알고리즘개론,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,알고리즘개론,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,알고리즘개론,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,오픈소스소프트웨어실습,"수18:00-18:50【23217】,수19:00-19:50【23217】,수20:00-20:50【23217】,수21:00-21:45【23217】","수18:00-18:50【23217】,수19:00-19:50【23217】,수20:00-20:50【23217】,수21:00-21:45【23217】",국제어수업,23,0,0
2024학년도 2학기,JAVA프로그래밍실습,"목18:00-18:50【85713】,목19:00-19:50【85713】,목20:00-20:50【85713】,목21:00-21:45【85713】","목18:00-18:50【85713】,목19:00-19:50【85713】,목20:00-20:50【85713】,목21:00-21:45【85713】",국제어수업,85,33,1
2024학년도 2학기,시스템프로그래밍실습,"화18:00-18:50【85713】,화19:00-19:50【85713】,화20:00-20:50【85713】,화21:00-21:45【85713】","화18:00-18:50【85713】,화19:00-19:50【85713】,화20:00-20:50【85713】,화21:00-21:45【85713】",일반수업,85,102,2
