학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,바이오창업교육,"【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】","【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】",일반수업,모듈B,61,1
2024학년도 2학기,생물통계학,"월15:00-16:15【31213】,수16:30-17:45【31213】","월15:00-16:15【31213】,수16:30-17:45【31213】",일반수업,31,35,1
2024학년도 2학기,계산생물학의최신동향,"화12:00-13:15【62306】,목13:30-14:45【62306】","화12:00-13:15【62306】,목13:30-14:45【62306】",국제어수업,62,60,1
2024학년도 2학기,기능유전체학,금16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,금16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,6,1
2024학년도 2학기,유전학,금12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,금12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,0,0
2024학년도 2학기,분자생물학,"수09:00-10:15【62355】,수10:30-11:45【62355】","수09:00-10:15【62355】,수10:30-11:45【62355】",일반수업,62,28,1
2024학년도 2학기,종양생물학,금16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,금16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2024학년도 2학기,자료구조개론,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,206,2
2024학년도 2학기,자료구조개론,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,206,2
2024학년도 2학기,알고리즘개론,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,알고리즘개론,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,알고리즘개론,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,심층신경망개론,"화09:00-10:15【26310】,목10:30-11:45【26310】","화09:00-10:15【26310】,목10:30-11:45【26310】",국제어수업,26,0,0
