학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,회로이론1,"화10:30-11:45【22110】,목09:00-10:15【22110】","화10:30-11:45【22110】,목09:00-10:15【22110】",국제어수업,22,345,6
2025학년도 1학기,회로이론1,"화10:30-11:45【22211】,목09:00-10:15【22211】","화10:30-11:45【22211】,목09:00-10:15【22211】",국제어수업,22,345,6
2025학년도 1학기,회로이론1,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,345,6
2025학년도 1학기,회로이론1,화10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,345,6
2025학년도 1학기,회로이론1,"화16:30-17:45【22410】,목15:00-16:15【22410】","화16:30-17:45【22410】,목15:00-16:15【22410】",국제어수업,22,345,6
2025학년도 1학기,회로이론1,"월16:30-17:45【22410】,수15:00-16:15【22410】","월16:30-17:45【22410】,수15:00-16:15【22410】",국제어수업,22,345,6
2025학년도 1학기,회로이론2,"화15:00-16:15【22410】,목16:30-17:45【22410】","화15:00-16:15【22410】,목16:30-17:45【22410】",일반수업,22,0,0
2025학년도 1학기,선형대수,"월13:30-14:45【31316】,수12:00-13:15【31316】","월13:30-14:45【31316】,수12:00-13:15【31316】",국제어수업,31,71,1
2025학년도 1학기,자연과학연구학점1,미지정,미지정,일반수업,0,24,13
2025학년도 1학기,일반역학1,"수09:00-10:15【31214】,수10:30-11:45【31214】","수09:00-10:15【31214】,수10:30-11:45【31214】",일반수업,31,67,1
2025학년도 1학기,일반역학1연습,"금10:00-10:50【31214】,금11:00-11:50【31214】","금10:00-10:50【31214】,금11:00-11:50【31214】",일반수업,31,15,1
2025학년도 1학기,기초물리학실험1,"화18:00-18:50【32352】,화19:00-19:50【32352】,목18:00-18:50【32352】,목19:00-19:50【32352】","화18:00-18:50【32352】,화19:00-19:50【32352】,목18:00-18:50【32352】,목19:00-19:50【32352】",국제어수업,32,30,1
2025학년도 1학기,수리물리학1,"화15:00-16:15【31214】,목16:30-17:45【31214】","화15:00-16:15【31214】,목16:30-17:45【31214】",일반수업,31,0,0
2025학년도 1학기,전자기학2,"화12:00-13:15【31214】,목13:30-14:45【31214】","화12:00-13:15【31214】,목13:30-14:45【31214】",국제어수업,31,0,0
2025학년도 1학기,양자역학1,"월12:00-13:15【31214】,수13:30-14:45【31214】","월12:00-13:15【31214】,수13:30-14:45【31214】",일반수업,31,44,1
2025학년도 1학기,양자역학1연습,"월15:00-15:50【61306】,월16:00-16:50【61306】","월15:00-15:50【61306】,월16:00-16:50【61306】",일반수업,61,31,1
2025학년도 1학기,전자물리학실험1,"월18:00-18:50【31352】,월19:00-19:50【31352】,수18:00-18:50【31352】,수19:00-19:50【31352】","월18:00-18:50【31352】,월19:00-19:50【31352】,수18:00-18:50【31352】,수19:00-19:50【31352】",국제어수업,31,39,1
2025학년도 1학기,데이터물리학,"월09:00-10:15【51152】,수10:30-11:45【51152】","월09:00-10:15【51152】,수10:30-11:45【51152】",국제어수업,51,0,0
2025학년도 1학기,고급물리학실험1,"금17:00-17:50【31214】,금18:00-18:50【31214】,금19:00-19:50【31214】,금20:00-20:50【31214】","금17:00-17:50【31214】,금18:00-18:50【31214】,금19:00-19:50【31214】,금20:00-20:50【31214】",국제어수업,31,0,0
2025학년도 1학기,졸업논문연구,미지정,미지정,일반수업,0,5,1
2025학년도 1학기,현대물리학,"화13:30-14:45【31214】,목12:00-13:15【31214】","화13:30-14:45【31214】,목12:00-13:15【31214】",일반수업,31,33,1
2025학년도 1학기,파인만의눈으로보는세상,"월10:30-11:45【61306】,수09:00-10:15【61306】","월10:30-11:45【61306】,수09:00-10:15【61306】",국제어수업,61,13,1
2025학년도 1학기,물리세미나1,수17:00-17:50【31214】,수17:00-17:50【31214】,일반수업,31,0,0
2025학년도 1학기,고체물리2,"화10:30-11:45【31355】,목09:00-10:15【31355】","화10:30-11:45【31355】,목09:00-10:15【31355】",일반수업,31,0,0
2025학년도 1학기,고전역학,"수12:00-13:15【31355】,수13:30-14:45【31355】","수12:00-13:15【31355】,수13:30-14:45【31355】",일반수업,31,0,0
2025학년도 1학기,대학원전자기학1,"월12:00-13:15【31355】,월13:30-14:45【31355】","월12:00-13:15【31355】,월13:30-14:45【31355】",국제어수업,31,0,0
2025학년도 1학기,중력파와검출기과학,수18:00-19:15【31355】【1.5h(ON)+1.5h(OFF)】,수18:00-19:15【31355】【1.5h(ON)+1.5h(OFF)】,국제어수업,31,0,0
