학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,재료현대물리,"월12:00-13:15【26108】,수13:30-14:45【26108】","월12:00-13:15【26108】,수13:30-14:45【26108】",일반수업,26,143,2
2025학년도 1학기,재료현대물리,"화16:30-17:45【26108】,목15:00-16:15【26108】","화16:30-17:45【26108】,목15:00-16:15【26108】",국제어수업,26,143,2
2025학년도 1학기,재료물리화학,"월10:30-11:45【26311】,수09:00-10:15【26311】","월10:30-11:45【26311】,수09:00-10:15【26311】",일반수업,26,46,1
2025학년도 1학기,결정구조및X-선회절,화09:00-10:15【26110】【1.5h(ON)+1.5h(OFF)】,화09:00-10:15【26110】【1.5h(ON)+1.5h(OFF)】,일반수업,26,137,3
2025학년도 1학기,결정구조및X-선회절,"화16:30-17:45【26311】,목15:00-16:15【26311】","화16:30-17:45【26311】,목15:00-16:15【26311】",일반수업,26,137,3
2025학년도 1학기,결정구조및X-선회절,"화10:30-11:45【26311】,목09:00-10:15【26311】","화10:30-11:45【26311】,목09:00-10:15【26311】",국제어수업,26,137,3
2025학년도 1학기,신소재공학개론1,"화13:30-14:45【26108】,목12:00-13:15【26108】","화13:30-14:45【26108】,목12:00-13:15【26108】",국제어수업,26,0,0
2025학년도 1학기,신소재공학개론1,"화15:00-16:15【26108】,목16:30-17:45【26108】","화15:00-16:15【26108】,목16:30-17:45【26108】",일반수업,26,0,0
2025학년도 1학기,신소재공학개론1,"월16:30-17:45【26311】,수15:00-16:15【26311】","월16:30-17:45【26311】,수15:00-16:15【26311】",국제어수업,26,0,0
2025학년도 1학기,전자세라믹소재,월13:30-14:45【26108】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【26108】【1.5h(ON)+1.5h(OFF)】,일반수업,26,65,1
2025학년도 1학기,재료화학개론,"월09:00-10:15【26108】,수10:30-11:45【26108】","월09:00-10:15【26108】,수10:30-11:45【26108】",일반수업,26,39,1
2025학년도 1학기,반도체공학개론,"월15:00-16:15【26311】,수16:30-17:45【26311】","월15:00-16:15【26311】,수16:30-17:45【26311】",일반수업,26,0,0
2025학년도 1학기,반도체공학개론,"화12:00-13:15【26311】,목13:30-14:45【26311】","화12:00-13:15【26311】,목13:30-14:45【26311】",국제어수업,26,0,0
2025학년도 1학기,신소재강도학,월12:00-13:15【26311】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【26311】【1.5h(ON)+1.5h(OFF)】,일반수업,26,105,2
2025학년도 1학기,신소재강도학,"화09:00-10:15【26311】,목10:30-11:45【26311】","화09:00-10:15【26311】,목10:30-11:45【26311】",국제어수업,26,105,2
2025학년도 1학기,바이오재료,화13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 1학기,재료계면과학,"월15:00-16:15【26108】,수16:30-17:45【26108】","월15:00-16:15【26108】,수16:30-17:45【26108】",일반수업,26,36,1
2025학년도 1학기,신소재첨단분석법,"월16:30-17:45【26108】,수15:00-16:15【26108】","월16:30-17:45【26108】,수15:00-16:15【26108】",국제어수업,26,0,0
2025학년도 1학기,신소재첨단분석법,화10:30-11:45【26108】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26108】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2025학년도 1학기,재료분석실험,"화18:00-18:50【26108】,화19:00-19:50【26108】,화20:00-20:50【26108】,목21:00-21:45【26108】,목21:45-22:30【26108】,목22:30-23:15【26108】","화18:00-18:50【26108】,화19:00-19:50【26108】,화20:00-20:50【26108】,목21:00-21:45【26108】,목21:45-22:30【26108】,목22:30-23:15【26108】",국제어수업,26,36,3
2025학년도 1학기,재료분석실험,"화18:00-18:50【26311】,화19:00-19:50【26311】,화20:00-20:50【26311】,목21:00-21:45【26311】,목21:45-22:30【26311】,목22:30-23:15【26311】","화18:00-18:50【26311】,화19:00-19:50【26311】,화20:00-20:50【26311】,목21:00-21:45【26311】,목21:45-22:30【26311】,목22:30-23:15【26311】",일반수업,26,36,3
2025학년도 1학기,재료분석실험,"화21:00-21:45【26108】,화21:45-22:30【26108】,화22:30-23:15【26108】,목18:00-18:50【26108】,목19:00-19:50【26108】,목20:00-20:50【26108】","화21:00-21:45【26108】,화21:45-22:30【26108】,화22:30-23:15【26108】,목18:00-18:50【26108】,목19:00-19:50【26108】,목20:00-20:50【26108】",국제어수업,26,36,3
2025학년도 1학기,반도체공정실험,"월18:00-18:50【26108】,월19:00-19:50【26108】,월20:00-20:50【26108】,수21:00-21:45【26108】,수21:45-22:30【26108】,수22:30-23:15【26108】","월18:00-18:50【26108】,월19:00-19:50【26108】,월20:00-20:50【26108】,수21:00-21:45【26108】,수21:45-22:30【26108】,수22:30-23:15【26108】",국제어수업,26,0,0
2025학년도 1학기,반도체공정실험,"월21:00-21:45【26108】,월21:45-22:30【26108】,월22:30-23:15【26108】,수18:00-18:50【26108】,수19:00-19:50【26108】,수20:00-20:50【26108】","월21:00-21:45【26108】,월21:45-22:30【26108】,월22:30-23:15【26108】,수18:00-18:50【26108】,수19:00-19:50【26108】,수20:00-20:50【26108】",국제어수업,26,0,0
2025학년도 1학기,반도체공정실험,"월18:00-18:50【26311】,월19:00-19:50【26311】,월20:00-20:50【26311】,수21:00-21:45【26311】,수21:45-22:30【26311】,수22:30-23:15【26311】","월18:00-18:50【26311】,월19:00-19:50【26311】,월20:00-20:50【26311】,수21:00-21:45【26311】,수21:45-22:30【26311】,수22:30-23:15【26311】",국제어수업,26,0,0
2025학년도 1학기,반도체패키지기초,"화15:00-16:15【26311】,목16:30-17:45【26311】","화15:00-16:15【26311】,목16:30-17:45【26311】",국제어수업,26,55,1
2025학년도 1학기,신소재종합설계,"금12:00-13:15【26108】,금13:30-14:45【26108】","금12:00-13:15【26108】,금13:30-14:45【26108】",국제어수업,26,80,2
2025학년도 1학기,신소재종합설계,"금09:00-10:15【26108】,금10:30-11:45【26108】","금09:00-10:15【26108】,금10:30-11:45【26108】",국제어수업,26,80,2
2025학년도 1학기,금속재료공학,"금15:00-16:15【26110】,금16:30-17:45【26110】","금15:00-16:15【26110】,금16:30-17:45【26110】",일반수업,26,0,0
