학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,양자정보공학입문1,"월16:30-17:45【83279】,수15:00-16:15【83279】","월16:30-17:45【83279】,수15:00-16:15【83279】",일반수업,83,30,1
2025학년도 1학기,공학수치해석,"화13:30-14:45【26515】,목12:00-13:15【26515】","화13:30-14:45【26515】,목12:00-13:15【26515】",국제어수업,26,69,1
2025학년도 1학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,109,2
2025학년도 1학기,기술경영개론,"토09:00-10:15【미지정】,토10:30-11:45【미지정】","토09:00-10:15【미지정】,토10:30-11:45【미지정】",일반수업,0,109,2
2025학년도 1학기,공학기초수학1,화09:00-10:15【26307】【1.5h(ON)+1.5h(OFF)】,화09:00-10:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,707,12
2025학년도 1학기,공학기초수학1,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,707,12
2025학년도 1학기,공학기초수학1,화15:00-16:15【26307】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,707,12
2025학년도 1학기,공학기초수학1,화16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,707,12
2025학년도 1학기,공학기초수학1,수12:00-13:15【26307】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,707,12
2025학년도 1학기,공학기초수학1,수16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,707,12
2025학년도 1학기,공학기초수학1,"월15:00-16:15【26223】,수16:30-17:45【26223】","월15:00-16:15【26223】,수16:30-17:45【26223】",일반수업,26,707,12
2025학년도 1학기,공학기초수학1,"화13:30-14:45【26307】,목12:00-13:15【26307】","화13:30-14:45【26307】,목12:00-13:15【26307】",국제어수업,26,707,12
2025학년도 1학기,공학기초수학1,"월12:00-13:15【26223】,수13:30-14:45【26223】","월12:00-13:15【26223】,수13:30-14:45【26223】",일반수업,26,707,12
2025학년도 1학기,공학기초수학1,"월13:30-14:45【26223】,수12:00-13:15【26223】","월13:30-14:45【26223】,수12:00-13:15【26223】",일반수업,26,707,12
2025학년도 1학기,공학기초수학1,월15:00-16:15【83140】【1.5h(ON)+1.5h(OFF)】,월15:00-16:15【83140】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,707,12
2025학년도 1학기,공학기초수학1,"월12:00-13:15【85712】,수13:30-14:45【85712】","월12:00-13:15【85712】,수13:30-14:45【85712】",일반수업,85,707,12
2025학년도 1학기,인공지능과디지털수학,"금09:00-10:15【26223】,금10:30-11:45【26223】","금09:00-10:15【26223】,금10:30-11:45【26223】",일반수업,26,0,0
2025학년도 1학기,기계와인간그리고지능,"화09:00-10:15【23217】,화10:30-11:45【23217】","화09:00-10:15【23217】,화10:30-11:45【23217】",일반수업,23,67,1
2025학년도 1학기,공학연구프로젝트Ⅱ,미지정,미지정,일반수업,0,69,33
2025학년도 1학기,열린양자시스템의동역학과제어,"월12:00-13:15【83140】,월13:30-14:45【83140】","월12:00-13:15【83140】,월13:30-14:45【83140】",국제어수업,83,0,0
2025학년도 1학기,양자정보과학Ⅰ,금13:30-14:45【83191】【1.5h(ON)+1.5h(OFF)】,금13:30-14:45【83191】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,0,0
