학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,감염체의이해,"화09:00-09:50【711127】,화10:00-10:50【711127】,화11:00-11:50【711127】,목13:00-13:50【711127】,목14:00-14:50【711127】","화09:00-09:50【711127】,화10:00-10:50【711127】,화11:00-11:50【711127】,목13:00-13:50【711127】,목14:00-14:50【711127】",일반수업,71,2,1
2025학년도 1학기,약리의이해,"화13:00-13:50【711127】,화14:00-14:50【711127】,목09:00-09:50【711127】,목10:00-10:50【711127】","화13:00-13:50【711127】,화14:00-14:50【711127】,목09:00-09:50【711127】,목10:00-10:50【711127】",일반수업,71,2,1
2025학년도 1학기,의학통계,"월13:00-13:50【711127】,월14:00-14:50【711127】,월15:00-15:50【711127】","월13:00-13:50【711127】,월14:00-14:50【711127】,월15:00-15:50【711127】",일반수업,71,2,1
2025학년도 1학기,인체방어기전,"월09:00-09:50【711127】,월10:00-10:50【711127】,월11:00-11:50【711127】","월09:00-09:50【711127】,월10:00-10:50【711127】,월11:00-11:50【711127】",일반수업,71,0,0
2025학년도 1학기,질병의병리기전,"금09:00-09:50【711127】,금10:00-10:50【711127】,금11:00-11:50【711127】","금09:00-09:50【711127】,금10:00-10:50【711127】,금11:00-11:50【711127】",일반수업,71,2,1
2025학년도 1학기,환자와의사2,"목14:00-14:50【711125】,목15:00-15:50【711125】","목14:00-14:50【711125】,목15:00-15:50【711125】",일반수업,71,0,0
2025학년도 1학기,필수학생연구2,미지정,미지정,일반수업,0,1,1
2025학년도 1학기,내과학실습,"월08:00-08:50【미지정】,월09:00-09:50【미지정】,월10:00-10:50【미지정】,월11:00-11:50【미지정】,월12:00-12:50【미지정】,월13:00-13:50【미지정】,월14:00-14:50【미지정】,월15:00-15:50【미지정】,월16:00-16:50【미지정】,월17:00-17:50【미지정】,","월08:00-08:50【미지정】,월09:00-09:50【미지정】,월10:00-10:50【미지정】,월11:00-11:50【미지정】,월12:00-12:50【미지정】,월13:00-13:50【미지정】,월14:00-14:50【미지정】,월15:00-15:50【미지정】,월16:00-16:50【미지정】,월17:00-17:50【미지정】,",일반수업,0,1,1
2025학년도 1학기,산부인과학실습,"목08:00-08:50【미지정】,목09:00-09:50【미지정】,목10:00-10:50【미지정】,목11:00-11:50【미지정】,목18:00-18:50【미지정】,목19:00-19:50【미지정】,목20:00-20:50【미지정】,목21:00-21:45【미지정】","목08:00-08:50【미지정】,목09:00-09:50【미지정】,목10:00-10:50【미지정】,목11:00-11:50【미지정】,목18:00-18:50【미지정】,목19:00-19:50【미지정】,목20:00-20:50【미지정】,목21:00-21:45【미지정】",일반수업,0,1,1
2025학년도 1학기,소아청소년과학실습,"월08:00-08:50【미지정】,월09:00-09:50【미지정】,월10:00-10:50【미지정】,월11:00-11:50【미지정】,월18:00-18:50【미지정】,월19:00-19:50【미지정】,월20:00-20:50【미지정】,월21:00-21:45【미지정】","월08:00-08:50【미지정】,월09:00-09:50【미지정】,월10:00-10:50【미지정】,월11:00-11:50【미지정】,월18:00-18:50【미지정】,월19:00-19:50【미지정】,월20:00-20:50【미지정】,월21:00-21:45【미지정】",일반수업,0,0,0
2025학년도 1학기,신경과학실습,"수08:00-08:50【미지정】,수09:00-09:50【미지정】,수10:00-10:50【미지정】,수11:00-11:50【미지정】,수18:00-18:50【미지정】,수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】","수08:00-08:50【미지정】,수09:00-09:50【미지정】,수10:00-10:50【미지정】,수11:00-11:50【미지정】,수18:00-18:50【미지정】,수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】",일반수업,0,0,0
