학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,생물분자구조학,"월12:00-13:15【31213】,수13:30-14:45【31213】","월12:00-13:15【31213】,수13:30-14:45【31213】",국제어수업,31,75,1
2025학년도 1학기,물리화학1,수15:00-16:15【330126】【1.5h(ON)+1.5h(OFF)】,수15:00-16:15【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,94,1
2025학년도 1학기,유기화학1,"화13:30-14:45【330126】,목12:00-13:15【330126】","화13:30-14:45【330126】,목12:00-13:15【330126】",일반수업,33,124,3
2025학년도 1학기,유기화학1,"화13:30-14:45【330102】,목12:00-13:15【330102】","화13:30-14:45【330102】,목12:00-13:15【330102】",일반수업,33,124,3
2025학년도 1학기,유기화학1,화13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,일반수업,33,124,3
2025학년도 1학기,무기화학1,"월13:30-14:45【330126】,수12:00-13:15【330126】【1h(ON)+3h(OFF)[4시간]】","월13:30-14:45【330126】,수12:00-13:15【330126】【1h(ON)+3h(OFF)[4시간]】",일반수업,33,0,0
2025학년도 1학기,분석화학1,"화09:00-10:15【330126】,목10:30-11:45【330126】","화09:00-10:15【330126】,목10:30-11:45【330126】",일반수업,33,0,0
2025학년도 1학기,물리화학3,"월10:30-11:45【330126】,수09:00-10:15【330126】【1h(ON)+3h(OFF)[4시간]】","월10:30-11:45【330126】,수09:00-10:15【330126】【1h(ON)+3h(OFF)[4시간]】",국제어수업,33,0,0
2025학년도 1학기,물리화학실험1,"월18:00-18:50【32254B】,월19:00-19:50【32254B】","월18:00-18:50【32254B】,월19:00-19:50【32254B】",국제어수업,32,98,4
2025학년도 1학기,물리화학실험1,"화18:00-18:50【32254B】,화19:00-19:50【32254B】","화18:00-18:50【32254B】,화19:00-19:50【32254B】",국제어수업,32,98,4
2025학년도 1학기,물리화학실험1,"수18:00-18:50【32254B】,수19:00-19:50【32254B】","수18:00-18:50【32254B】,수19:00-19:50【32254B】",국제어수업,32,98,4
2025학년도 1학기,물리화학실험1,"목18:00-18:50【32254B】,목19:00-19:50【32254B】","목18:00-18:50【32254B】,목19:00-19:50【32254B】",국제어수업,32,98,4
2025학년도 1학기,유기화학실험1,"월18:00-18:50【330231】,월19:00-19:50【330231】","월18:00-18:50【330231】,월19:00-19:50【330231】",국제어수업,33,63,4
2025학년도 1학기,유기화학실험1,"화18:00-18:50【330231】,화19:00-19:50【330231】","화18:00-18:50【330231】,화19:00-19:50【330231】",국제어수업,33,63,4
2025학년도 1학기,유기화학실험1,"수18:00-18:50【330231】,수19:00-19:50【330231】","수18:00-18:50【330231】,수19:00-19:50【330231】",국제어수업,33,63,4
2025학년도 1학기,유기화학실험1,"목18:00-18:50【330231】,목19:00-19:50【330231】","목18:00-18:50【330231】,목19:00-19:50【330231】",국제어수업,33,63,4
2025학년도 1학기,무기화학실험1,월18:00-19:10【330225】【0.5h(ON)+1.5h(OFF)】,월18:00-19:10【330225】【0.5h(ON)+1.5h(OFF)】,국제어수업,33,0,0
2025학년도 1학기,무기화학실험1,화18:00-19:10【330225】【0.5h(ON)+1.5h(OFF)】,화18:00-19:10【330225】【0.5h(ON)+1.5h(OFF)】,국제어수업,33,0,0
2025학년도 1학기,무기화학실험1,목18:00-19:10【330225】【0.5h(ON)+1.5h(OFF)】,목18:00-19:10【330225】【0.5h(ON)+1.5h(OFF)】,국제어수업,33,0,0
2025학년도 1학기,분광학,"화16:30-17:45【330126】,목15:00-16:15【330126】","화16:30-17:45【330126】,목15:00-16:15【330126】",일반수업,33,0,0
2025학년도 1학기,생물화학1,"화15:00-16:15【330126】,목16:30-17:45【330126】","화15:00-16:15【330126】,목16:30-17:45【330126】",일반수업,33,30,1
2025학년도 1학기,기초유기금속화학,"월12:00-13:15【330126】,수13:30-14:45【330126】","월12:00-13:15【330126】,수13:30-14:45【330126】",일반수업,33,18,1
2025학년도 1학기,졸업논문연구1,미지정,미지정,일반수업,0,0,0
2025학년도 1학기,기기분석1,"월09:00-10:15【330126】,수10:30-11:45【330126】","월09:00-10:15【330126】,수10:30-11:45【330126】",일반수업,33,0,0
2025학년도 1학기,생체분자화학,화12:00-13:15【330126】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,110,1
2025학년도 1학기,생물화학실험,"수18:00-18:50【330219】,수19:00-19:50【330219】","수18:00-18:50【330219】,수19:00-19:50【330219】",국제어수업,33,20,1
2025학년도 1학기,화학개별연구1,미지정,미지정,일반수업,0,2,1
2025학년도 1학기,에너지소재화학,화10:30-11:45【330126】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,0,0
2025학년도 1학기,재료화학1,"월15:00-16:15【330126】,수16:30-17:45【330126】","월15:00-16:15【330126】,수16:30-17:45【330126】",일반수업,33,0,0
2025학년도 1학기,유기의약소재구조분석,"월16:30-17:45【330118】,수15:00-16:15【330118】","월16:30-17:45【330118】,수15:00-16:15【330118】",일반수업,33,0,0
2025학년도 1학기,생체면역화학,목13:30-14:45【330126】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,0,0
2025학년도 1학기,고급물리화학1,"수09:00-10:15【330226】,수10:30-11:45【330226】","수09:00-10:15【330226】,수10:30-11:45【330226】",국제어수업,33,0,0
2025학년도 1학기,고급유기화학1,"월12:00-13:15【330226】,월13:30-14:45【330226】","월12:00-13:15【330226】,월13:30-14:45【330226】",국제어수업,33,0,0
2025학년도 1학기,화학현장실습3,미지정,미지정,일반수업,0,0,0
2025학년도 1학기,고분자소재화학,"목12:00-13:15【330226】,목13:30-14:45【330226】","목12:00-13:15【330226】,목13:30-14:45【330226】",국제어수업,33,0,0
2025학년도 1학기,빛전기유도화학반응,"월15:00-16:15【330226】,월16:30-17:45【330226】","월15:00-16:15【330226】,월16:30-17:45【330226】",국제어수업,33,0,0
2025학년도 1학기,양자에너지고분자화학,"수12:00-13:15【330226】,수13:30-14:45【330226】","수12:00-13:15【330226】,수13:30-14:45【330226】",국제어수업,33,0,0
2025학년도 1학기,유전자교정기술,목16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【62306】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2025학년도 1학기,자연과학연구학점1,미지정,미지정,일반수업,0,24,13
2025학년도 1학기,일반역학1,"수09:00-10:15【31214】,수10:30-11:45【31214】","수09:00-10:15【31214】,수10:30-11:45【31214】",일반수업,31,0,0
2025학년도 1학기,양자역학1,"월12:00-13:15【31214】,수13:30-14:45【31214】","월12:00-13:15【31214】,수13:30-14:45【31214】",일반수업,31,0,0
