학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,플라즈마공정및장비,"월12:00-13:15【23219】,월13:30-14:45【23219】","월12:00-13:15【23219】,월13:30-14:45【23219】",일반수업,23,0,0
2025학년도 2학기,광학기초,"월13:30-14:45【21502】,수12:00-13:15【21502】","월13:30-14:45【21502】,수12:00-13:15【21502】",국제어수업,21,53,1
2025학년도 2학기,전산제도,목12:00-13:15【22306】【0.5h(ON)+1.5h(OFF)】,목12:00-13:15【22306】【0.5h(ON)+1.5h(OFF)】,국제어수업,22,61,2
2025학년도 2학기,전산제도,금09:00-10:15【22306】【0.5h(ON)+1.5h(OFF)】,금09:00-10:15【22306】【0.5h(ON)+1.5h(OFF)】,국제어수업,22,61,2
2025학년도 2학기,열역학,"월16:30-17:45【22310】,수15:00-16:15【22310】","월16:30-17:45【22310】,수15:00-16:15【22310】",일반수업,22,0,0
2025학년도 2학기,유체역학,"화15:00-16:15【22310】,목16:30-17:45【22310】","화15:00-16:15【22310】,목16:30-17:45【22310】",일반수업,22,177,4
2025학년도 2학기,유체역학,"화15:00-16:15【22312】,목16:30-17:45【22312】","화15:00-16:15【22312】,목16:30-17:45【22312】",일반수업,22,177,4
2025학년도 2학기,유체역학,"화16:30-17:45【22310】,목15:00-16:15【22310】","화16:30-17:45【22310】,목15:00-16:15【22310】",일반수업,22,177,4
2025학년도 2학기,유체역학,수16:30-17:45【22310】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【22310】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,177,4
2025학년도 2학기,동역학,"월10:30-11:45【22312】,수09:00-10:15【22312】","월10:30-11:45【22312】,수09:00-10:15【22312】",국제어수업,22,156,2
2025학년도 2학기,동역학,"화16:30-17:45【22312】,목15:00-16:15【22312】","화16:30-17:45【22312】,목15:00-16:15【22312】",국제어수업,22,156,2
2025학년도 2학기,고체역학,"월16:30-17:45【22312】,수15:00-16:15【22312】","월16:30-17:45【22312】,수15:00-16:15【22312】",일반수업,22,19,1
2025학년도 2학기,기계재료,"월15:00-16:15【22312】,수16:30-17:45【22312】","월15:00-16:15【22312】,수16:30-17:45【22312】",일반수업,22,75,2
2025학년도 2학기,기계재료,화10:30-11:45【22310】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22310】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,75,2
2025학년도 2학기,기계공학도를위한전기전자공학입문,"화12:00-13:15【22312】,목13:30-14:45【22312】","화12:00-13:15【22312】,목13:30-14:45【22312】",일반수업,22,0,0
2025학년도 2학기,기계공학프로그래밍,월10:30-11:45【22306】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【22306】【1.5h(ON)+1.5h(OFF)】,일반수업,22,58,1
2025학년도 2학기,열전달,"월13:30-14:45【22310】,수12:00-13:15【22310】","월13:30-14:45【22310】,수12:00-13:15【22310】",국제어수업,22,55,1
2025학년도 2학기,에너지와환경,"월09:00-10:15【22310】,수10:30-11:45【22310】","월09:00-10:15【22310】,수10:30-11:45【22310】",국제어수업,22,77,3
2025학년도 2학기,에너지와환경,"월12:00-13:15【22312】,수13:30-14:45【22312】","월12:00-13:15【22312】,수13:30-14:45【22312】",국제어수업,22,77,3
2025학년도 2학기,에너지와환경,"화10:30-11:45【22312】,목09:00-10:15【22312】","화10:30-11:45【22312】,목09:00-10:15【22312】",일반수업,22,77,3
2025학년도 2학기,기구학,"화13:30-14:45【22310】,목12:00-13:15【22310】","화13:30-14:45【22310】,목12:00-13:15【22310】",국제어수업,22,35,1
2025학년도 2학기,기계진동학,"월09:00-10:15【22312】,수10:30-11:45【22312】","월09:00-10:15【22312】,수10:30-11:45【22312】",국제어수업,22,67,1
2025학년도 2학기,계측공학,"화09:00-10:15【22310】,목10:30-11:45【22310】","화09:00-10:15【22310】,목10:30-11:45【22310】",국제어수업,22,51,1
2025학년도 2학기,응용고체역학,월13:30-14:45【22301】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【22301】【1.5h(ON)+1.5h(OFF)】,일반수업,22,36,1
2025학년도 2학기,탄성학,화13:30-14:45【22301】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【22301】【1.5h(ON)+1.5h(OFF)】,일반수업,22,15,1
2025학년도 2학기,졸업논문연구,미지정,미지정,일반수업,0,2,1
2025학년도 2학기,고체역학설계실습,"월15:00-15:50【22301】,월16:00-16:50【22301】,월17:00-17:50【22301】,월18:00-18:50【22301】,월19:00-19:50【22301】,월20:00-20:50【22301】","월15:00-15:50【22301】,월16:00-16:50【22301】,월17:00-17:50【22301】,월18:00-18:50【22301】,월19:00-19:50【22301】,월20:00-20:50【22301】",국제어수업,22,0,0
2025학년도 2학기,고체역학설계실습,"수15:00-15:50【22302】,수16:00-16:50【22302】,수17:00-17:50【22302】,수18:00-18:50【22302】,수19:00-19:50【22302】,수20:00-20:50【22302】","수15:00-15:50【22302】,수16:00-16:50【22302】,수17:00-17:50【22302】,수18:00-18:50【22302】,수19:00-19:50【22302】,수20:00-20:50【22302】",국제어수업,22,0,0
2025학년도 2학기,고체역학설계실습,"목15:00-15:50【22301】,목16:00-16:50【22301】,목17:00-17:50【22301】,목18:00-18:50【22301】,목19:00-19:50【22301】,목20:00-20:50【22301】","목15:00-15:50【22301】,목16:00-16:50【22301】,목17:00-17:50【22301】,목18:00-18:50【22301】,목19:00-19:50【22301】,목20:00-20:50【22301】",국제어수업,22,0,0
2025학년도 2학기,열유체공학설계실습,"월15:00-15:50【22306】,월16:00-16:50【22306】,월17:00-17:50【22306】,월18:00-18:50【22306】,월19:00-19:50【22306】,월20:00-20:50【22306】","월15:00-15:50【22306】,월16:00-16:50【22306】,월17:00-17:50【22306】,월18:00-18:50【22306】,월19:00-19:50【22306】,월20:00-20:50【22306】",국제어수업,22,0,0
2025학년도 2학기,열유체공학설계실습,"화15:00-15:50【22306】,화16:00-16:50【22306】,화17:00-17:50【22306】,화18:00-18:50【22306】,화19:00-19:50【22306】,화20:00-20:50【22306】","화15:00-15:50【22306】,화16:00-16:50【22306】,화17:00-17:50【22306】,화18:00-18:50【22306】,화19:00-19:50【22306】,화20:00-20:50【22306】",국제어수업,22,0,0
2025학년도 2학기,열유체공학설계실습,"수15:00-15:50【22306】,수16:00-16:50【22306】,수17:00-17:50【22306】,수18:00-18:50【22306】,수19:00-19:50【22306】,수20:00-20:50【22306】","수15:00-15:50【22306】,수16:00-16:50【22306】,수17:00-17:50【22306】,수18:00-18:50【22306】,수19:00-19:50【22306】,수20:00-20:50【22306】",국제어수업,22,0,0
2025학년도 2학기,진동및동적시스템설계실습,"화15:00-15:50【85427】,화16:00-16:50【85427】,화17:00-17:50【85427】,화18:00-18:50【85427】,화19:00-19:50【85427】,화20:00-20:50【85427】","화15:00-15:50【85427】,화16:00-16:50【85427】,화17:00-17:50【85427】,화18:00-18:50【85427】,화19:00-19:50【85427】,화20:00-20:50【85427】",국제어수업,85,86,3
2025학년도 2학기,진동및동적시스템설계실습,"수15:00-15:50【85427】,수16:00-16:50【85427】,수17:00-17:50【85427】,수18:00-18:50【85427】,수19:00-19:50【85427】,수20:00-20:50【85427】","수15:00-15:50【85427】,수16:00-16:50【85427】,수17:00-17:50【85427】,수18:00-18:50【85427】,수19:00-19:50【85427】,수20:00-20:50【85427】",국제어수업,85,86,3
2025학년도 2학기,진동및동적시스템설계실습,"목15:00-15:50【85427】,목16:00-16:50【85427】,목17:00-17:50【85427】,목18:00-18:50【85427】,목19:00-19:50【85427】,목20:00-20:50【85427】","목15:00-15:50【85427】,목16:00-16:50【85427】,목17:00-17:50【85427】,목18:00-18:50【85427】,목19:00-19:50【85427】,목20:00-20:50【85427】",국제어수업,85,86,3
2025학년도 2학기,종합설계실습,"화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】","화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】",국제어수업,22,0,0
