학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,차세대바이오헬스캡스톤디자인,"월18:00-19:15【61306】,월19:30-20:45【61306】","월18:00-19:15【61306】,월19:30-20:45【61306】",일반수업,61,25,1
2025학년도 2학기,분자생물학,"금09:00-10:15【31213】,금10:30-11:45【31213】","금09:00-10:15【31213】,금10:30-11:45【31213】",일반수업,31,105,2
2025학년도 2학기,분자생물학,"금15:00-16:15【31213】,금16:30-17:45【31213】","금15:00-16:15【31213】,금16:30-17:45【31213】",일반수업,31,105,2
2025학년도 2학기,생물물리학,"화09:00-10:15【31213】,목10:30-11:45【31213】","화09:00-10:15【31213】,목10:30-11:45【31213】",일반수업,31,37,1
2025학년도 2학기,분자세포생물학실험1,"월18:00-18:50【32263C】,월19:00-19:50【32263C】,월20:00-20:50【32263C】,월21:00-21:45【32263C】","월18:00-18:50【32263C】,월19:00-19:50【32263C】,월20:00-20:50【32263C】,월21:00-21:45【32263C】",일반수업,32,0,0
2025학년도 2학기,분자세포생물학실험2,"화18:00-18:50【32263C】,화19:00-19:50【32263C】,화20:00-20:50【32263C】,화21:00-21:45【32263C】","화18:00-18:50【32263C】,화19:00-19:50【32263C】,화20:00-20:50【32263C】,화21:00-21:45【32263C】",일반수업,32,0,0
2025학년도 2학기,유전및유전체학,"화12:00-13:15【31213】,목13:30-14:45【31213】","화12:00-13:15【31213】,목13:30-14:45【31213】",일반수업,31,0,0
2025학년도 2학기,동물생리학,"【모듈A】월10:30-11:45【31213】,수09:00-10:15【31213】","【모듈A】월10:30-11:45【31213】,수09:00-10:15【31213】",일반수업,모듈A,0,0
2025학년도 2학기,미생물학,"월09:00-10:15【31213】,수10:30-11:45【31213】","월09:00-10:15【31213】,수10:30-11:45【31213】",일반수업,31,77,1
2025학년도 2학기,바이러스학,"월13:30-14:45【31213】,수12:00-13:15【31213】","월13:30-14:45【31213】,수12:00-13:15【31213】",일반수업,31,0,0
2025학년도 2학기,진화학,"금12:00-13:15【31213】,금13:30-14:45【31213】","금12:00-13:15【31213】,금13:30-14:45【31213】",일반수업,31,0,0
2025학년도 2학기,분자세포당생물학,"화15:00-16:15【31213】,목16:30-17:45【31213】","화15:00-16:15【31213】,목16:30-17:45【31213】",국제어수업,31,0,0
2025학년도 2학기,식물생리학,"월16:30-17:45【31213】,수15:00-16:15【31213】","월16:30-17:45【31213】,수15:00-16:15【31213】",일반수업,31,0,0
2025학년도 2학기,생체대사조절학,"월12:00-13:15【31213】,수13:30-14:45【31213】","월12:00-13:15【31213】,수13:30-14:45【31213】",일반수업,31,75,1
2025학년도 2학기,생명과학연구2,미지정,미지정,일반수업,0,1,1
2025학년도 2학기,분자세포생물학실험3,"수18:00-18:50【32263C】,수19:00-19:50【32263C】,수20:00-20:50【32263C】,수21:00-21:45【32263C】","수18:00-18:50【32263C】,수19:00-19:50【32263C】,수20:00-20:50【32263C】,수21:00-21:45【32263C】",일반수업,32,12,1
2025학년도 2학기,동물발생학특론,"금09:00-10:15【32153】,금10:30-11:45【32153】","금09:00-10:15【32153】,금10:30-11:45【32153】",국제어수업,32,0,0
2025학년도 2학기,미생물생리학특론,"수15:00-16:15【32153】,수16:30-17:45【32153】","수15:00-16:15【32153】,수16:30-17:45【32153】",일반수업,32,0,0
2025학년도 2학기,유기화학1,"월18:00-19:15【330126】,월19:30-20:45【330126】","월18:00-19:15【330126】,월19:30-20:45【330126】",일반수업,33,39,1
2025학년도 2학기,마음뇌인공지능,"목09:00-10:15【86120】,목10:30-11:45【86120】","목09:00-10:15【86120】,목10:30-11:45【86120】",일반수업,86,55,1
2025학년도 2학기,자연과학연구학점1,미지정,미지정,일반수업,0,18,11
2025학년도 2학기,자연과학연구학점2,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학연구학점3,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학과인문학,"금15:00-16:15【32255】,금16:30-17:45【32255】","금15:00-16:15【32255】,금16:30-17:45【32255】",일반수업,32,0,0
