학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,약품생화학2,"월15:00-15:50【530154】,월16:00-16:50【530154】","월15:00-15:50【530154】,월16:00-16:50【530154】",일반수업,53,66,1
2025학년도 2학기,약품미생물학2,"금13:00-13:50【530154】,금14:00-14:50【530154】","금13:00-13:50【530154】,금14:00-14:50【530154】",일반수업,53,66,1
2025학년도 2학기,생약학2,"화15:00-15:50【530154】,화16:00-16:50【530154】","화15:00-15:50【530154】,화16:00-16:50【530154】",일반수업,53,66,1
2025학년도 2학기,약품분자생물학,"목09:00-09:50【530150】,목10:00-10:50【530150】,목11:00-11:50【530150】","목09:00-09:50【530150】,목10:00-10:50【530150】,목11:00-11:50【530150】",일반수업,53,75,1
2025학년도 2학기,생물약제학,"화15:00-15:50【530254】,화16:00-16:50【530254】,화17:00-17:50【530254】","화15:00-15:50【530254】,화16:00-16:50【530254】,화17:00-17:50【530254】",국제어수업,53,0,0
2025학년도 2학기,천연물약품화학,"화09:00-09:50【530154】,화10:00-10:50【530154】,화11:00-11:50【530154】","화09:00-09:50【530154】,화10:00-10:50【530154】,화11:00-11:50【530154】",일반수업,53,0,0
2025학년도 2학기,독성학,"월09:00-09:50【530250】,월10:00-10:50【530250】,월11:00-11:50【530250】","월09:00-09:50【530250】,월10:00-10:50【530250】,월11:00-11:50【530250】",일반수업,53,0,0
2025학년도 2학기,예방약학2,"화13:00-13:50【530254】,화14:00-14:50【530254】","화13:00-13:50【530254】,화14:00-14:50【530254】",일반수업,53,0,0
2025학년도 2학기,약제학2,"수16:00-16:50【530154】,수17:00-17:50【530154】","수16:00-16:50【530154】,수17:00-17:50【530154】",일반수업,53,45,1
2025학년도 2학기,약리학2,"금13:00-13:50【530254】,금14:00-14:50【530254】","금13:00-13:50【530254】,금14:00-14:50【530254】",일반수업,53,51,1
2025학년도 2학기,약학실습2,"목13:00-13:50【530150】,목14:00-14:50【530150】","목13:00-13:50【530150】,목14:00-14:50【530150】",일반수업,53,0,0
2025학년도 2학기,의약품합성학2,"목11:00-11:50【530250】,목12:00-12:50【530250】","목11:00-11:50【530250】,목12:00-12:50【530250】",일반수업,53,0,0
2025학년도 2학기,약사법규,"금15:00-15:50【530250】,금16:00-16:50【530250】,금17:00-17:50【530250】","금15:00-15:50【530250】,금16:00-16:50【530250】,금17:00-17:50【530250】",일반수업,53,62,1
2025학년도 2학기,약물치료학3,"수16:00-16:50【530250】,수17:00-17:50【530250】,수18:00-18:50【530250】","수16:00-16:50【530250】,수17:00-17:50【530250】,수18:00-18:50【530250】",일반수업,53,62,1
2025학년도 2학기,약학실습4,"수13:00-13:50【530150】,수14:00-14:50【530150】","수13:00-13:50【530150】,수14:00-14:50【530150】",일반수업,53,44,1
2025학년도 2학기,약학실습7,"목13:00-13:50【530154】,목14:00-14:50【530154】,목15:00-15:50【530154】,목16:00-16:50【530154】","목13:00-13:50【530154】,목14:00-14:50【530154】,목15:00-15:50【530154】,목16:00-16:50【530154】",일반수업,53,62,1
2025학년도 2학기,약학연구1,"화18:00-18:50【530154】,화19:00-19:50【530154】,화20:00-20:50【530154】,화21:00-21:45【530154】,화21:45-22:30【530154】,화22:30-23:15【530154】,금19:00-19:50【530154】,금20:00-20:50【530154】,금21:00-21:45","화18:00-18:50【530154】,화19:00-19:50【530154】,화20:00-20:50【530154】,화21:00-21:45【530154】,화21:45-22:30【530154】,화22:30-23:15【530154】,금19:00-19:50【530154】,금20:00-20:50【530154】,금21:00-21:45",일반수업,53,31,1
2025학년도 2학기,약학연구2,"토09:00-09:50【530413】,토10:00-10:50【530413】,토11:00-11:50【530413】,토12:00-12:50【530413】,토13:00-13:50【530413】,토14:00-14:50【530413】,토15:00-15:50【530413】,토16:00-16:50【530413】,토17:00-17:50","토09:00-09:50【530413】,토10:00-10:50【530413】,토11:00-11:50【530413】,토12:00-12:50【530413】,토13:00-13:50【530413】,토14:00-14:50【530413】,토15:00-15:50【530413】,토16:00-16:50【530413】,토17:00-17:50",일반수업,53,0,0
2025학년도 2학기,약학통계학,"목21:00-21:45【530150】,목21:45-22:30【530150】","목21:00-21:45【530150】,목21:45-22:30【530150】",일반수업,53,28,1
2025학년도 2학기,임상독성학,"목10:00-10:50【530254】,목11:00-11:50【530254】","목10:00-10:50【530254】,목11:00-11:50【530254】",일반수업,53,0,0
2025학년도 2학기,약물치료학4,"월10:00-10:50【530254】,월11:00-11:50【530254】","월10:00-10:50【530254】,월11:00-11:50【530254】",일반수업,53,0,0
2025학년도 2학기,약물구조설계학,"월13:00-13:50【530250】,월14:00-14:50【530250】","월13:00-13:50【530250】,월14:00-14:50【530250】",일반수업,53,0,0
2025학년도 2학기,약물작용기초이론,"화19:00-19:50【530211】,화20:00-20:50【530211】,화21:00-21:45【530211】","화19:00-19:50【530211】,화20:00-20:50【530211】,화21:00-21:45【530211】",국제어수업,53,15,1
2025학년도 2학기,약학실무실습1,"월20:00-20:50【미지정】,월21:00-21:45【미지정】,월21:45-22:30【미지정】,월22:30-23:15【미지정】","월20:00-20:50【미지정】,월21:00-21:45【미지정】,월21:45-22:30【미지정】,월22:30-23:15【미지정】",일반수업,0,0,0
2025학년도 2학기,약학실무실습2,"수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】,수21:45-22:30【미지정】","수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】,수21:45-22:30【미지정】",일반수업,0,0,0
2025학년도 2학기,약학실무실습3,"금19:00-19:50【미지정】,금20:00-20:50【미지정】","금19:00-19:50【미지정】,금20:00-20:50【미지정】",일반수업,0,33,1
