학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,컴퓨터공학세미나,"월15:00-15:50【미지정】,수17:00-17:50【미지정】","월15:00-15:50【미지정】,수17:00-17:50【미지정】",국제어수업,0,75,1
2025학년도 2학기,디지털신호처리,"화12:00-13:15【22211】,목13:30-14:45【22211】","화12:00-13:15【22211】,목13:30-14:45【22211】",일반수업,22,21,1
2025학년도 2학기,제어공학기초,화13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,66,1
2025학년도 2학기,통신시스템,수13:30-14:45【21534】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【21534】【1.5h(ON)+1.5h(OFF)】,일반수업,21,57,1
2025학년도 2학기,컴퓨터네트워크개론,"화15:00-16:15【22211】,목16:30-17:45【22211】","화15:00-16:15【22211】,목16:30-17:45【22211】",일반수업,22,0,0
2025학년도 2학기,계측공학,"화09:00-10:15【22310】,목10:30-11:45【22310】","화09:00-10:15【22310】,목10:30-11:45【22310】",국제어수업,22,51,1
2025학년도 2학기,공학수치해석,"화13:30-14:45【23219】,목12:00-13:15【23219】","화13:30-14:45【23219】,목12:00-13:15【23219】",국제어수업,23,132,2
2025학년도 2학기,공학수치해석,수09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,수09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,132,2
2025학년도 2학기,기술경영개론,"금15:00-16:15【26421】,금16:30-17:45【26421】","금15:00-16:15【26421】,금16:30-17:45【26421】",일반수업,26,192,3
2025학년도 2학기,기술경영개론,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,192,3
2025학년도 2학기,기술경영개론,수12:00-13:15【26515】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26515】【1.5h(ON)+1.5h(OFF)】,일반수업,26,192,3
2025학년도 2학기,CAD/제품정보관리및실습,"화09:00-09:50【26511】,화10:00-10:50【26511】【1h(ON)+2h(OFF)】","화09:00-09:50【26511】,화10:00-10:50【26511】【1h(ON)+2h(OFF)】",국제어수업,26,24,1
2025학년도 2학기,데이터마이닝,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,0,0
2025학년도 2학기,가상현실론,화10:30-11:45【85613】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【85613】【1.5h(ON)+1.5h(OFF)】,일반수업,85,0,0
2025학년도 2학기,컴파일러와언어원론,"목12:00-13:15【85605】,목13:30-14:45【85605】","목12:00-13:15【85605】,목13:30-14:45【85605】",일반수업,85,0,0
2025학년도 2학기,디지털헬스케어보안세미나,【모듈B】월11:00-11:50【85602】,【모듈B】월11:00-11:50【85602】,일반수업,모듈B,0,0
2025학년도 2학기,AI및데이터기밀연산특론,"화12:00-13:15【26513】,화13:30-14:45【26513】","화12:00-13:15【26513】,화13:30-14:45【26513】",국제어수업,26,0,0
2025학년도 2학기,논리회로,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",일반수업,0,256,3
2025학년도 2학기,논리회로,"화09:00-10:15【22409】,목10:30-11:45【22409】","화09:00-10:15【22409】,목10:30-11:45【22409】",일반수업,22,256,3
2025학년도 2학기,논리회로,화10:30-11:45【400112】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【400112】【1.5h(ON)+1.5h(OFF)】,일반수업,40,256,3
