학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,미생물학,"월09:00-10:15【31213】,수10:30-11:45【31213】","월09:00-10:15【31213】,수10:30-11:45【31213】",일반수업,31,77,1
2025학년도 2학기,화공기기분석,월15:00-16:15【26308】【1.5h(ON)+1.5h(OFF)】,월15:00-16:15【26308】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,60,1
2025학년도 2학기,고체화학공학,"월15:00-16:15【26507】,수16:30-17:45【26507】","월15:00-16:15【26507】,수16:30-17:45【26507】",국제어수업,26,52,1
2025학년도 2학기,생물공정공학,"월16:30-17:45【26507】,수15:00-16:15【26507】","월16:30-17:45【26507】,수15:00-16:15【26507】",일반수업,26,11,1
2025학년도 2학기,분리공정,"화09:00-10:15【26505】,목10:30-11:45【26505】","화09:00-10:15【26505】,목10:30-11:45【26505】",일반수업,26,0,0
2025학년도 2학기,화학공학실험1,"월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】","월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】",국제어수업,24,0,0
2025학년도 2학기,화학공학실험1,"화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】","화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】",일반수업,24,0,0
2025학년도 2학기,화학공학실험1,"수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】","수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】",일반수업,24,0,0
2025학년도 2학기,화학공학실험1,"목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】","목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】",일반수업,24,0,0
2025학년도 2학기,화학공학실험2,"월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】","월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】",일반수업,24,0,0
2025학년도 2학기,화학공학실험2,"화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】","화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】",국제어수업,24,0,0
2025학년도 2학기,화학공학실험2,"수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】","수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】",일반수업,24,0,0
2025학년도 2학기,화학공학실험2,"목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】","목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】",일반수업,24,0,0
2025학년도 2학기,화학공학현장실습4,미지정,미지정,일반수업,0,5,1
2025학년도 2학기,화학공학현장실습3,미지정,미지정,일반수업,0,1,1
2025학년도 2학기,전자회로1,"화13:30-14:45【22211】,목12:00-13:15【22211】","화13:30-14:45【22211】,목12:00-13:15【22211】",일반수업,22,63,1
2025학년도 2학기,광학기초,"월13:30-14:45【21502】,수12:00-13:15【21502】","월13:30-14:45【21502】,수12:00-13:15【21502】",국제어수업,21,0,0
2025학년도 2학기,공학수치해석,"화13:30-14:45【23219】,목12:00-13:15【23219】","화13:30-14:45【23219】,목12:00-13:15【23219】",국제어수업,23,0,0
2025학년도 2학기,공학수치해석,수09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,수09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2025학년도 2학기,기술경영개론,"금15:00-16:15【26421】,금16:30-17:45【26421】","금15:00-16:15【26421】,금16:30-17:45【26421】",일반수업,26,192,3
2025학년도 2학기,기술경영개론,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,192,3
2025학년도 2학기,기술경영개론,수12:00-13:15【26515】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26515】【1.5h(ON)+1.5h(OFF)】,일반수업,26,192,3
