요일,시각,21,22,23,24,33,40,53,71,83,85,86,25_26_27,31_32,51_61_62
월,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,09:00,48,307,0,0,0,0,53,0,0,129,0,95,61,8
월,09:30,48,307,0,0,0,0,53,0,0,129,0,95,61,8
월,10:00,48,307,0,0,0,0,53,0,0,129,0,95,61,8
월,10:30,0,154,0,0,0,75,53,0,0,117,0,316,123,119
월,11:00,0,154,0,0,0,75,0,0,0,117,0,316,123,119
월,11:30,0,154,0,0,0,75,0,0,0,117,0,316,123,119
월,12:00,0,177,0,0,18,0,121,0,24,59,0,384,119,0
월,12:30,0,177,0,0,18,0,121,0,24,59,0,384,119,0
월,13:00,0,225,0,0,18,0,121,2,24,59,0,384,119,0
월,13:30,50,275,0,0,0,105,121,2,0,73,0,472,123,74
월,14:00,50,275,0,0,0,105,134,2,0,73,0,472,123,74
월,14:30,50,275,0,0,0,105,134,2,0,73,0,472,123,74
월,15:00,0,179,0,0,0,0,132,2,64,95,55,133,24,129
월,15:30,0,179,0,0,0,0,132,2,64,95,55,133,24,129
월,16:00,0,179,0,0,0,0,70,0,64,95,55,133,24,129
월,16:30,0,240,43,0,0,0,70,0,30,74,0,125,0,117
월,17:00,0,240,43,0,0,0,70,0,30,74,0,125,0,93
월,17:30,0,240,43,0,0,0,70,0,30,74,0,125,0,93
월,18:00,0,93,39,45,82,0,56,0,13,70,0,87,86,44
월,18:30,0,93,39,45,82,0,56,0,13,70,0,87,86,44
월,19:00,0,93,39,45,82,0,56,0,13,70,0,87,86,37
월,19:30,0,38,39,45,82,0,56,0,13,70,0,87,86,0
월,20:00,0,38,39,45,66,0,56,0,13,70,0,87,23,0
월,20:30,0,38,39,45,0,0,56,0,13,70,0,87,23,0
월,21:00,0,0,39,45,0,0,0,0,13,28,0,0,23,0
월,21:30,0,0,39,45,0,0,0,0,13,28,0,0,23,0
화,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,09:00,0,257,0,0,24,16,174,9,0,0,0,400,54,18
화,09:30,0,257,0,0,24,16,174,9,0,0,0,400,54,18
화,10:00,0,257,0,0,24,16,174,9,0,0,27,400,54,18
화,10:30,204,467,0,0,16,97,174,9,0,51,27,423,79,18
화,11:00,204,467,0,0,16,97,174,9,0,51,27,423,79,18
화,11:30,204,467,0,0,16,97,174,9,0,51,27,423,79,18
화,12:00,0,94,0,0,0,56,0,0,0,99,0,260,111,34
화,12:30,0,94,0,0,0,56,0,0,0,99,0,260,111,34
화,13:00,0,94,0,0,0,56,0,12,0,99,0,260,111,34
화,13:30,60,140,60,0,123,97,75,12,0,51,0,299,100,115
화,14:00,60,140,99,0,123,97,75,12,0,51,0,263,100,115
화,14:30,60,140,99,0,123,97,75,12,0,51,0,263,100,115
화,15:00,0,130,39,0,30,115,135,10,0,0,0,313,44,124
화,15:30,0,130,39,0,30,115,135,10,0,0,0,313,44,124
화,16:00,0,130,39,0,30,115,135,10,0,0,0,313,44,124
