학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,자연어처리개론,수13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2024학년도 2학기,컴퓨터공학세미나,"월15:00-15:50【미지정】,수17:00-17:50【미지정】","월15:00-15:50【미지정】,수17:00-17:50【미지정】",국제어수업,0,95,1
2024학년도 2학기,글로벌테크노경영,"금13:00-13:50【26106】,금14:00-14:50【26106】","금13:00-13:50【26106】,금14:00-14:50【26106】",일반수업,26,0,0
2024학년도 2학기,신호및시스템,"월09:00-10:15【21534】,수10:30-11:45【21534】","월09:00-10:15【21534】,수10:30-11:45【21534】",일반수업,21,74,1
2024학년도 2학기,디지털신호처리,"화12:00-13:15【22211】,목13:30-14:45【22211】","화12:00-13:15【22211】,목13:30-14:45【22211】",국제어수업,22,52,0
2024학년도 2학기,제어공학기초,"화16:30-17:45【22211】,목15:00-16:15【22211】","화16:30-17:45【22211】,목15:00-16:15【22211】",일반수업,22,59,1
2024학년도 2학기,통신시스템,"월12:00-13:15【22111】,수13:30-14:45【22111】","월12:00-13:15【22111】,수13:30-14:45【22111】",일반수업,22,23,0
2024학년도 2학기,컴퓨터네트워크개론,화15:00-16:15【22211】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【22211】【1.5h(ON)+1.5h(OFF)】,일반수업,22,28,1
2024학년도 2학기,동역학,"월15:00-16:15【22312】,수16:30-17:45【22312】","월15:00-16:15【22312】,수16:30-17:45【22312】",국제어수업,22,139,2
2024학년도 2학기,동역학,"월16:30-17:45【22312】,수15:00-16:15【22312】","월16:30-17:45【22312】,수15:00-16:15【22312】",국제어수업,22,139,2
2024학년도 2학기,계측공학,"화09:00-10:15【22310】,목10:30-11:45【22310】","화09:00-10:15【22310】,목10:30-11:45【22310】",국제어수업,22,34,0
2024학년도 2학기,제어공학,"월12:00-13:15【22312】,수13:30-14:45【22312】","월12:00-13:15【22312】,수13:30-14:45【22312】",일반수업,22,60,1
2024학년도 2학기,Computer Aided Engineering,"화09:00-10:15【22301】,목10:30-11:45【22301】","화09:00-10:15【22301】,목10:30-11:45【22301】",일반수업,22,35,1
2024학년도 2학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,241,3
2024학년도 2학기,기술경영개론,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,일반수업,23,241,3
2024학년도 2학기,기술경영개론,"금12:00-13:15【26223】,금13:30-14:45【26223】","금12:00-13:15【26223】,금13:30-14:45【26223】",일반수업,26,241,3
2024학년도 2학기,생산관리,"월09:00-10:15【23219】,월10:30-11:45【23219】","월09:00-10:15【23219】,월10:30-11:45【23219】",국제어수업,23,80,1
2024학년도 2학기,CAD/제품정보관리및실습,"화09:00-09:50【26511】,화10:00-10:50【26511】【1h(ON)+2h(OFF)】","화09:00-09:50【26511】,화10:00-10:50【26511】【1h(ON)+2h(OFF)】",국제어수업,26,14,1
2024학년도 2학기,데이터마이닝,"월12:00-13:15【미지정】,수13:30-14:45【미지정】","월12:00-13:15【미지정】,수13:30-14:45【미지정】",일반수업,0,127,1
