A,B,거리_px,전환압력_누적,정규화_비율,정규화_점수
21,24,71.0,1353.0,3.4486766563588705e-08,7.1
21,22,71.1,83207.0,1.667353139561718e-07,34.31
53,86,72.7,3476.0,8.774495927959268e-08,18.06
33,40,77.0,25194.0,1.5291084086917276e-07,31.46
23,25_26_27,79.1,76998.0,8.960264522965385e-08,18.44
22,23,104.7,62693.0,1.0021539164262793e-07,20.62
33,53,108.4,18110.0,6.931518780877894e-08,14.26
21,23,121.3,10072.0,8.751411558284318e-08,18.01
22,83,136.7,25346.0,1.8983942057627892e-07,39.06
22,25_26_27,141.9,634697.0,1.7033863726540248e-07,35.05
22,24,142.0,28032.0,1.3145035094781822e-07,27.05
51_61_62,85,145.4,42312.0,1.242069264674168e-07,25.56
24,86,145.5,931.0,1.3944147503498843e-07,28.69
23,31_32,148.0,24011.0,1.1198875124554925e-07,23.04
31_32,51_61_62,157.6,53917.0,1.5734251316038713e-07,32.38
31_32,85,160.5,42549.0,1.343289206098226e-07,27.64
25_26_27,85,161.2,168309.0,1.3257594736072044e-07,27.28
23,24,165.9,13440.0,2.73276066300336e-07,56.23
21,83,166.9,3072.0,1.2506770938612396e-07,25.74
33,86,181.0,2760.0,1.5738617578367028e-07,32.39
40,53,184.0,23566.0,6.331577586232809e-08,13.03
21,25_26_27,186.4,118666.0,1.731091570770341e-07,35.62
21,86,186.6,3035.0,1.9425000776039983e-07,39.97
23,85,187.8,26612.0,1.2485431810661337e-07,25.69
24,53,191.8,9639.0,9.690065677111812e-08,19.94
25_26_27,31_32,194.2,185237.0,1.4505183931968944e-07,29.85
33,83,194.9,4610.0,1.6721685894953528e-07,34.41
40,83,202.5,6359.0,1.6191387496335955e-07,33.32
53,83,208.0,5100.0,8.189063148896697e-08,16.85
21,53,210.5,9660.0,4.149845508468842e-08,8.54
24,31_32,217.5,14131.0,1.9334339501610174e-07,39.78
24,83,220.0,5101.0,4.859809501183856e-07,100.0
21,31_32,221.2,24119.0,1.4101840676387868e-07,29.02
23,83,240.8,4461.0,1.448784716161741e-07,29.81
83,86,240.8,901.0,2.1554422023944797e-07,44.35
24,25_26_27,241.2,20477.0,6.990367469577058e-08,14.38
22,31_32,241.8,141801.0,1.5252772209460265e-07,31.39
22,86,244.6,14130.0,1.6637861162606916e-07,34.24
22,53,252.6,81265.0,6.422606684036967e-08,13.22
40,86,255.9,3489.0,1.39660816255126e-07,28.74
25_26_27,83,261.3,30997.0,1.690139855463424e-07,34.78
21,33,274.2,16031.0,1.5557166813907084e-07,32.01
23,51_61_62,276.1,21590.0,9.363083368337688e-08,19.27
24,33,278.7,5500.0,1.249028999178634e-07,25.7
25_26_27,51_61_62,284.3,209858.0,1.5279991928050726e-07,31.44
22,85,287.8,134770.0,1.4582252609626286e-07,30.01
22,33,292.5,91671.0,1.6366463564350028e-07,33.68
24,71,297.4,664.0,4.71342383107089e-08,9.7
23,86,304.3,1888.0,9.639444061861281e-08,19.84
21,85,306.8,20861.0,1.2269123196735606e-07,25.25
71,86,308.6,861.0,1.5346849493215304e-07,31.58
21,40,321.2,21730.0,1.480286322661886e-07,30.46
22,40,324.1,120632.0,1.5118249661974027e-07,31.11
23,53,331.8,20025.0,6.86238335345835e-08,14.12
24,85,335.6,22485.0,3.094647832379835e-07,63.68
24,40,338.4,9787.0,1.5601829451997655e-07,32.1
31_32,71,341.2,4593.0,7.478709856929822e-08,15.39
31_32,86,358.7,4490.0,1.5425897936408404e-07,31.74
21,71,366.5,1828.0,5.5450397980974566e-08,11.41
25_26_27,86,373.0,18050.0,1.5472430868869214e-07,31.84
21,51_61_62,373.3,23050.0,1.2531109634922838e-07,25.79
24,51_61_62,375.1,9804.0,1.2472739164506315e-07,25.67
31_32,83,376.2,8105.0,1.7712455281964581e-07,36.45
22,51_61_62,380.0,159679.0,1.5970532200033608e-07,32.86
53,71,380.3,19685.0,2.3550707298864877e-07,48.46
23,33,388.9,11442.0,8.85766978923996e-08,18.23
25_26_27,53,391.5,116276.0,6.689965545477832e-08,13.77
31_32,53,409.3,26446.0,6.09840916346509e-08,12.55
23,71,414.1,2214.0,5.3573958971349015e-08,11.02
83,85,418.2,8235.0,1.810302908686887e-07,37.25
23,40,426.6,18212.0,9.896720148649856e-08,20.36
25_26_27,33,433.9,123979.0,1.6113764742381144e-07,33.16
22,71,435.2,14988.0,8.364214181742789e-08,17.21
51_61_62,71,444.5,6292.0,9.526229652748642e-08,19.6
25_26_27,40,460.3,160974.0,1.468658189183342e-07,30.22
85,86,480.8,3944.0,1.363022160886225e-07,28.05
33,71,488.4,2956.0,7.988919725086029e-08,16.44
31_32,33,490.6,27417.0,1.4282084215976787e-07,29.39
25_26_27,71,490.9,20798.0,8.449461769529039e-08,17.39
71,85,501.5,4088.0,6.695808502497498e-08,13.78
71,83,509.7,934.0,1.0589722844050345e-07,21.79
51_61_62,86,515.6,4076.0,1.3020881355187392e-07,26.79
53,85,516.4,33003.0,7.655470428083697e-08,15.75
51_61_62,83,516.6,9926.0,2.0169824168887243e-07,41.5
31_32,40,542.0,38687.0,1.414662419799157e-07,29.11
40,71,564.2,3958.0,7.50888621096821e-08,15.45
51_61_62,53,566.8,37678.0,8.078793386601274e-08,16.62
33,85,576.6,27516.0,1.4418459319003607e-07,29.67
40,85,611.9,39486.0,1.4524219462865132e-07,29.89
33,51_61_62,646.1,29935.0,1.449949958308417e-07,29.84
40,51_61_62,694.1,39226.0,1.3337175962795644e-07,27.44
