학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,기본설계1,"수10:30-11:45【22526】,수12:00-13:15【22526】,수13:30-14:45【22526】,수15:00-16:15【22526】","수10:30-11:45【22526】,수12:00-13:15【22526】,수13:30-14:45【22526】,수15:00-16:15【22526】",국제어수업,22,51,5
2024학년도 1학기,기본설계1,"수10:30-11:45【22525】,수12:00-13:15【22525】,수13:30-14:45【22525】,수15:00-16:15【22525】","수10:30-11:45【22525】,수12:00-13:15【22525】,수13:30-14:45【22525】,수15:00-16:15【22525】",국제어수업,22,51,5
2024학년도 1학기,기본설계1,"수10:30-11:45【22528】,수12:00-13:15【22528】,수13:30-14:45【22528】,수15:00-16:15【22528】","수10:30-11:45【22528】,수12:00-13:15【22528】,수13:30-14:45【22528】,수15:00-16:15【22528】",국제어수업,22,51,5
2024학년도 1학기,기본설계1,"수10:30-11:45【22527】,수12:00-13:15【22527】,수13:30-14:45【22527】,수15:00-16:15【22527】","수10:30-11:45【22527】,수12:00-13:15【22527】,수13:30-14:45【22527】,수15:00-16:15【22527】",국제어수업,22,51,5
2024학년도 1학기,기본설계1,"수10:30-11:45【22530】,수12:00-13:15【22530】,수13:30-14:45【22530】,수15:00-16:15【22530】","수10:30-11:45【22530】,수12:00-13:15【22530】,수13:30-14:45【22530】,수15:00-16:15【22530】",국제어수업,22,51,5
2024학년도 1학기,건축학개론,"금09:00-10:15【21502】,금10:30-11:45【21502】","금09:00-10:15【21502】,금10:30-11:45【21502】",일반수업,21,0,0
2024학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】","화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】",일반수업,22,0,0
2024학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】,금18:00-19:10【22525】","화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】,금18:00-19:10【22525】",국제어수업,22,0,0
2024학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】","화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】",일반수업,22,0,0
2024학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】","화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】",일반수업,22,0,0
2024학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22534】,화15:00-16:15【22534】,화16:30-17:45【22534】,화18:00-19:10【22534】,금13:30-14:45【22534】,금15:00-16:15【22534】,금16:30-17:45【22534】,금18:00-19:10【22534】","화13:30-14:45【22534】,화15:00-16:15【22534】,화16:30-17:45【22534】,화18:00-19:10【22534】,금13:30-14:45【22534】,금15:00-16:15【22534】,금16:30-17:45【22534】,금18:00-19:10【22534】",일반수업,22,0,0
2024학년도 1학기,건축환경,수18:00-19:15【26502】【1.5h(ON)+1.5h(OFF)】,수18:00-19:15【26502】【1.5h(ON)+1.5h(OFF)】,일반수업,26,5,1
2024학년도 1학기,한국건축사,"수09:00-10:15【26223】,수10:30-11:45【26223】","수09:00-10:15【26223】,수10:30-11:45【26223】",일반수업,26,0,0
2024학년도 1학기,사회문화와건축,"목09:00-10:15【26515】,목10:30-11:45【26515】","목09:00-10:15【26515】,목10:30-11:45【26515】",일반수업,26,0,0
2024학년도 1학기,도시계획,"월18:00-19:15【26110】,월19:30-20:45【26110】","월18:00-19:15【26110】,월19:30-20:45【26110】",일반수업,26,0,0
2024학년도 1학기,디지털디자인,"목09:00-10:15【26310】,목10:30-11:45【26310】","목09:00-10:15【26310】,목10:30-11:45【26310】",일반수업,26,29,1
2024학년도 1학기,현대건축론1,"월09:00-10:15【22407】,월10:30-11:45【22407】","월09:00-10:15【22407】,월10:30-11:45【22407】",국제어수업,22,0,0
