학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,컴퓨터비전,"금12:00-13:15【85602】,금13:30-14:45【85602】","금12:00-13:15【85602】,금13:30-14:45【85602】",일반수업,85,0,0
2024학년도 1학기,광학기초,"월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】","월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,65,2
2024학년도 1학기,광학기초,"월13:30-14:45【21514】,수12:00-13:15【21514】","월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업,21,65,2
2024학년도 1학기,전산제도,목09:00-10:15【22306】【0.5h(ON)+1.5h(OFF)】,목09:00-10:15【22306】【0.5h(ON)+1.5h(OFF)】,국제어수업,22,126,3
2024학년도 1학기,전산제도,목12:00-13:15【22306】【0.5h(ON)+1.5h(OFF)】,목12:00-13:15【22306】【0.5h(ON)+1.5h(OFF)】,국제어수업,22,126,3
2024학년도 1학기,전산제도,금09:00-10:15【22306】【0.5h(ON)+1.5h(OFF)】,금09:00-10:15【22306】【0.5h(ON)+1.5h(OFF)】,국제어수업,22,126,3
2024학년도 1학기,열역학,"월15:00-16:15【22310】,수16:30-17:45【22310】","월15:00-16:15【22310】,수16:30-17:45【22310】",일반수업,22,0,0
2024학년도 1학기,열역학,"월15:00-16:15【22312】,수16:30-17:45【22312】","월15:00-16:15【22312】,수16:30-17:45【22312】",일반수업,22,0,0
2024학년도 1학기,열역학,"월16:30-17:45【22310】,수15:00-16:15【22310】","월16:30-17:45【22310】,수15:00-16:15【22310】",국제어수업,22,0,0
2024학년도 1학기,열역학,"화16:30-17:45【22312】,목15:00-16:15【22312】","화16:30-17:45【22312】,목15:00-16:15【22312】",일반수업,22,0,0
2024학년도 1학기,유체역학,"월12:00-13:15【22319】,수13:30-14:45【22319】","월12:00-13:15【22319】,수13:30-14:45【22319】",일반수업,22,0,0
2024학년도 1학기,동역학,"월13:30-14:45【22319】,수12:00-13:15【22319】","월13:30-14:45【22319】,수12:00-13:15【22319】",국제어수업,22,55,1
