학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,선형시스템,"화12:00-13:15【85718】,화13:30-14:45【85718】","화12:00-13:15【85718】,화13:30-14:45【85718】",국제어수업,85,0,0
2024학년도 1학기,컴퓨터비전,"금12:00-13:15【85602】,금13:30-14:45【85602】","금12:00-13:15【85602】,금13:30-14:45【85602】",일반수업,85,0,0
2024학년도 1학기,고급디스플레이공학,"수09:00-10:15【400102】,수10:30-11:45【400102】","수09:00-10:15【400102】,수10:30-11:45【400102】",일반수업,40,0,0
2024학년도 1학기,고체전자물리,"화12:00-13:15【21502】,화13:30-14:45【21502】","화12:00-13:15【21502】,화13:30-14:45【21502】",국제어수업,21,0,0
2024학년도 1학기,SOC설계및실습,"화15:00-16:15【330102】,화16:30-17:45【400202】","화15:00-16:15【330102】,화16:30-17:45【400202】",일반수업,33,0,0
2024학년도 1학기,유연전자소재공학,"월15:00-16:15【21121】,월16:30-17:45【21121】","월15:00-16:15【21121】,월16:30-17:45【21121】",일반수업,21,0,0
2024학년도 1학기,반도체공학,"화16:30-17:45【22410】,목15:00-16:15【22410】","화16:30-17:45【22410】,목15:00-16:15【22410】",일반수업,22,0,0
2024학년도 1학기,광학기초,"월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】","월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,65,2
2024학년도 1학기,광학기초,"월13:30-14:45【21514】,수12:00-13:15【21514】","월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업,21,65,2
2024학년도 1학기,디지털통신,"화16:30-17:45【21534】,목15:00-16:15【21534】","화16:30-17:45【21534】,목15:00-16:15【21534】",일반수업,21,0,0
2024학년도 1학기,전자파공학,"월16:30-17:45【22111】,수15:00-16:15【22111】","월16:30-17:45【22111】,수15:00-16:15【22111】",일반수업,22,86,2
2024학년도 1학기,전자파공학,"월13:30-14:45【22110】,수12:00-13:15【22110】","월13:30-14:45【22110】,수12:00-13:15【22110】",일반수업,22,86,2
2024학년도 1학기,제어공학기초,"월12:00-13:15【22409】,수13:30-14:45【22409】","월12:00-13:15【22409】,수13:30-14:45【22409】",국제어수업,22,162,3
2024학년도 1학기,제어공학기초,"월13:30-14:45【22410】,수12:00-13:15【22410】","월13:30-14:45【22410】,수12:00-13:15【22410】",일반수업,22,162,3
2024학년도 1학기,제어공학기초,"화12:00-13:15【85613】,목13:30-14:45【85613】","화12:00-13:15【85613】,목13:30-14:45【85613】",일반수업,85,162,3
