학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,컴퓨터프로그래밍기초,"화12:00-13:15【62157B】,목13:30-14:45【62157B】","화12:00-13:15【62157B】,목13:30-14:45【62157B】",국제어수업,62,19,1
2024학년도 1학기,식품미생물학,"화09:00-10:15【61208】,화10:30-11:45【61208】","화09:00-10:15【61208】,화10:30-11:45【61208】",국제어수업,61,42,1
2024학년도 1학기,식품미생물학실험,"금15:00-16:15【61255】,금16:30-17:45【61255】","금15:00-16:15【61255】,금16:30-17:45【61255】",일반수업,61,23,1
2024학년도 1학기,영양생리학,월10:30-11:45【61208】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【61208】【1.5h(ON)+1.5h(OFF)】,국제어수업,61,35,1
2024학년도 1학기,일반미생물학,"월15:00-16:15【61208】,수16:30-17:45【61208】","월15:00-16:15【61208】,수16:30-17:45【61208】",일반수업,61,0,0
2024학년도 1학기,식품생명공학개론,"금12:00-13:15【61306】,금13:30-14:45【61306】","금12:00-13:15【61306】,금13:30-14:45【61306】",일반수업,61,38,1
2024학년도 1학기,영양대사생화학,"월16:30-17:45【61208】,수15:00-16:15【61208】","월16:30-17:45【61208】,수15:00-16:15【61208】",일반수업,61,0,0
2024학년도 1학기,바이오통계학,수09:00-10:15【62157B】【1.5h(ON)+1.5h(OFF)】,수09:00-10:15【62157B】【1.5h(ON)+1.5h(OFF)】,일반수업,62,40,1
2024학년도 1학기,식품가공학,"화16:30-17:45【61306】,목15:00-16:15【61306】","화16:30-17:45【61306】,목15:00-16:15【61306】",일반수업,61,11,1
2024학년도 1학기,기능성식품학,"월18:00-19:15【61208】,월19:30-20:45【61208】","월18:00-19:15【61208】,월19:30-20:45【61208】",일반수업,61,7,1
2024학년도 1학기,식품첨가물학,"금09:00-10:15【61208】,금10:30-11:45【61208】","금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업,61,37,1
2024학년도 1학기,식품저장학,"목18:00-19:15【61208】,목19:30-20:45【61208】","목18:00-19:15【61208】,목19:30-20:45【61208】",일반수업,61,20,1
2024학년도 1학기,식품분석학,"화15:00-16:15【61208】,목16:30-17:45【61208】","화15:00-16:15【61208】,목16:30-17:45【61208】",일반수업,61,41,1
2024학년도 1학기,식품생물공학실험,"수18:00-19:15【61255】,수19:30-20:45【61255】","수18:00-19:15【61255】,수19:30-20:45【61255】",일반수업,61,15,1
2024학년도 1학기,식품분자생물학,"목10:00-10:50【61306】,목11:00-11:50【61306】【1h(ON)+2h(OFF)】","목10:00-10:50【61306】,목11:00-11:50【61306】【1h(ON)+2h(OFF)】",일반수업,61,27,1
2024학년도 1학기,고급식품생화학,"수18:00-19:15【61306】,수19:30-20:45【61306】","수18:00-19:15【61306】,수19:30-20:45【61306】",일반수업,61,0,0
2024학년도 1학기,BT유기화학,화12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,0,0
2024학년도 1학기,바이오헬스산업과생명윤리,"금09:00-09:50【530150】,금10:00-10:50【530150】,금11:00-11:50【530150】","금09:00-09:50【530150】,금10:00-10:50【530150】,금11:00-11:50【530150】",일반수업,53,0,0
