학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,미생물학,"금12:00-13:15【31213】,금13:30-14:45【31213】","금12:00-13:15【31213】,금13:30-14:45【31213】",일반수업,31,34,1
2024학년도 1학기,화공열역학1,"화10:30-11:45【26505】,목09:00-10:15【26505】","화10:30-11:45【26505】,목09:00-10:15【26505】",국제어수업,26,212,4
2024학년도 1학기,화공열역학1,"화13:30-14:45【26308】,목12:00-13:15【26308】","화13:30-14:45【26308】,목12:00-13:15【26308】",국제어수업,26,212,4
2024학년도 1학기,화공열역학1,"화12:00-13:15【26308】,목13:30-14:45【26308】","화12:00-13:15【26308】,목13:30-14:45【26308】",국제어수업,26,212,4
2024학년도 1학기,화공열역학1,"화09:00-10:15【26507】,목10:30-11:45【26507】","화09:00-10:15【26507】,목10:30-11:45【26507】",일반수업,26,212,4
2024학년도 1학기,화공유체역학,월09:00-10:15【26502】【1.5h(ON)+1.5h(OFF)】,월09:00-10:15【26502】【1.5h(ON)+1.5h(OFF)】,일반수업,26,248,4
2024학년도 1학기,화공유체역학,화15:00-16:15【26308】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【26308】【1.5h(ON)+1.5h(OFF)】,일반수업,26,248,4
2024학년도 1학기,화공유체역학,화16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,일반수업,26,248,4
2024학년도 1학기,화공유체역학,"월15:00-16:15【22319】,수16:30-17:45【22319】","월15:00-16:15【22319】,수16:30-17:45【22319】",국제어수업,22,248,4
2024학년도 1학기,생물화학공학,"월18:00-19:15【26308】,수18:00-19:15【26308】","월18:00-19:15【26308】,수18:00-19:15【26308】",일반수업,26,14,1
2024학년도 1학기,공업물리화학1,목16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,일반수업,26,248,4
2024학년도 1학기,공업물리화학1,화10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,248,4
2024학년도 1학기,공업물리화학1,"월10:30-11:45【26308】,수09:00-10:15【26308】","월10:30-11:45【26308】,수09:00-10:15【26308】",일반수업,26,248,4
2024학년도 1학기,공업물리화학1,"월12:00-13:15【26507】,수13:30-14:45【26507】","월12:00-13:15【26507】,수13:30-14:45【26507】",일반수업,26,248,4
2024학년도 1학기,공업유기화학1,"월12:00-13:15【26308】,수13:30-14:45【26308】","월12:00-13:15【26308】,수13:30-14:45【26308】",국제어수업,26,265,4
2024학년도 1학기,공업유기화학1,"화12:00-13:15【26223】,목13:30-14:45【26223】","화12:00-13:15【26223】,목13:30-14:45【26223】",일반수업,26,265,4
2024학년도 1학기,공업유기화학1,"화15:00-16:15【26505】,목16:30-17:45【26505】","화15:00-16:15【26505】,목16:30-17:45【26505】",국제어수업,26,265,4
2024학년도 1학기,공업유기화학1,"월09:00-10:15【32255】,수10:30-11:45【32255】","월09:00-10:15【32255】,수10:30-11:45【32255】",일반수업,32,265,4
2024학년도 1학기,고체화학공학,"월10:30-11:45【26505】,수09:00-10:15【26505】【1h(ON)+3h(OFF)[4시간]】","월10:30-11:45【26505】,수09:00-10:15【26505】【1h(ON)+3h(OFF)[4시간]】",국제어수업,26,0,0
2024학년도 1학기,공업생화학,"월13:30-14:45【26308】,수12:00-13:15【26308】","월13:30-14:45【26308】,수12:00-13:15【26308】",국제어수업,26,0,0
2024학년도 1학기,고분자화학,"월12:00-13:15【26502】,수13:30-14:45【26502】","월12:00-13:15【26502】,수13:30-14:45【26502】",일반수업,26,0,0
2024학년도 1학기,분리공정,월10:30-11:45【26507】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26507】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,74,2
2024학년도 1학기,분리공정,"화10:30-11:45【26507】,목09:00-10:15【26507】","화10:30-11:45【26507】,목09:00-10:15【26507】",일반수업,26,74,2
2024학년도 1학기,화학공학실험1,"월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】","월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】",국제어수업,24,0,0
2024학년도 1학기,화학공학실험1,"화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】","화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】",일반수업,24,0,0
2024학년도 1학기,화학공학실험1,"수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】","수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】",일반수업,24,0,0
2024학년도 1학기,화학공학실험1,"목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】","목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】",일반수업,24,0,0
2024학년도 1학기,화학공학실험2,"월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】","월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】",일반수업,24,0,0
2024학년도 1학기,화학공학실험2,"화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】","화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】",일반수업,24,0,0
2024학년도 1학기,화학공학실험2,"수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】","수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】",국제어수업,24,0,0
2024학년도 1학기,화학공학실험2,"목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】","목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】",일반수업,24,0,0
2024학년도 1학기,화학공학현장실습4,미지정,미지정,일반수업,0,5,1
2024학년도 1학기,화학공학현장실습3,미지정,미지정,일반수업,0,1,1
2024학년도 1학기,기기분석특론,"월15:00-16:15【26308】,월16:30-17:45【26308】","월15:00-16:15【26308】,월16:30-17:45【26308】",국제어수업,26,0,0
2024학년도 1학기,반응공학특론,"화13:30-14:45【26505】,목12:00-13:15【26505】","화13:30-14:45【26505】,목12:00-13:15【26505】",국제어수업,26,0,0
2024학년도 1학기,계면화학공학,"화18:00-19:15【26308】,화19:30-20:45【26308】","화18:00-19:15【26308】,화19:30-20:45【26308】",국제어수업,26,0,0
2024학년도 1학기,전자회로1,"월09:00-10:15【22409】,수10:30-11:45【22409】","월09:00-10:15【22409】,수10:30-11:45【22409】",국제어수업,22,297,5
2024학년도 1학기,전자회로1,"월09:00-10:15【21534】,수10:30-11:45【21534】","월09:00-10:15【21534】,수10:30-11:45【21534】",일반수업,21,297,5
2024학년도 1학기,전자회로1,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,297,5
2024학년도 1학기,전자회로1,"월09:00-10:15【21502】,수10:30-11:45【21502】","월09:00-10:15【21502】,수10:30-11:45【21502】",일반수업,21,297,5
2024학년도 1학기,전자회로1,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,297,5
2024학년도 1학기,광학기초,"월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】","월12:00-13:15【22211】,수13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,0,0
2024학년도 1학기,광학기초,"월13:30-14:45【21514】,수12:00-13:15【21514】","월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업,21,0,0
2024학년도 1학기,공학수치해석,"화13:30-14:45【22110】,목12:00-13:15【22110】","화13:30-14:45【22110】,목12:00-13:15【22110】",국제어수업,22,0,0
2024학년도 1학기,공학수치해석,수10:30-11:45【22306】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【22306】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2024학년도 1학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,214,3
2024학년도 1학기,기술경영개론,목13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,일반수업,26,214,3
2024학년도 1학기,기술경영개론,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,214,3
