학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,기본설계2,"수10:30-11:45【22525】,수12:00-13:15【22525】,수13:30-14:45【22525】,수15:00-16:15【22525】","수10:30-11:45【22525】,수12:00-13:15【22525】,수13:30-14:45【22525】,수15:00-16:15【22525】",국제어수업,22,44,5
2024학년도 2학기,기본설계2,"수10:30-11:45【22526】,수12:00-13:15【22526】,수13:30-14:45【22526】,수15:00-16:15【22526】","수10:30-11:45【22526】,수12:00-13:15【22526】,수13:30-14:45【22526】,수15:00-16:15【22526】",국제어수업,22,44,5
2024학년도 2학기,기본설계2,"수10:30-11:45【22527】,수12:00-13:15【22527】,수13:30-14:45【22527】,수15:00-16:15【22527】","수10:30-11:45【22527】,수12:00-13:15【22527】,수13:30-14:45【22527】,수15:00-16:15【22527】",국제어수업,22,44,5
2024학년도 2학기,기본설계2,"수10:30-11:45【22528】,수12:00-13:15【22528】,수13:30-14:45【22528】,수15:00-16:15【22528】","수10:30-11:45【22528】,수12:00-13:15【22528】,수13:30-14:45【22528】,수15:00-16:15【22528】",국제어수업,22,44,5
2024학년도 2학기,기본설계2,"수10:30-11:45【22529】,수12:00-13:15【22529】,수13:30-14:45【22529】,수15:00-16:15【22529】","수10:30-11:45【22529】,수12:00-13:15【22529】,수13:30-14:45【22529】,수15:00-16:15【22529】",국제어수업,22,44,5
2024학년도 2학기,서양건축사,"목09:00-10:15【22111】,목10:30-11:45【22111】","목09:00-10:15【22111】,목10:30-11:45【22111】",일반수업,22,0,0
2024학년도 2학기,건축설계스튜디오2,"화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】,금18:00-19:10【22525】","화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】,금18:00-19:10【22525】",일반수업,22,0,0
2024학년도 2학기,건축설계스튜디오2,"화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】","화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】",일반수업,22,0,0
2024학년도 2학기,건축설계스튜디오2,"화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】","화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】",일반수업,22,0,0
2024학년도 2학기,건축설계스튜디오2,"화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】","화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】",일반수업,22,0,0
2024학년도 2학기,건축설계스튜디오2,"화13:30-14:45【22529】,화15:00-16:15【22529】,화16:30-17:45【22529】,화18:00-19:10【22529】,금13:30-14:45【22529】,금15:00-16:15【22529】,금16:30-17:45【22529】,금18:00-19:10【22529】","화13:30-14:45【22529】,화15:00-16:15【22529】,화16:30-17:45【22529】,화18:00-19:10【22529】,금13:30-14:45【22529】,금15:00-16:15【22529】,금16:30-17:45【22529】,금18:00-19:10【22529】",일반수업,22,0,0
2024학년도 2학기,단지계획,"금09:00-10:15【22110】,금10:30-11:45【22110】","금09:00-10:15【22110】,금10:30-11:45【22110】",일반수업,22,49,1
2024학년도 2학기,디지털모델링,"월09:00-09:50【22534】,월10:00-10:50【22534】,월11:00-11:50【22534】,월12:00-12:50【22534】,월13:00-13:50【22534】,월14:00-14:50【22534】","월09:00-09:50【22534】,월10:00-10:50【22534】,월11:00-11:50【22534】,월12:00-12:50【22534】,월13:00-13:50【22534】,월14:00-14:50【22534】",일반수업,22,0,0
2024학년도 2학기,디지털모델링,"목09:00-09:50【22534】,목10:00-10:50【22534】,목11:00-11:50【22534】,목12:00-12:50【22534】,목13:00-13:50【22534】,목14:00-14:50【22534】","목09:00-09:50【22534】,목10:00-10:50【22534】,목11:00-11:50【22534】,목12:00-12:50【22534】,목13:00-13:50【22534】,목14:00-14:50【22534】",일반수업,22,0,0
2024학년도 2학기,건축시공관리,"수18:00-19:15【22410】,수19:30-20:45【22410】","수18:00-19:15【22410】,수19:30-20:45【22410】",일반수업,22,0,0
2024학년도 2학기,건축종합설계스튜디오4,"월13:30-14:45【22525】,월15:00-16:15【22525】,월16:30-17:45【22525】,월18:00-19:10【22525】,목13:30-14:45【22525】,목15:00-16:15【22525】,목16:30-17:45【22525】,목18:00-19:10【22525】","월13:30-14:45【22525】,월15:00-16:15【22525】,월16:30-17:45【22525】,월18:00-19:10【22525】,목13:30-14:45【22525】,목15:00-16:15【22525】,목16:30-17:45【22525】,목18:00-19:10【22525】",국제어수업,22,0,0
2024학년도 2학기,건축종합설계스튜디오4,"월13:30-14:45【22526】,월15:00-16:15【22526】,월16:30-17:45【22526】,월18:00-19:10【22526】,목13:30-14:45【22526】,목15:00-16:15【22526】,목16:30-17:45【22526】,목18:00-19:10【22526】","월13:30-14:45【22526】,월15:00-16:15【22526】,월16:30-17:45【22526】,월18:00-19:10【22526】,목13:30-14:45【22526】,목15:00-16:15【22526】,목16:30-17:45【22526】,목18:00-19:10【22526】",국제어수업,22,0,0
2024학년도 2학기,건축종합설계스튜디오4,"월13:30-14:45【22527】,월15:00-16:15【22527】,월16:30-17:45【22527】,월18:00-19:10【22527】,목13:30-14:45【22527】,목15:00-16:15【22527】,목16:30-17:45【22527】,목18:00-19:10【22527】","월13:30-14:45【22527】,월15:00-16:15【22527】,월16:30-17:45【22527】,월18:00-19:10【22527】,목13:30-14:45【22527】,목15:00-16:15【22527】,목16:30-17:45【22527】,목18:00-19:10【22527】",국제어수업,22,0,0
2024학년도 2학기,건축종합설계스튜디오4,"월13:30-14:45【22528】,월15:00-16:15【22528】,월16:30-17:45【22528】,월18:00-19:10【22528】,목13:30-14:45【22528】,목15:00-16:15【22528】,목16:30-17:45【22528】,목18:00-19:10【22528】","월13:30-14:45【22528】,월15:00-16:15【22528】,월16:30-17:45【22528】,월18:00-19:10【22528】,목13:30-14:45【22528】,목15:00-16:15【22528】,목16:30-17:45【22528】,목18:00-19:10【22528】",국제어수업,22,0,0
2024학년도 2학기,건축종합설계스튜디오4,"월13:30-14:45【22532】,월15:00-16:15【22532】,월16:30-17:45【22532】,월18:00-19:10【22532】,목13:30-14:45【22532】,목15:00-16:15【22532】,목16:30-17:45【22532】,목18:00-19:10【22532】","월13:30-14:45【22532】,월15:00-16:15【22532】,월16:30-17:45【22532】,월18:00-19:10【22532】,목13:30-14:45【22532】,목15:00-16:15【22532】,목16:30-17:45【22532】,목18:00-19:10【22532】",국제어수업,22,0,0
2024학년도 2학기,건축법규,"화09:00-10:15【22111】,화10:30-11:45【22111】","화09:00-10:15【22111】,화10:30-11:45【22111】",일반수업,22,57,1
