학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,반도체제품개론,"월09:00-10:15【330110】,월10:30-11:45【330110】","월09:00-10:15【330110】,월10:30-11:45【330110】",일반수업,33,68,1
2024학년도 2학기,진공및플라즈마,"금12:00-13:15【330110】,금13:30-14:45【330110】","금12:00-13:15【330110】,금13:30-14:45【330110】",일반수업,33,17,1
2024학년도 2학기,차세대반도체종합설계,"수09:00-10:15【330110】,수10:30-11:45【330110】","수09:00-10:15【330110】,수10:30-11:45【330110】",일반수업,33,9,1
2024학년도 2학기,신소재공학개론2,"화09:00-10:15【22110】,목10:30-11:45【22110】","화09:00-10:15【22110】,목10:30-11:45【22110】",국제어수업,22,157,3
2024학년도 2학기,신소재공학개론2,"화09:00-10:15【26311】,목10:30-11:45【26311】","화09:00-10:15【26311】,목10:30-11:45【26311】",국제어수업,26,157,3
2024학년도 2학기,신소재공학개론2,"화16:30-17:45【26108】,목15:00-16:15【26108】","화16:30-17:45【26108】,목15:00-16:15【26108】",일반수업,26,157,3
2024학년도 2학기,상변태학,"월10:30-11:45【26505】,수09:00-10:15【26505】","월10:30-11:45【26505】,수09:00-10:15【26505】",국제어수업,26,0,0
2024학년도 2학기,상변태학,"화12:00-13:15【26311】,목13:30-14:45【26311】","화12:00-13:15【26311】,목13:30-14:45【26311】",국제어수업,26,0,0
2024학년도 2학기,화공열및물질전달,"월13:30-14:45【26308】,수12:00-13:15【26308】","월13:30-14:45【26308】,수12:00-13:15【26308】",일반수업,26,0,0
2024학년도 2학기,화공열및물질전달,수13:30-14:45【26505】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【26505】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2024학년도 2학기,화공열및물질전달,"화09:00-10:15【26308】,목10:30-11:45【26308】","화09:00-10:15【26308】,목10:30-11:45【26308】",국제어수업,26,0,0
2024학년도 2학기,화공열및물질전달,"월09:00-10:15【26308】,수10:30-11:45【26308】","월09:00-10:15【26308】,수10:30-11:45【26308】",일반수업,26,0,0
2024학년도 2학기,화공및고분자종합설계,"목09:00-10:15【26513】,목10:30-11:45【26513】","목09:00-10:15【26513】,목10:30-11:45【26513】",일반수업,26,0,0
2024학년도 2학기,화공및고분자종합설계,"월09:00-10:15【26507】,월10:30-11:45【26507】","월09:00-10:15【26507】,월10:30-11:45【26507】",일반수업,26,0,0
2024학년도 2학기,반도체화학공정,"화09:00-10:15【26507】,목10:30-11:45【26507】","화09:00-10:15【26507】,목10:30-11:45【26507】",일반수업,26,60,1
2024학년도 2학기,열역학,"월12:00-13:15【22310】,수13:30-14:45【22310】","월12:00-13:15【22310】,수13:30-14:45【22310】",일반수업,22,40,2
2024학년도 2학기,열역학,"월16:30-17:45【22310】,수15:00-16:15【22310】","월16:30-17:45【22310】,수15:00-16:15【22310】",국제어수업,22,40,2
2024학년도 2학기,유체역학,"화15:00-16:15【22310】,목16:30-17:45【22310】","화15:00-16:15【22310】,목16:30-17:45【22310】",일반수업,22,0,0
2024학년도 2학기,유체역학,"화15:00-16:15【22312】,목16:30-17:45【22312】","화15:00-16:15【22312】,목16:30-17:45【22312】",일반수업,22,0,0
2024학년도 2학기,유체역학,"화16:30-17:45【22312】,목15:00-16:15【22312】","화16:30-17:45【22312】,목15:00-16:15【22312】",일반수업,22,0,0
2024학년도 2학기,유체역학,수16:30-17:45【22310】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【22310】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2024학년도 2학기,고체역학,"월13:30-14:45【22310】,수12:00-13:15【22310】","월13:30-14:45【22310】,수12:00-13:15【22310】",국제어수업,22,0,0
2024학년도 2학기,반도체소자측정실험,"금12:00-12:50【22211】,금13:00-13:50【22211】,금14:00-14:50【22211】,금15:00-15:50【22211】","금12:00-12:50【22211】,금13:00-13:50【22211】,금14:00-14:50【22211】,금15:00-15:50【22211】",일반수업,22,0,0
2024학년도 2학기,반도체공정및장비기술,"수12:00-13:15【23219】,수13:30-14:45【23219】","수12:00-13:15【23219】,수13:30-14:45【23219】",일반수업,23,0,0
2024학년도 2학기,나노물성측정론,수10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,국제어수업,83,0,0
2024학년도 2학기,반도체공정,"금09:00-10:15【330110】,금10:30-11:45【330110】","금09:00-10:15【330110】,금10:30-11:45【330110】",일반수업,33,0,0
