학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,글로벌테크노경영,"금13:00-13:50【26106】,금14:00-14:50【26106】","금13:00-13:50【26106】,금14:00-14:50【26106】",일반수업,26,0,0
2024학년도 2학기,Computer Aided Engineering,"화09:00-10:15【22301】,목10:30-11:45【22301】","화09:00-10:15【22301】,목10:30-11:45【22301】",일반수업,22,35,1
2024학년도 2학기,나노융합미래기술,월10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,일반수업,83,12,1
2024학년도 2학기,공학수치해석,"목09:00-10:15【26307】,목10:30-11:45【26307】","목09:00-10:15【26307】,목10:30-11:45【26307】",일반수업,26,99,2
2024학년도 2학기,공학수치해석,"화13:30-14:45【26515】,목12:00-13:15【26515】","화13:30-14:45【26515】,목12:00-13:15【26515】",국제어수업,26,99,2
2024학년도 2학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,241,3
2024학년도 2학기,기술경영개론,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,일반수업,23,241,3
2024학년도 2학기,기술경영개론,"금12:00-13:15【26223】,금13:30-14:45【26223】","금12:00-13:15【26223】,금13:30-14:45【26223】",일반수업,26,241,3
2024학년도 2학기,공학기초수학2,화09:00-10:15【26307】【1.5h(ON)+1.5h(OFF)】,화09:00-10:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,598,9
2024학년도 2학기,공학기초수학2,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,598,9
2024학년도 2학기,공학기초수학2,화15:00-16:15【26307】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,598,9
2024학년도 2학기,공학기초수학2,"월12:00-13:15【26223】,수13:30-14:45【26223】","월12:00-13:15【26223】,수13:30-14:45【26223】",일반수업,26,598,9
2024학년도 2학기,공학기초수학2,"월13:30-14:45【26223】,수12:00-13:15【26223】","월13:30-14:45【26223】,수12:00-13:15【26223】",일반수업,26,598,9
2024학년도 2학기,공학기초수학2,"화09:00-10:15【22410】,목10:30-11:45【22410】","화09:00-10:15【22410】,목10:30-11:45【22410】",일반수업,22,598,9
2024학년도 2학기,공학기초수학2,"화13:30-14:45【26223】,목12:00-13:15【26223】","화13:30-14:45【26223】,목12:00-13:15【26223】",일반수업,26,598,9
2024학년도 2학기,공학기초수학2,"월15:00-16:15【미지정】,수16:30-17:45【미지정】","월15:00-16:15【미지정】,수16:30-17:45【미지정】",국제어수업,0,598,9
2024학년도 2학기,공학기초수학2,"화12:00-13:15【26307】,목13:30-14:45【26307】","화12:00-13:15【26307】,목13:30-14:45【26307】",일반수업,26,598,9
2024학년도 2학기,인공지능과디지털수학,"화09:00-10:15【22409】,화10:30-11:45【22409】","화09:00-10:15【22409】,화10:30-11:45【22409】",일반수업,22,0,0
2024학년도 2학기,인공지능과디지털수학,"금09:00-10:15【26515】,금10:30-11:45【26515】","금09:00-10:15【26515】,금10:30-11:45【26515】",일반수업,26,0,0
2024학년도 2학기,공학연구프로젝트Ⅰ,미지정,미지정,일반수업,0,0,0
2024학년도 2학기,공학연구프로젝트Ⅰ,미지정,미지정,일반수업,0,0,0
2024학년도 2학기,공학연구프로젝트Ⅲ,미지정,미지정,일반수업,0,34,16
2024학년도 2학기,공학과인공지능,"월10:30-11:45【26421】,수09:00-10:15【26421】","월10:30-11:45【26421】,수09:00-10:15【26421】",일반수업,26,17,1
2024학년도 2학기,NFT이해와활용,"화12:00-13:15【26117】,목13:30-14:45【26117】","화12:00-13:15【26117】,목13:30-14:45【26117】",일반수업,26,0,0
2024학년도 2학기,경영과학(OR)및실습1,수15:00-16:15【26421】【1.5h(ON)+1.5h(OFF)】,수15:00-16:15【26421】【1.5h(ON)+1.5h(OFF)】,일반수업,26,62,1
2024학년도 2학기,기술관리,금10:30-11:45【26421】【1.5h(ON)+1.5h(OFF)】,금10:30-11:45【26421】【1.5h(ON)+1.5h(OFF)】,일반수업,26,48,1
2024학년도 2학기,응용통계및연습1,"월15:00-16:15【26515】,수16:30-17:45【26515】","월15:00-16:15【26515】,수16:30-17:45【26515】",일반수업,26,56,1
2024학년도 2학기,인간공학및실습,"화12:00-12:50【26513】,화13:00-13:50【26513】【1h(ON)+2h(OFF)】","화12:00-12:50【26513】,화13:00-13:50【26513】【1h(ON)+2h(OFF)】",일반수업,26,28,1
2024학년도 2학기,경영과학(OR)및실습2,월16:30-17:45【26421】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【26421】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
