학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,에너지신소재학,"월16:30-17:45【26311】,수15:00-16:15【26311】","월16:30-17:45【26311】,수15:00-16:15【26311】",일반수업,26,7,1
2024학년도 2학기,신소재프로세스공학,"화15:00-16:15【26108】,목16:30-17:45【26108】","화15:00-16:15【26108】,목16:30-17:45【26108】",국제어수업,26,159,3
2024학년도 2학기,신소재프로세스공학,"월13:30-14:45【26108】,수12:00-13:15【26108】","월13:30-14:45【26108】,수12:00-13:15【26108】",일반수업,26,159,3
2024학년도 2학기,신소재프로세스공학,목12:00-13:15【26108】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【26108】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,159,3
2024학년도 2학기,재료열역학1,"월10:30-11:45【26311】,수09:00-10:15【26311】","월10:30-11:45【26311】,수09:00-10:15【26311】",일반수업,26,162,3
2024학년도 2학기,재료열역학1,"월12:00-13:15【26311】,수13:30-14:45【26311】","월12:00-13:15【26311】,수13:30-14:45【26311】",국제어수업,26,162,3
2024학년도 2학기,재료열역학1,"화16:30-17:45【26311】,목15:00-16:15【26311】","화16:30-17:45【26311】,목15:00-16:15【26311】",국제어수업,26,162,3
2024학년도 2학기,신소재공학개론2,"화09:00-10:15【22110】,목10:30-11:45【22110】","화09:00-10:15【22110】,목10:30-11:45【22110】",국제어수업,22,157,3
2024학년도 2학기,신소재공학개론2,"화09:00-10:15【26311】,목10:30-11:45【26311】","화09:00-10:15【26311】,목10:30-11:45【26311】",국제어수업,26,157,3
2024학년도 2학기,신소재공학개론2,"화16:30-17:45【26108】,목15:00-16:15【26108】","화16:30-17:45【26108】,목15:00-16:15【26108】",일반수업,26,157,3
2024학년도 2학기,신소재공학실험,"월18:00-18:50【26108】,월19:00-19:50【26108】,월20:00-20:50【26108】,월21:00-21:45【26108】,월21:45-22:30【26108】,월22:30-23:15【26108】","월18:00-18:50【26108】,월19:00-19:50【26108】,월20:00-20:50【26108】,월21:00-21:45【26108】,월21:45-22:30【26108】,월22:30-23:15【26108】",국제어수업,26,0,0
2024학년도 2학기,신소재공학실험,"월18:00-18:50【26110】,월19:00-19:50【26110】,월20:00-20:50【26110】,수21:00-21:45【26110】,수21:45-22:30【26110】,수22:30-23:15【26110】","월18:00-18:50【26110】,월19:00-19:50【26110】,월20:00-20:50【26110】,수21:00-21:45【26110】,수21:45-22:30【26110】,수22:30-23:15【26110】",국제어수업,26,0,0
2024학년도 2학기,신소재공학실험,"월21:00-21:45【26311】,월21:45-22:30【26311】,월22:30-23:15【26311】,수18:00-18:50【26311】,수19:00-19:50【26311】,수20:00-20:50【26311】","월21:00-21:45【26311】,월21:45-22:30【26311】,월22:30-23:15【26311】,수18:00-18:50【26311】,수19:00-19:50【26311】,수20:00-20:50【26311】",국제어수업,26,0,0
2024학년도 2학기,상변태학,"월10:30-11:45【26505】,수09:00-10:15【26505】","월10:30-11:45【26505】,수09:00-10:15【26505】",국제어수업,26,0,0
2024학년도 2학기,상변태학,"화12:00-13:15【26311】,목13:30-14:45【26311】","화12:00-13:15【26311】,목13:30-14:45【26311】",국제어수업,26,0,0
2024학년도 2학기,고체물성론,"월16:30-17:45【26108】,수15:00-16:15【26108】","월16:30-17:45【26108】,수15:00-16:15【26108】",국제어수업,26,0,0
2024학년도 2학기,박막재료공정,"화10:30-11:45【26311】,목09:00-10:15【26311】","화10:30-11:45【26311】,목09:00-10:15【26311】",국제어수업,26,57,1
2024학년도 2학기,나노신소재,월12:00-13:15【26108】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【26108】【1.5h(ON)+1.5h(OFF)】,일반수업,26,44,1
