학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,약품생화학2,"금09:00-09:50【530150】,금10:00-10:50【530150】","금09:00-09:50【530150】,금10:00-10:50【530150】",일반수업,53,44,1
2024학년도 2학기,약품미생물학2,"화13:00-13:50【530150】,화14:00-14:50【530150】","화13:00-13:50【530150】,화14:00-14:50【530150】",일반수업,53,44,1
2024학년도 2학기,생약학2,"수09:00-09:50【530150】,수10:00-10:50【530150】","수09:00-09:50【530150】,수10:00-10:50【530150】",일반수업,53,44,1
2024학년도 2학기,약품분자생물학,"금13:00-13:50【530250】,금14:00-14:50【530250】,금15:00-15:50【530250】","금13:00-13:50【530250】,금14:00-14:50【530250】,금15:00-15:50【530250】",일반수업,53,73,1
2024학년도 2학기,생물약제학,"화09:00-09:50【530254】,화10:00-10:50【530254】,화11:00-11:50【530254】","화09:00-09:50【530254】,화10:00-10:50【530254】,화11:00-11:50【530254】",국제어수업,53,0,0
2024학년도 2학기,천연물약품화학,"월09:00-09:50【530150】,월10:00-10:50【530150】,월11:00-11:50【530150】","월09:00-09:50【530150】,월10:00-10:50【530150】,월11:00-11:50【530150】",일반수업,53,0,0
2024학년도 2학기,의약화학,"수10:00-10:50【530254】,수11:00-11:50【530254】,수12:00-12:50【530254】","수10:00-10:50【530254】,수11:00-11:50【530254】,수12:00-12:50【530254】",일반수업,53,0,0
2024학년도 2학기,독성학,"월09:00-09:50【530154】,월10:00-10:50【530154】,월11:00-11:50【530154】","월09:00-09:50【530154】,월10:00-10:50【530154】,월11:00-11:50【530154】",일반수업,53,0,0
2024학년도 2학기,예방약학2,"월13:00-13:50【530254】,월14:00-14:50【530254】","월13:00-13:50【530254】,월14:00-14:50【530254】",일반수업,53,62,1
2024학년도 2학기,약제학2,목10:30-11:45【530154】【0.5h(ON)+1.5h(OFF)】,목10:30-11:45【530154】【0.5h(ON)+1.5h(OFF)】,일반수업,53,62,1
2024학년도 2학기,약물동력학,"월15:00-15:50【530254】,월16:00-16:50【530254】,월17:00-17:50【530254】","월15:00-15:50【530254】,월16:00-16:50【530254】,월17:00-17:50【530254】",일반수업,53,63,1
2024학년도 2학기,약리학2,"화13:00-13:50【530154】,화14:00-14:50【530154】","화13:00-13:50【530154】,화14:00-14:50【530154】",일반수업,53,65,1
2024학년도 2학기,약학실습2,"목13:00-13:50【530127】,목14:00-14:50【530127】,목15:00-15:50【530127】,목16:00-16:50【530127】","목13:00-13:50【530127】,목14:00-14:50【530127】,목15:00-15:50【530127】,목16:00-16:50【530127】",일반수업,53,0,0
2024학년도 2학기,약사법규,"목09:00-09:50【530254】,목10:00-10:50【530254】,목11:00-11:50【530254】","목09:00-09:50【530254】,목10:00-10:50【530254】,목11:00-11:50【530254】",일반수업,53,0,0
2024학년도 2학기,약물치료학3,"수16:00-16:50【530254】,수17:00-17:50【530254】,수18:00-18:50【530254】","수16:00-16:50【530254】,수17:00-17:50【530254】,수18:00-18:50【530254】",일반수업,53,64,1
2024학년도 2학기,약학실습3,"목13:00-13:50【미지정】,목14:00-14:50【미지정】,목15:00-15:50【미지정】,목16:00-16:50【미지정】","목13:00-13:50【미지정】,목14:00-14:50【미지정】,목15:00-15:50【미지정】,목16:00-16:50【미지정】",일반수업,0,63,1
2024학년도 2학기,약학실습7,"목13:00-13:50【미지정】,목14:00-14:50【미지정】,목15:00-15:50【미지정】,목16:00-16:50【미지정】","목13:00-13:50【미지정】,목14:00-14:50【미지정】,목15:00-15:50【미지정】,목16:00-16:50【미지정】",일반수업,0,64,1
2024학년도 2학기,약학연구1,"화17:00-17:50【미지정】,화18:00-18:50【미지정】,화19:00-19:50【미지정】,화20:00-20:50【미지정】,화21:00-21:45【미지정】,화21:45-22:30【미지정】,토19:00-19:50【미지정】,토20:00-20:50【미지정】,토21:00-21:45【미지정】,토21:45-22:30【미지정】","화17:00-17:50【미지정】,화18:00-18:50【미지정】,화19:00-19:50【미지정】,화20:00-20:50【미지정】,화21:00-21:45【미지정】,화21:45-22:30【미지정】,토19:00-19:50【미지정】,토20:00-20:50【미지정】,토21:00-21:45【미지정】,토21:45-22:30【미지정】",일반수업,0,17,1
2024학년도 2학기,약학연구2,"토09:00-09:50【미지정】,토10:00-10:50【미지정】,토11:00-11:50【미지정】,토12:00-12:50【미지정】,토13:00-13:50【미지정】,토14:00-14:50【미지정】,토15:00-15:50【미지정】,토16:00-16:50【미지정】,토17:00-17:50【미지정】,토18:00-18:50【미지정】","토09:00-09:50【미지정】,토10:00-10:50【미지정】,토11:00-11:50【미지정】,토12:00-12:50【미지정】,토13:00-13:50【미지정】,토14:00-14:50【미지정】,토15:00-15:50【미지정】,토16:00-16:50【미지정】,토17:00-17:50【미지정】,토18:00-18:50【미지정】",일반수업,0,0,0
2024학년도 2학기,약학통계학,"금21:00-21:45【530150】,금21:45-22:30【530150】","금21:00-21:45【530150】,금21:45-22:30【530150】",일반수업,53,31,1
2024학년도 2학기,임상독성학,화10:30-11:45【530154】【0.5h(ON)+1.5h(OFF)】,화10:30-11:45【530154】【0.5h(ON)+1.5h(OFF)】,일반수업,53,0,0
2024학년도 2학기,약물치료학4,"월13:00-13:50【530154】,월14:00-14:50【530154】","월13:00-13:50【530154】,월14:00-14:50【530154】",일반수업,53,0,0
2024학년도 2학기,비처방약,"수09:00-09:50【530154】,수10:00-10:50【530154】","수09:00-09:50【530154】,수10:00-10:50【530154】",일반수업,53,0,0
2024학년도 2학기,제제설계학,"수11:00-11:50【530154】,수12:00-12:50【530154】","수11:00-11:50【530154】,수12:00-12:50【530154】",일반수업,53,54,1
