학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,바이오창업교육,"【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】","【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】",일반수업,모듈B,61,1
2024학년도 2학기,차세대바이오헬스캡스톤디자인,"월18:00-19:15【61306】,월19:30-20:45【61306】","월18:00-19:15【61306】,월19:30-20:45【61306】",일반수업,61,18,1
2024학년도 2학기,마음뇌인공지능,"목09:00-10:15【86126】,목10:30-11:45【86126】","목09:00-10:15【86126】,목10:30-11:45【86126】",일반수업,86,44,1
2024학년도 2학기,바이오프로그래밍과머신러닝,"화10:00-10:50【86103】,화11:00-11:50【86103】【1h(ON)+2h(OFF)】","화10:00-10:50【86103】,화11:00-11:50【86103】【1h(ON)+2h(OFF)】",국제어수업,86,26,1
2024학년도 2학기,바이오데이터마이닝,월10:30-11:45【86120】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【86120】【1.5h(ON)+1.5h(OFF)】,국제어수업,86,0,0
2024학년도 2학기,계산생물학의최신동향,"화12:00-13:15【62306】,목13:30-14:45【62306】","화12:00-13:15【62306】,목13:30-14:45【62306】",국제어수업,62,0,0
2024학년도 2학기,유전학,금12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,금12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,0,0
2024학년도 2학기,분자생물학,"수09:00-10:15【62355】,수10:30-11:45【62355】","수09:00-10:15【62355】,수10:30-11:45【62355】",일반수업,62,0,0
2024학년도 2학기,생명유기화학,월12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,4,1
2024학년도 2학기,질병면역학,"화13:30-14:45【62355】,목12:00-13:15【62355】","화13:30-14:45【62355】,목12:00-13:15【62355】",일반수업,62,52,1
2024학년도 2학기,종양생물학,금16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,금16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,33,1
2024학년도 2학기,신경생리학,"화09:00-10:15【62355】,화10:30-11:45【62355】","화09:00-10:15【62355】,화10:30-11:45【62355】",일반수업,62,35,1
2024학년도 2학기,융합생명창의적설계,미지정,미지정,일반수업,0,13,1
2024학년도 2학기,바이오공정공학,월16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,15,1
2024학년도 2학기,약물전달학,화16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,78,1
2024학년도 2학기,바이오에너지공학개론,목10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,68,1
2024학년도 2학기,면역학실험,"목18:00-18:50【62B08】,목19:00-19:50【62B08】,목20:00-20:50【62B08】,목21:00-21:45【62B08】","목18:00-18:50【62B08】,목19:00-19:50【62B08】,목20:00-20:50【62B08】,목21:00-21:45【62B08】",일반수업,62B08,32,1
2024학년도 2학기,유전자재조합개론,"금09:00-10:15【62306】,금10:30-11:45【62306】","금09:00-10:15【62306】,금10:30-11:45【62306】",일반수업,62,0,0
2024학년도 2학기,나노바이오공학,화13:30-14:45【62306】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【62306】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,0,0
2024학년도 2학기,줄기세포학특론,"목09:00-10:15【61306】,목10:30-11:45【61306】","목09:00-10:15【61306】,목10:30-11:45【61306】",일반수업,61,0,0
2024학년도 2학기,호모헌드레드Logicalthinking,"【모듈C】화09:00-10:15【62306】,화10:30-11:45【62306】","【모듈C】화09:00-10:15【62306】,화10:30-11:45【62306】",일반수업,모듈C,0,0
2024학년도 2학기,펩타이드소재개발,"월09:00-09:50【530254】,월10:00-10:50【530254】,월11:00-11:50【530254】","월09:00-09:50【530254】,월10:00-10:50【530254】,월11:00-11:50【530254】",일반수업,53,7,1
