학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,서양건축사,"목09:00-10:15【22111】,목10:30-11:45【22111】","목09:00-10:15【22111】,목10:30-11:45【22111】",일반수업,22,52,1
2024학년도 2학기,동양건축사,"월18:00-19:15【22111】,월19:30-20:45【22111】","월18:00-19:15【22111】,월19:30-20:45【22111】",일반수업,22,7,1
2024학년도 2학기,현대건축론2,"월09:00-10:15【22402】,월10:30-11:45【22402】","월09:00-10:15【22402】,월10:30-11:45【22402】",국제어수업,22,0,0
2024학년도 2학기,구조역학,"화13:30-14:45【23217】,목12:00-13:15【23217】","화13:30-14:45【23217】,목12:00-13:15【23217】",일반수업,23,73,1
2024학년도 2학기,건축시공및재료2,화10:30-11:45【22402】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22402】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2024학년도 2학기,건설관리,"화10:30-11:45【21502】,목09:00-10:15【21502】","화10:30-11:45【21502】,목09:00-10:15【21502】",일반수업,21,50,1
2024학년도 2학기,건축환경공학2,"월09:00-10:15【26223】,수10:30-11:45【26223】","월09:00-10:15【26223】,수10:30-11:45【26223】",일반수업,26,0,0
2024학년도 2학기,건축공학설계1,"화18:00-18:50【22402】,화19:00-19:50【22402】,화20:00-20:50【22402】,목18:00-18:50【22402】,목19:00-19:50【22402】,목20:00-20:50【22402】","화18:00-18:50【22402】,화19:00-19:50【22402】,화20:00-20:50【22402】,목18:00-18:50【22402】,목19:00-19:50【22402】,목20:00-20:50【22402】",일반수업,22,41,2
2024학년도 2학기,건축공학설계1,"화18:00-18:50【26223】,화19:00-19:50【26223】,화20:00-20:50【26223】,목18:00-18:50【26223】,목19:00-19:50【26223】,목20:00-20:50【26223】","화18:00-18:50【26223】,화19:00-19:50【26223】,화20:00-20:50【26223】,목18:00-18:50【26223】,목19:00-19:50【26223】,목20:00-20:50【26223】",일반수업,26,41,2
2024학년도 2학기,응용토질역학,"월09:00-10:15【26217A】,수10:30-11:45【26217A】","월09:00-10:15【26217A】,수10:30-11:45【26217A】",국제어수업,26,0,0
2024학년도 2학기,응용측량정보학,"월15:00-15:50【26305】,월16:00-16:50【26305】,월17:00-17:50【26305】,금15:00-15:50【26305】,금16:00-16:50【26305】,금17:00-17:50【26305】","월15:00-15:50【26305】,월16:00-16:50【26305】,월17:00-17:50【26305】,금15:00-15:50【26305】,금16:00-16:50【26305】,금17:00-17:50【26305】",일반수업,26,13,1
2024학년도 2학기,동아시아조경문화사,"화09:00-10:15【61301A】,화10:30-11:45【61301A】","화09:00-10:15【61301A】,화10:30-11:45【61301A】",일반수업,61,19,1
2024학년도 2학기,수목원세미나,화12:00-12:50【61301A】,화12:00-12:50【61301A】,일반수업,61,18,1
2024학년도 2학기,공학확률,목15:00-16:15【27515】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【27515】【1.5h(ON)+1.5h(OFF)】,일반수업,27,54,1
2024학년도 2학기,공원및오픈스페이스설계,"금09:00-10:15【61301A】,금10:30-11:45【61301A】","금09:00-10:15【61301A】,금10:30-11:45【61301A】",국제어수업,61,10,1
2024학년도 2학기,BIM기초,"화12:00-13:15【26512】,목13:30-14:45【26512】","화12:00-13:15【26512】,목13:30-14:45【26512】",일반수업,26,16,1
2024학년도 2학기,정원및외부공간설계,"금12:00-13:15【61301A】,금13:30-14:45【61301A】","금12:00-13:15【61301A】,금13:30-14:45【61301A】",국제어수업,61,19,1
2024학년도 2학기,철근콘크리트구조2,수12:00-13:15【26305】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26305】【1.5h(ON)+1.5h(OFF)】,일반수업,26,19,1
2024학년도 2학기,건설재료및실습,"화15:00-15:50【26512】,화16:00-16:50【26512】,화17:00-17:50【26512】,목15:00-15:50【26512】,목16:00-16:50【26512】,목17:00-17:50【26512】","화15:00-15:50【26512】,화16:00-16:50【26512】,화17:00-17:50【26512】,목15:00-15:50【26512】,목16:00-16:50【26512】,목17:00-17:50【26512】",일반수업,26,0,0
2024학년도 2학기,건축공학설계2,"월15:00-15:50【22402】,월16:00-16:50【22402】,월17:00-17:50【22402】,수15:00-15:50【22402】,수16:00-16:50【22402】,수17:00-17:50【22402】","월15:00-15:50【22402】,월16:00-16:50【22402】,월17:00-17:50【22402】,수15:00-15:50【22402】,수16:00-16:50【22402】,수17:00-17:50【22402】",일반수업,22,23,1
2024학년도 2학기,IndividualStudy2,미지정,미지정,일반수업,0,23,1
2024학년도 2학기,첨단건설IT,수10:30-11:45【22402】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【22402】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,46,1
2024학년도 2학기,지형공간정보학,"화15:00-16:15【26507】,목16:30-17:45【26507】","화15:00-16:15【26507】,목16:30-17:45【26507】",일반수업,26,11,1
