학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,시스템프로그램,"화16:30-17:45【26312】,목15:00-16:15【26312】","화16:30-17:45【26312】,목15:00-16:15【26312】",국제어수업,26,123,3
2024학년도 2학기,시스템프로그램,화15:00-16:15【26312】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【26312】【1.5h(ON)+1.5h(OFF)】,일반수업,26,123,3
2024학년도 2학기,시스템프로그램,"월15:00-16:15【85602】,수16:30-17:45【85602】","월15:00-16:15【85602】,수16:30-17:45【85602】",일반수업,85,123,3
2024학년도 2학기,자료구조개론,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,206,2
2024학년도 2학기,자료구조개론,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,206,2
2024학년도 2학기,알고리즘개론,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,알고리즘개론,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,알고리즘개론,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,172,4
2024학년도 2학기,문제해결,월16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,81,1
2024학년도 2학기,소프트웨어공학개론,금15:00-16:15【85605】【1.5h(ON)+1.5h(OFF)】,금15:00-16:15【85605】【1.5h(ON)+1.5h(OFF)】,일반수업,85,136,2
2024학년도 2학기,소프트웨어공학개론,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,136,2
2024학년도 2학기,데이터베이스개론,"화16:30-17:45【26310】,목15:00-16:15【26310】","화16:30-17:45【26310】,목15:00-16:15【26310】",국제어수업,26,0,0
2024학년도 2학기,운영체제,"월12:00-13:15【85613】,수13:30-14:45【85613】","월12:00-13:15【85613】,수13:30-14:45【85613】",국제어수업,85,132,2
2024학년도 2학기,운영체제,화12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,132,2
2024학년도 2학기,컴퓨터구조개론,"월13:30-14:45【330110】,수12:00-13:15【330110】","월13:30-14:45【330110】,수12:00-13:15【330110】",국제어수업,33,178,3
2024학년도 2학기,컴퓨터구조개론,수13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,일반수업,33,178,3
2024학년도 2학기,컴퓨터구조개론,"월12:00-13:15【85602】,수13:30-14:45【85602】","월12:00-13:15【85602】,수13:30-14:45【85602】",일반수업,85,178,3
2024학년도 2학기,프로그래밍언어,목16:30-17:45【85602】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【85602】【1.5h(ON)+1.5h(OFF)】,일반수업,85,142,2
2024학년도 2학기,프로그래밍언어,"화10:30-11:45【26310】,목09:00-10:15【26310】","화10:30-11:45【26310】,목09:00-10:15【26310】",국제어수업,26,142,2
2024학년도 2학기,인공지능개론,수13:30-14:45【330110】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【330110】【1.5h(ON)+1.5h(OFF)】,국제어수업,33,248,3
2024학년도 2학기,인공지능개론,"화15:00-16:15【330118】,목16:30-17:45【330118】","화15:00-16:15【330118】,목16:30-17:45【330118】",일반수업,33,248,3
2024학년도 2학기,인공지능개론,수10:30-11:45【85602】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【85602】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,248,3
2024학년도 2학기,멀티코어컴퓨팅,"화12:00-13:15【26312】,목13:30-14:45【26312】","화12:00-13:15【26312】,목13:30-14:45【26312】",일반수업,26,57,1
2024학년도 2학기,컴퓨터네트웍개론,"월16:30-17:45【85613】,수15:00-16:15【85613】【1h(ON)+3h(OFF)[4시간]】","월16:30-17:45【85613】,수15:00-16:15【85613】【1h(ON)+3h(OFF)[4시간]】",국제어수업,85,0,0
2024학년도 2학기,컴퓨터네트웍개론,"화13:30-14:45【85602】,목12:00-13:15【85602】","화13:30-14:45【85602】,목12:00-13:15【85602】",국제어수업,85,0,0
2024학년도 2학기,컴퓨터네트웍개론,"화13:30-14:45【85613】,목12:00-13:15【85613】","화13:30-14:45【85613】,목12:00-13:15【85613】",국제어수업,85,0,0
2024학년도 2학기,정보보호개론,"월13:30-14:45【26312】,수12:00-13:15【26312】","월13:30-14:45【26312】,수12:00-13:15【26312】",일반수업,26,30,1
2024학년도 2학기,기계학습원론,월13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,일반수업,33,95,1
2024학년도 2학기,컴퓨터비전개론,월12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,59,1
2024학년도 2학기,심층신경망개론,"화09:00-10:15【26310】,목10:30-11:45【26310】","화09:00-10:15【26310】,목10:30-11:45【26310】",국제어수업,26,132,2
2024학년도 2학기,HCI개론,수10:30-11:45【85613】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【85613】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,69,1
