학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,고체물성론,"월16:30-17:45【26108】,수15:00-16:15【26108】","월16:30-17:45【26108】,수15:00-16:15【26108】",국제어수업,26,20,1
2024학년도 2학기,화공기기분석,월15:00-16:15【26507】【1.5h(ON)+1.5h(OFF)】,월15:00-16:15【26507】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,53,1
2024학년도 2학기,공업물리화학2,수10:30-11:45【23217】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【23217】【1.5h(ON)+1.5h(OFF)】,국제어수업,23,208,3
2024학년도 2학기,공업물리화학2,목16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,일반수업,26,208,3
2024학년도 2학기,공업물리화학2,"월12:00-13:15【26308】,수13:30-14:45【26308】","월12:00-13:15【26308】,수13:30-14:45【26308】",국제어수업,26,208,3
2024학년도 2학기,공업유기화학2,"화13:30-14:45【26507】,목12:00-13:15【26507】","화13:30-14:45【26507】,목12:00-13:15【26507】",국제어수업,26,29,1
2024학년도 2학기,고체화학공학,"월16:30-17:45【26308】,수15:00-16:15【26308】","월16:30-17:45【26308】,수15:00-16:15【26308】",국제어수업,26,0,0
2024학년도 2학기,공업생화학,"화12:00-13:15【26308】,목13:30-14:45【26308】","화12:00-13:15【26308】,목13:30-14:45【26308】",국제어수업,26,24,1
2024학년도 2학기,에너지공학,"월13:30-14:45【26505】,수12:00-13:15【26505】","월13:30-14:45【26505】,수12:00-13:15【26505】",일반수업,26,26,1
2024학년도 2학기,분리공정,"화10:30-11:45【26507】,목09:00-10:15【26507】","화10:30-11:45【26507】,목09:00-10:15【26507】",일반수업,26,32,1
2024학년도 2학기,화학공학실험1,"월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】","월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】",국제어수업,24,100,4
2024학년도 2학기,화학공학실험1,"화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】","화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】",일반수업,24,100,4
2024학년도 2학기,화학공학실험1,"수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】","수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】",일반수업,24,100,4
2024학년도 2학기,화학공학실험1,"목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】","목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】",일반수업,24,100,4
2024학년도 2학기,화학공학실험2,"월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】","월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】",일반수업,24,92,4
2024학년도 2학기,화학공학실험2,"화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】","화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】",일반수업,24,92,4
2024학년도 2학기,화학공학실험2,"수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】","수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】",일반수업,24,92,4
2024학년도 2학기,화학공학실험2,"목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】","목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】",국제어수업,24,92,4
2024학년도 2학기,화학공학현장실습4,미지정,미지정,일반수업,0,0,0
2024학년도 2학기,전자회로1,"화13:30-14:45【22410】,목12:00-13:15【22410】","화13:30-14:45【22410】,목12:00-13:15【22410】",일반수업,22,64,1
2024학년도 2학기,광학기초,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,일반수업,22,23,1
2024학년도 2학기,공학수치해석,"목09:00-10:15【26307】,목10:30-11:45【26307】","목09:00-10:15【26307】,목10:30-11:45【26307】",일반수업,26,0,0
2024학년도 2학기,공학수치해석,"화13:30-14:45【26515】,목12:00-13:15【26515】","화13:30-14:45【26515】,목12:00-13:15【26515】",국제어수업,26,0,0
2024학년도 2학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,241,3
2024학년도 2학기,기술경영개론,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【23217】【1.5h(ON)+1.5h(OFF)】,일반수업,23,241,3
2024학년도 2학기,기술경영개론,"금12:00-13:15【26223】,금13:30-14:45【26223】","금12:00-13:15【26223】,금13:30-14:45【26223】",일반수업,26,241,3
