학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,건축학개론,"금09:00-10:15【26502】,금10:30-11:45【26502】","금09:00-10:15【26502】,금10:30-11:45【26502】",일반수업,26,50,1
2025학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】","화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】",일반수업,22,45,5
2025학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금12:00-13:15【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】","화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금12:00-13:15【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】",일반수업,22,45,5
2025학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】","화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】",일반수업,22,45,5
2025학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】","화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】",일반수업,22,45,5
2025학년도 1학기,건축설계스튜디오1,"화13:30-14:45【22534】,화15:00-16:15【22534】,화16:30-17:45【22534】,화18:00-19:10【22534】,금13:30-14:45【22534】,금15:00-16:15【22534】,금16:30-17:45【22534】,금18:00-19:10【22534】","화13:30-14:45【22534】,화15:00-16:15【22534】,화16:30-17:45【22534】,화18:00-19:10【22534】,금13:30-14:45【22534】,금15:00-16:15【22534】,금16:30-17:45【22534】,금18:00-19:10【22534】",일반수업,22,45,5
2025학년도 1학기,건축환경,수18:00-19:15【26502】【1.5h(ON)+1.5h(OFF)】,수18:00-19:15【26502】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2025학년도 1학기,한국건축사,"수09:00-10:15【23217】,수10:30-11:45【23217】","수09:00-10:15【23217】,수10:30-11:45【23217】",일반수업,23,0,0
2025학년도 1학기,도시계획,"월09:00-10:15【21514】,월10:30-11:45【21514】","월09:00-10:15【21514】,월10:30-11:45【21514】",일반수업,21,0,0
2025학년도 1학기,디지털디자인,"목09:00-10:15【22409】,목10:30-11:45【22409】","목09:00-10:15【22409】,목10:30-11:45【22409】",일반수업,22,0,0
2025학년도 1학기,재료역학,"월12:00-13:15【26513】,수13:30-14:45【26513】","월12:00-13:15【26513】,수13:30-14:45【26513】",일반수업,26,70,2
2025학년도 1학기,재료역학,"화09:00-10:15【26223】,목10:30-11:45【26223】","화09:00-10:15【26223】,목10:30-11:45【26223】",일반수업,26,70,2
2025학년도 1학기,철근콘크리트구조1,"화12:00-13:15【26310】,목13:30-14:45【26310】","화12:00-13:15【26310】,목13:30-14:45【26310】",일반수업,26,0,0
2025학년도 1학기,건축시공및재료1,화10:30-11:45【26223】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26223】【1.5h(ON)+1.5h(OFF)】,일반수업,26,35,1
2025학년도 1학기,건축환경공학1,월16:30-17:45【23217】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【23217】【1.5h(ON)+1.5h(OFF)】,일반수업,23,43,1
2025학년도 1학기,건축설계의이해,"화18:00-19:15【26223】,화19:30-20:45【26223】","화18:00-19:15【26223】,화19:30-20:45【26223】",일반수업,26,39,1
2025학년도 1학기,환경공학개론,"월13:30-14:45【26513】,수12:00-13:15【26513】","월13:30-14:45【26513】,수12:00-13:15【26513】",일반수업,26,21,1
2025학년도 1학기,토질역학,"월09:00-10:15【26308】,수10:30-11:45【26308】","월09:00-10:15【26308】,수10:30-11:45【26308】",국제어수업,26,33,1
2025학년도 1학기,측량정보학및실습,"월15:00-15:50【26217A】,월16:00-16:50【26217A】,월17:00-17:50【26217A】,금15:00-15:50【26217A】,금16:00-16:50【26217A】,금17:00-17:50【26217A】","월15:00-15:50【26217A】,월16:00-16:50【26217A】,월17:00-17:50【26217A】,금15:00-15:50【26217A】,금16:00-16:50【26217A】,금17:00-17:50【26217A】",일반수업,26,0,0
2025학년도 1학기,스마트도시인프라개론,"화09:00-10:15【26305】,화10:30-11:45【26305】","화09:00-10:15【26305】,화10:30-11:45【26305】",일반수업,26,18,1
2025학년도 1학기,환경토양학,"화09:00-10:15【61301A】,화10:30-11:45【61301A】","화09:00-10:15【61301A】,화10:30-11:45【61301A】",일반수업,61,18,1
2025학년도 1학기,조경수목학,"월09:00-10:15【26509】,월10:30-11:45【26509】","월09:00-10:15【26509】,월10:30-11:45【26509】",일반수업,26,23,1
2025학년도 1학기,건축설비시스템1,"월15:00-16:15【26508】,수16:30-17:45【26508】","월15:00-16:15【26508】,수16:30-17:45【26508】",일반수업,26,38,1
2025학년도 1학기,조경컴퓨터그래픽,"수09:00-09:50【61301A】,수10:00-10:50【61301A】,수11:00-11:50【61301A】,수12:00-12:50【61301A】,수13:00-13:50【61301A】,수14:00-14:50【61301A】","수09:00-09:50【61301A】,수10:00-10:50【61301A】,수11:00-11:50【61301A】,수12:00-12:50【61301A】,수13:00-13:50【61301A】,수14:00-14:50【61301A】",일반수업,61,0,0
2025학년도 1학기,조경학의이해,"금09:00-10:15【61301A】,금10:30-11:45【61301A】","금09:00-10:15【61301A】,금10:30-11:45【61301A】",일반수업,61,18,1
2025학년도 1학기,강구조설계,수10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,70,1
2025학년도 1학기,건설재료및실습,"화15:00-15:50【26512】,화16:00-16:50【26512】,화17:00-17:50【26512】,목15:00-15:50【26512】,목16:00-16:50【26512】,목17:00-17:50【26512】","화15:00-15:50【26512】,화16:00-16:50【26512】,화17:00-17:50【26512】,목15:00-15:50【26512】,목16:00-16:50【26512】,목17:00-17:50【26512】",일반수업,26,38,1
2025학년도 1학기,건설공법,화10:30-11:45【22402】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22402】【1.5h(ON)+1.5h(OFF)】,일반수업,22,8,1
2025학년도 1학기,건축적산,"수18:00-19:15【26223】,수19:30-20:45【26223】","수18:00-19:15【26223】,수19:30-20:45【26223】",일반수업,26,56,1
2025학년도 1학기,IndividualStudy1,미지정,미지정,일반수업,0,23,1
2025학년도 1학기,건축공학현장실습4A,미지정,미지정,일반수업,0,1,1
2025학년도 1학기,건설공정관리,수12:00-13:15【22402】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【22402】【1.5h(ON)+1.5h(OFF)】,일반수업,22,26,1
2025학년도 1학기,물순환플랜트공학(하수),"화13:30-14:45【26508】,목12:00-13:15【26508】","화13:30-14:45【26508】,목12:00-13:15【26508】",일반수업,26,19,1
2025학년도 1학기,고도수처리공학(정수),"화12:00-13:15【26108】,목13:30-14:45【26108】","화12:00-13:15【26108】,목13:30-14:45【26108】",국제어수업,26,14,1
2025학년도 1학기,건축종합설계,"월18:00-18:50【26508】,월19:00-19:50【26508】,월20:00-20:50【26508】,월21:00-21:45【26508】,수18:00-18:50【26508】,수19:00-19:50【26508】,수20:00-20:50【26508】,수21:00-21:45【26508】","월18:00-18:50【26508】,월19:00-19:50【26508】,월20:00-20:50【26508】,월21:00-21:45【26508】,수18:00-18:50【26508】,수19:00-19:50【26508】,수20:00-20:50【26508】,수21:00-21:45【26508】",국제어수업,26,0,0
2025학년도 1학기,건축종합설계,"월18:00-18:50【26507】,월19:00-19:50【26507】,월20:00-20:50【26507】,월21:00-21:45【26507】,수18:00-18:50【26507】,수19:00-19:50【26507】,수20:00-20:50【26507】,수21:00-21:45【26507】","월18:00-18:50【26507】,월19:00-19:50【26507】,월20:00-20:50【26507】,월21:00-21:45【26507】,수18:00-18:50【26507】,수19:00-19:50【26507】,수20:00-20:50【26507】,수21:00-21:45【26507】",국제어수업,26,0,0
2025학년도 1학기,건축종합설계,"월18:00-18:50【26509】,월19:00-19:50【26509】,월20:00-20:50【26509】,월21:00-21:45【26509】,수18:00-18:50【26509】,수19:00-19:50【26509】,수20:00-20:50【26509】,수21:00-21:45【26509】","월18:00-18:50【26509】,월19:00-19:50【26509】,월20:00-20:50【26509】,월21:00-21:45【26509】,수18:00-18:50【26509】,수19:00-19:50【26509】,수20:00-20:50【26509】,수21:00-21:45【26509】",국제어수업,26,0,0
2025학년도 1학기,사회기반시스템종합설계,"금09:00-09:50【26307】,금10:00-10:50【26307】,금11:00-11:50【26307】,금12:00-12:50【26307】,금13:00-13:50【26307】,금14:00-14:50【26307】","금09:00-09:50【26307】,금10:00-10:50【26307】,금11:00-11:50【26307】,금12:00-12:50【26307】,금13:00-13:50【26307】,금14:00-14:50【26307】",일반수업,26,0,0
2025학년도 1학기,사회기반시스템종합설계,"금09:00-09:50【26513】,금10:00-10:50【26513】,금11:00-11:50【26513】,금12:00-12:50【26513】,금13:00-13:50【26513】,금14:00-14:50【26513】","금09:00-09:50【26513】,금10:00-10:50【26513】,금11:00-11:50【26513】,금12:00-12:50【26513】,금13:00-13:50【26513】,금14:00-14:50【26513】",일반수업,26,0,0
2025학년도 1학기,조경계획,"화18:00-19:15【26119A】,화19:30-20:45【26119A】","화18:00-19:15【26119A】,화19:30-20:45【26119A】",일반수업,26,8,1
2025학년도 1학기,조경재료및시공기초,"금18:00-19:15【61301A】,금19:30-20:45【61301A】","금18:00-19:15【61301A】,금19:30-20:45【61301A】",일반수업,61,11,1
2025학년도 1학기,신재생에너지와탄소중립,수12:00-13:15【26512】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26512】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,21,1
2025학년도 1학기,통합환경설계,"목15:00-15:50【61301A】,목16:00-16:50【61301A】,목17:00-17:50【61301A】,목18:00-18:50【61301A】,목19:00-19:50【61301A】,목20:00-20:50【61301A】","목15:00-15:50【61301A】,목16:00-16:50【61301A】,목17:00-17:50【61301A】,목18:00-18:50【61301A】,목19:00-19:50【61301A】,목20:00-20:50【61301A】",일반수업,61,7,1
2025학년도 1학기,설비시스템성능평가,"화09:00-10:15【21414】,화10:30-11:45【21414】","화09:00-10:15【21414】,화10:30-11:45【21414】",일반수업,21,0,0
2025학년도 1학기,열전달,"월10:30-11:45【22310】,수09:00-10:15【22310】","월10:30-11:45【22310】,수09:00-10:15【22310】",일반수업,22,132,3
2025학년도 1학기,열전달,"월13:30-14:45【22310】,수12:00-13:15【22310】","월13:30-14:45【22310】,수12:00-13:15【22310】",일반수업,22,132,3
2025학년도 1학기,열전달,"화12:00-13:15【22312】,목13:30-14:45【22312】","화12:00-13:15【22312】,목13:30-14:45【22312】",일반수업,22,132,3
2025학년도 1학기,응용고체역학,화13:30-14:45【22301】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【22301】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2025학년도 1학기,최적설계,목10:30-11:45【22310】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22310】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,63,1
2025학년도 1학기,공학수치해석,"화13:30-14:45【26515】,목12:00-13:15【26515】","화13:30-14:45【26515】,목12:00-13:15【26515】",국제어수업,26,69,1
2025학년도 1학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,109,2
2025학년도 1학기,기술경영개론,"토09:00-10:15【미지정】,토10:30-11:45【미지정】","토09:00-10:15【미지정】,토10:30-11:45【미지정】",일반수업,0,109,2
2025학년도 1학기,공학연구프로젝트Ⅱ,미지정,미지정,일반수업,0,0,0
