학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,반도체제조공정및소재,"수18:00-19:15【미지정】,수19:30-20:45【미지정】","수18:00-19:15【미지정】,수19:30-20:45【미지정】",일반수업,0,47,1
2025학년도 1학기,반도체소재분석기초,"금15:00-16:15【미지정】,금16:30-17:45【미지정】","금15:00-16:15【미지정】,금16:30-17:45【미지정】",일반수업,0,64,1
2025학년도 1학기,반도체공정소재물성,"월18:00-19:15【미지정】,월19:30-20:45【미지정】","월18:00-19:15【미지정】,월19:30-20:45【미지정】",일반수업,0,49,1
2025학년도 1학기,반도체패키징,"화18:00-19:15【미지정】,화19:30-20:45【미지정】","화18:00-19:15【미지정】,화19:30-20:45【미지정】",일반수업,0,30,1
2025학년도 1학기,SOC설계및실습,월13:30-14:45【400202】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【400202】【1.5h(ON)+1.5h(OFF)】,일반수업,40,0,0
2025학년도 1학기,유연전자소재공학,"월15:00-16:15【21121】,월16:30-17:45【21121】","월15:00-16:15【21121】,월16:30-17:45【21121】",일반수업,21,0,0
2025학년도 1학기,반도체공학,"화15:00-16:15【21534】,목16:30-17:45【21534】","화15:00-16:15【21534】,목16:30-17:45【21534】",일반수업,21,0,0
2025학년도 1학기,반도체공학,"화16:30-17:45【22211】,목15:00-16:15【22211】","화16:30-17:45【22211】,목15:00-16:15【22211】",일반수업,22,0,0
2025학년도 1학기,신호및시스템,"화10:30-11:45【21502】,목09:00-10:15【21502】","화10:30-11:45【21502】,목09:00-10:15【21502】",국제어수업,21,0,0
2025학년도 1학기,신호및시스템,"화10:30-11:45【21534】,목09:00-10:15【21534】","화10:30-11:45【21534】,목09:00-10:15【21534】",국제어수업,21,0,0
2025학년도 1학기,신호및시스템,"화10:30-11:45【21514】,목09:00-10:15【21514】","화10:30-11:45【21514】,목09:00-10:15【21514】",국제어수업,21,0,0
2025학년도 1학기,신호및시스템,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",국제어수업,0,0,0
2025학년도 1학기,회로이론1,"화10:30-11:45【22110】,목09:00-10:15【22110】","화10:30-11:45【22110】,목09:00-10:15【22110】",국제어수업,22,0,0
2025학년도 1학기,회로이론1,"화10:30-11:45【22211】,목09:00-10:15【22211】","화10:30-11:45【22211】,목09:00-10:15【22211】",국제어수업,22,0,0
2025학년도 1학기,회로이론1,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2025학년도 1학기,회로이론1,화10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2025학년도 1학기,회로이론1,"화16:30-17:45【22410】,목15:00-16:15【22410】","화16:30-17:45【22410】,목15:00-16:15【22410】",국제어수업,22,0,0
2025학년도 1학기,회로이론1,"월16:30-17:45【22410】,수15:00-16:15【22410】","월16:30-17:45【22410】,수15:00-16:15【22410】",국제어수업,22,0,0
2025학년도 1학기,광학기초,수13:30-14:45【22211】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【22211】【1.5h(ON)+1.5h(OFF)】,일반수업,22,0,0
2025학년도 1학기,컴퓨터구조론,"금12:00-13:15【22211】,금13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】","금12:00-13:15【22211】,금13:30-14:45【22211】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,59,1
2025학년도 1학기,인공지능반도체로직소자,"월13:30-14:45【22111】,수12:00-13:15【22111】","월13:30-14:45【22111】,수12:00-13:15【22111】",일반수업,22,43,1
2025학년도 1학기,반도체소자설계,"화12:00-13:15【22111】,목13:30-14:45【22111】","화12:00-13:15【22111】,목13:30-14:45【22111】",일반수업,22,0,0
2025학년도 1학기,고체물리개론,목10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,일반수업,83,0,0
2025학년도 1학기,나노소자2,화13:30-14:45【83188】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【83188】【1.5h(ON)+1.5h(OFF)】,일반수업,83,0,0
2025학년도 1학기,나노에너지소재개론,월10:30-11:45【83140】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【83140】【1.5h(ON)+1.5h(OFF)】,일반수업,83,0,0
2025학년도 1학기,디지털시스템,"금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】","금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,97,2
2025학년도 1학기,디지털시스템,"토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】","토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,97,2
2025학년도 1학기,기계학습개론,화10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,국제어수업,40,97,1
2025학년도 1학기,반도체소자공정실험,"금12:00-12:50【22201】,금13:00-13:50【22201】,금14:00-14:50【22201】,금15:00-15:50【22201】","금12:00-12:50【22201】,금13:00-13:50【22201】,금14:00-14:50【22201】,금15:00-15:50【22201】",일반수업,22,16,1
2025학년도 1학기,차세대디스플레이기술,"화15:00-16:15【83188】,화16:30-17:45【83188】","화15:00-16:15【83188】,화16:30-17:45【83188】",일반수업,83,0,0
