학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,차세대반도체종합설계,"수09:00-10:15【330110】,수10:30-11:45【330110】","수09:00-10:15【330110】,수10:30-11:45【330110】",일반수업,33,50,1
2025학년도 1학기,최신반도체설계기술,"화09:00-10:15【330110】,목10:30-11:45【330110】","화09:00-10:15【330110】,목10:30-11:45【330110】",일반수업,33,24,1
2025학년도 1학기,물리전자,"화09:00-10:15【22410】,목10:30-11:45【22410】","화09:00-10:15【22410】,목10:30-11:45【22410】",국제어수업,22,60,1
2025학년도 1학기,반도체공학,"화15:00-16:15【21534】,목16:30-17:45【21534】","화15:00-16:15【21534】,목16:30-17:45【21534】",일반수업,21,119,2
2025학년도 1학기,반도체공학,"화16:30-17:45【22211】,목15:00-16:15【22211】","화16:30-17:45【22211】,목15:00-16:15【22211】",일반수업,22,119,2
2025학년도 1학기,회로이론1,"화10:30-11:45【22110】,목09:00-10:15【22110】","화10:30-11:45【22110】,목09:00-10:15【22110】",국제어수업,22,0,0
2025학년도 1학기,회로이론1,"화10:30-11:45【22211】,목09:00-10:15【22211】","화10:30-11:45【22211】,목09:00-10:15【22211】",국제어수업,22,0,0
2025학년도 1학기,회로이론1,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2025학년도 1학기,회로이론1,화10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2025학년도 1학기,회로이론1,"화16:30-17:45【22410】,목15:00-16:15【22410】","화16:30-17:45【22410】,목15:00-16:15【22410】",국제어수업,22,0,0
2025학년도 1학기,회로이론1,"월16:30-17:45【22410】,수15:00-16:15【22410】","월16:30-17:45【22410】,수15:00-16:15【22410】",국제어수업,22,0,0
2025학년도 1학기,전자회로1,"월09:00-10:15【22211】,수10:30-11:45【22211】","월09:00-10:15【22211】,수10:30-11:45【22211】",국제어수업,22,0,0
2025학년도 1학기,전자회로1,"월09:00-10:15【22410】,수10:30-11:45【22410】","월09:00-10:15【22410】,수10:30-11:45【22410】",국제어수업,22,0,0
2025학년도 1학기,전자회로1,"월09:00-10:15【21502】,수10:30-11:45【21502】","월09:00-10:15【21502】,수10:30-11:45【21502】",국제어수업,21,0,0
2025학년도 1학기,전자회로1,"월09:00-10:15【22111】,수10:30-11:45【22111】","월09:00-10:15【22111】,수10:30-11:45【22111】",국제어수업,22,0,0
2025학년도 1학기,전자회로1,"월13:00-13:50【22410】,월14:00-14:50【22410】【1h(ON)+2h(OFF)】","월13:00-13:50【22410】,월14:00-14:50【22410】【1h(ON)+2h(OFF)】",국제어수업,22,0,0
2025학년도 1학기,집적회로,"월16:30-17:45【21514】,수15:00-16:15【21514】","월16:30-17:45【21514】,수15:00-16:15【21514】",일반수업,21,0,0
2025학년도 1학기,인공지능반도체로직소자,"월13:30-14:45【22111】,수12:00-13:15【22111】","월13:30-14:45【22111】,수12:00-13:15【22111】",일반수업,22,0,0
2025학년도 1학기,반도체소자설계,"화12:00-13:15【22111】,목13:30-14:45【22111】","화12:00-13:15【22111】,목13:30-14:45【22111】",일반수업,22,59,1
2025학년도 1학기,논리회로,목10:30-11:45【21534】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【21534】【1.5h(ON)+1.5h(OFF)】,일반수업,21,439,6
2025학년도 1학기,논리회로,목10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,국제어수업,21,439,6
2025학년도 1학기,논리회로,화10:30-11:45【22409】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22409】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,439,6
2025학년도 1학기,논리회로,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,439,6
2025학년도 1학기,논리회로,"화15:00-16:15【400126】,목16:30-17:45【400126】【1h(ON)+3h(OFF)[4시간]】","화15:00-16:15【400126】,목16:30-17:45【400126】【1h(ON)+3h(OFF)[4시간]】",국제어수업,40,439,6
2025학년도 1학기,논리회로,"월13:30-14:45【85602】,수12:00-13:15【85602】","월13:30-14:45【85602】,수12:00-13:15【85602】",일반수업,85,439,6
2025학년도 1학기,마이크로프로세서,"화16:30-17:45【22409】,목15:00-16:15【22409】","화16:30-17:45【22409】,목15:00-16:15【22409】",국제어수업,22,0,0
2025학년도 1학기,마이크로프로세서,수15:00-16:15【400118】【1.5h(ON)+1.5h(OFF)】,수15:00-16:15【400118】【1.5h(ON)+1.5h(OFF)】,국제어수업,40,0,0
2025학년도 1학기,디지털시스템,"금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】","금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,97,2
2025학년도 1학기,디지털시스템,"토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】","토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,97,2
