학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,최신반도체설계기술,"화09:00-10:15【330110】,목10:30-11:45【330110】","화09:00-10:15【330110】,목10:30-11:45【330110】",일반수업,33,24,1
2025학년도 1학기,논리회로,목10:30-11:45【21534】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【21534】【1.5h(ON)+1.5h(OFF)】,일반수업,21,439,6
2025학년도 1학기,논리회로,목10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,국제어수업,21,439,6
2025학년도 1학기,논리회로,화10:30-11:45【22409】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【22409】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,439,6
2025학년도 1학기,논리회로,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,439,6
2025학년도 1학기,논리회로,"화15:00-16:15【400126】,목16:30-17:45【400126】【1h(ON)+3h(OFF)[4시간]】","화15:00-16:15【400126】,목16:30-17:45【400126】【1h(ON)+3h(OFF)[4시간]】",국제어수업,40,439,6
2025학년도 1학기,논리회로,"월13:30-14:45【85602】,수12:00-13:15【85602】","월13:30-14:45【85602】,수12:00-13:15【85602】",일반수업,85,439,6
2025학년도 1학기,확률및랜덤프로세스,"월10:30-11:45【미지정】,수09:00-10:15【미지정】","월10:30-11:45【미지정】,수09:00-10:15【미지정】",일반수업,0,0,0
2025학년도 1학기,확률및랜덤프로세스,"화12:00-13:15【21502】,목13:30-14:45【21502】","화12:00-13:15【21502】,목13:30-14:45【21502】",일반수업,21,0,0
2025학년도 1학기,기초공학수학1,"월09:00-10:15【22409】,수10:30-11:45【22409】","월09:00-10:15【22409】,수10:30-11:45【22409】",국제어수업,22,316,5
2025학년도 1학기,기초공학수학1,"월12:00-13:15【22409】,수13:30-14:45【22409】","월12:00-13:15【22409】,수13:30-14:45【22409】",국제어수업,22,316,5
2025학년도 1학기,기초공학수학1,"월13:30-14:45【23217】,수12:00-13:15【23217】","월13:30-14:45【23217】,수12:00-13:15【23217】",국제어수업,23,316,5
2025학년도 1학기,기초공학수학1,수13:30-14:45【400126】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【400126】【1.5h(ON)+1.5h(OFF)】,일반수업,40,316,5
2025학년도 1학기,기초공학수학1,금13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,금13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,국제어수업,33,316,5
2025학년도 1학기,기초공학수학2,"월12:00-13:15【22111】,수13:30-14:45【22111】","월12:00-13:15【22111】,수13:30-14:45【22111】",국제어수업,22,83,2
2025학년도 1학기,기초공학수학2,"월10:30-11:45【61352】,수09:00-10:15【61352】","월10:30-11:45【61352】,수09:00-10:15【61352】",일반수업,61,83,2
2025학년도 1학기,마이크로프로세서,"화16:30-17:45【22409】,목15:00-16:15【22409】","화16:30-17:45【22409】,목15:00-16:15【22409】",국제어수업,22,0,0
2025학년도 1학기,마이크로프로세서,수15:00-16:15【400118】【1.5h(ON)+1.5h(OFF)】,수15:00-16:15【400118】【1.5h(ON)+1.5h(OFF)】,국제어수업,40,0,0
2025학년도 1학기,디지털시스템,"금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】","금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,0,0
2025학년도 1학기,디지털시스템,"토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】","토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】",일반수업,22,0,0
2025학년도 1학기,기계학습개론,화10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,국제어수업,40,97,1
2025학년도 1학기,기초전기회로이론,"화09:00-10:15【26509】,화10:30-11:45【26509】","화09:00-10:15【26509】,화10:30-11:45【26509】",일반수업,26,47,1
