학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,세포생물학,"금12:00-13:15【31213】,금13:30-14:45【31213】","금12:00-13:15【31213】,금13:30-14:45【31213】",일반수업,31,76,1
2025학년도 1학기,생화학,"월09:00-10:15【31213】,수10:30-11:45【31213】","월09:00-10:15【31213】,수10:30-11:45【31213】",일반수업,31,61,1
2025학년도 1학기,식물분류학,"화10:30-11:45【31213】,목09:00-10:15【31213】","화10:30-11:45【31213】,목09:00-10:15【31213】",국제어수업,31,48,1
2025학년도 1학기,질병생물학,"화15:00-16:15【31213】,목16:30-17:45【31213】","화15:00-16:15【31213】,목16:30-17:45【31213】",일반수업,31,44,1
2025학년도 1학기,유전체정보학,"금09:00-10:15【31213】,금10:30-11:45【31213】","금09:00-10:15【31213】,금10:30-11:45【31213】",일반수업,31,0,0
2025학년도 1학기,생태학,"월15:00-16:15【31213】,수16:30-17:45【31213】","월15:00-16:15【31213】,수16:30-17:45【31213】",일반수업,31,0,0
2025학년도 1학기,면역과인체방어,"월16:30-17:45【31213】,수15:00-16:15【31213】","월16:30-17:45【31213】,수15:00-16:15【31213】",일반수업,31,0,0
2025학년도 1학기,종양생물학,"금12:00-13:15【51308】,금13:30-14:45【51308】","금12:00-13:15【51308】,금13:30-14:45【51308】",일반수업,51,0,0
2025학년도 1학기,생물분자구조학,"월12:00-13:15【31213】,수13:30-14:45【31213】","월12:00-13:15【31213】,수13:30-14:45【31213】",국제어수업,31,75,1
2025학년도 1학기,생태학실험,"수18:00-18:50【32158A】,수19:00-19:50【32158A】,수20:00-20:50【32158A】,수21:00-21:45【32158A】","수18:00-18:50【32158A】,수19:00-19:50【32158A】,수20:00-20:50【32158A】,수21:00-21:45【32158A】",일반수업,32,0,0
2025학년도 1학기,유전공학,"화16:30-17:45【31213】,목15:00-16:15【31213】","화16:30-17:45【31213】,목15:00-16:15【31213】",일반수업,31,0,0
2025학년도 1학기,신경유전학,"월10:30-11:45【31213】,수09:00-10:15【31213】","월10:30-11:45【31213】,수09:00-10:15【31213】",일반수업,31,0,0
2025학년도 1학기,중개생물학,"월13:30-14:45【31213】,수12:00-13:15【31213】","월13:30-14:45【31213】,수12:00-13:15【31213】",일반수업,31,0,0
2025학년도 1학기,식물분류학실험,"화18:00-18:50【32158A】,화19:00-19:50【32158A】,화20:00-20:50【32158A】,화21:00-21:45【32158A】","화18:00-18:50【32158A】,화19:00-19:50【32158A】,화20:00-20:50【32158A】,화21:00-21:45【32158A】",국제어수업,32,36,1
2025학년도 1학기,신경생물학원론,"화12:00-13:15【31213】,목13:30-14:45【31213】","화12:00-13:15【31213】,목13:30-14:45【31213】",일반수업,31,72,1
2025학년도 1학기,분자세포생물학실험4,"월18:00-18:50【32263C】,월19:00-19:50【32263C】,월20:00-20:50【32263C】,월21:00-21:45【32263C】","월18:00-18:50【32263C】,월19:00-19:50【32263C】,월20:00-20:50【32263C】,월21:00-21:45【32263C】",일반수업,32,23,1
2025학년도 1학기,발생학개론,"화09:00-10:15【31213】,목10:30-11:45【31213】","화09:00-10:15【31213】,목10:30-11:45【31213】",일반수업,31,54,1
2025학년도 1학기,바이오데이터분석프로그래밍,"금15:00-16:15【31213】,금16:30-17:45【31213】","금15:00-16:15【31213】,금16:30-17:45【31213】",일반수업,31,8,1
2025학년도 1학기,유전학특론,"수12:00-13:15【32153】,수13:30-14:45【32153】","수12:00-13:15【32153】,수13:30-14:45【32153】",일반수업,32,0,0
2025학년도 1학기,분자당쇄생물학,"수09:00-10:15【32153】,수10:30-11:45【32153】","수09:00-10:15【32153】,수10:30-11:45【32153】",국제어수업,32,0,0
2025학년도 1학기,고급식물학연구특론,"목09:00-10:15【32153】,목10:30-11:45【32153】","목09:00-10:15【32153】,목10:30-11:45【32153】",국제어수업,32,0,0
2025학년도 1학기,유기화학1,"화13:30-14:45【330126】,목12:00-13:15【330126】","화13:30-14:45【330126】,목12:00-13:15【330126】",일반수업,33,124,3
2025학년도 1학기,유기화학1,"화13:30-14:45【330102】,목12:00-13:15【330102】","화13:30-14:45【330102】,목12:00-13:15【330102】",일반수업,33,124,3
2025학년도 1학기,유기화학1,화13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,일반수업,33,124,3
2025학년도 1학기,자연과학연구학점1,미지정,미지정,일반수업,0,0,0
