학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,종합설계프로젝트,"월18:00-19:15【85731】,월19:30-20:45【85731】","월18:00-19:15【85731】,월19:30-20:45【85731】",일반수업,85,250,6
2025학년도 1학기,종합설계프로젝트,"화09:00-10:15【22003】,화10:30-11:45【22003】","화09:00-10:15【22003】,화10:30-11:45【22003】",일반수업,22,250,6
2025학년도 1학기,종합설계프로젝트,"화18:00-19:15【85731】,화19:30-20:45【85731】","화18:00-19:15【85731】,화19:30-20:45【85731】",일반수업,85,250,6
2025학년도 1학기,종합설계프로젝트,"수18:00-19:15【22203】,수19:30-20:45【85731】","수18:00-19:15【22203】,수19:30-20:45【85731】",일반수업,22,250,6
2025학년도 1학기,종합설계프로젝트,"목18:00-19:15【22003】,목19:30-20:45【22003】","목18:00-19:15【22003】,목19:30-20:45【22003】",일반수업,22,250,6
2025학년도 1학기,종합설계프로젝트,"금12:00-13:15【23529】,금13:30-14:45【23529】","금12:00-13:15【23529】,금13:30-14:45【23529】",일반수업,23,250,6
2025학년도 1학기,자료구조개론,"월09:00-10:15【85613】,수10:30-11:45【85613】","월09:00-10:15【85613】,수10:30-11:45【85613】",국제어수업,85,0,0
2025학년도 1학기,자료구조개론,"수09:00-10:15【미지정】,수10:30-11:45【미지정】","수09:00-10:15【미지정】,수10:30-11:45【미지정】",일반수업,0,0,0
2025학년도 1학기,자료구조개론,"【모듈D】수09:00-10:15【85602】,수10:30-11:45【85602】","【모듈D】수09:00-10:15【85602】,수10:30-11:45【85602】",국제어수업,모듈D,0,0
2025학년도 1학기,JAVA프로그래밍실습,"월18:00-18:50【85613】,월19:00-19:50【85613】,월20:00-20:50【85613】,월21:00-21:45【85613】","월18:00-18:50【85613】,월19:00-19:50【85613】,월20:00-20:50【85613】,월21:00-21:45【85613】",국제어수업,85,0,0
2025학년도 1학기,JAVA프로그래밍실습,"화18:00-18:50【85602】,화19:00-19:50【85602】,화20:00-20:50【85602】,화21:00-21:45【85602】","화18:00-18:50【85602】,화19:00-19:50【85602】,화20:00-20:50【85602】,화21:00-21:45【85602】",국제어수업,85,0,0
2025학년도 1학기,컴퓨터네트웍개론,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,86,1
