학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,회로이론1,"월13:30-14:45【22410】,수12:00-13:15【22410】","월13:30-14:45【22410】,수12:00-13:15【22410】",국제어수업,22,76,1
2025학년도 2학기,회로이론2,"화10:30-11:45【21534】,목09:00-10:15【21534】","화10:30-11:45【21534】,목09:00-10:15【21534】",일반수업,21,321,5
2025학년도 2학기,회로이론2,"화10:30-11:45【22410】,목09:00-10:15【22410】","화10:30-11:45【22410】,목09:00-10:15【22410】",일반수업,22,321,5
2025학년도 2학기,회로이론2,목09:00-10:15【22110】【1.5h(ON)+1.5h(OFF)】,목09:00-10:15【22110】【1.5h(ON)+1.5h(OFF)】,일반수업,22,321,5
2025학년도 2학기,회로이론2,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,일반수업,22,321,5
2025학년도 2학기,회로이론2,"화10:30-11:45【23219】,목09:00-10:15【23219】","화10:30-11:45【23219】,목09:00-10:15【23219】",국제어수업,23,321,5
2025학년도 2학기,광전자소자와응용,"월16:30-17:45【83188】,수15:00-16:15【83188】","월16:30-17:45【83188】,수15:00-16:15【83188】",국제어수업,83,0,0
2025학년도 2학기,자연과학연구학점1,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학연구학점2,미지정,미지정,일반수업,0,11,8
2025학년도 2학기,자연과학연구학점3,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학과인문학,"금15:00-16:15【32255】,금16:30-17:45【32255】","금15:00-16:15【32255】,금16:30-17:45【32255】",일반수업,32,0,0
2025학년도 2학기,일반역학2,"화13:30-14:45【31214】,목12:00-13:15【31214】","화13:30-14:45【31214】,목12:00-13:15【31214】",일반수업,31,0,0
2025학년도 2학기,기초물리학실험2,"화18:00-18:50【32352】,화19:00-19:50【32352】,목18:00-18:50【32352】,목19:00-19:50【32352】","화18:00-18:50【32352】,화19:00-19:50【32352】,목18:00-18:50【32352】,목19:00-19:50【32352】",국제어수업,32,0,0
2025학년도 2학기,수리물리학2,"월10:30-11:45【31214】,수09:00-10:15【31214】","월10:30-11:45【31214】,수09:00-10:15【31214】",국제어수업,31,60,1
2025학년도 2학기,전자기학1,"월16:30-17:45【32255】,수15:00-16:15【32255】","월16:30-17:45【32255】,수15:00-16:15【32255】",일반수업,32,72,1
2025학년도 2학기,전자기학1연습,"금10:00-10:50【31214】,금11:00-11:50【31214】","금10:00-10:50【31214】,금11:00-11:50【31214】",일반수업,31,16,1
2025학년도 2학기,열및통계물리1,"금12:00-13:15【31214】,금13:30-14:45【31214】","금12:00-13:15【31214】,금13:30-14:45【31214】",국제어수업,31,0,0
2025학년도 2학기,양자역학2,"화10:30-11:45【31214】,목09:00-10:15【31214】","화10:30-11:45【31214】,목09:00-10:15【31214】",일반수업,31,0,0
2025학년도 2학기,전자물리학실험2,"월18:00-18:50【31352】,월19:00-19:50【31352】,수18:00-18:50【31352】,수19:00-19:50【31352】","월18:00-18:50【31352】,월19:00-19:50【31352】,수18:00-18:50【31352】,수19:00-19:50【31352】",국제어수업,31,17,1
2025학년도 2학기,고급물리학실험2,"금17:00-17:50【31214】,금18:00-18:50【31214】,금19:00-19:50【31214】,금20:00-20:50【31214】","금17:00-17:50【31214】,금18:00-18:50【31214】,금19:00-19:50【31214】,금20:00-20:50【31214】",국제어수업,31,19,1
2025학년도 2학기,입자물리학,"월12:00-13:15【31214】,수13:30-14:45【31214】","월12:00-13:15【31214】,수13:30-14:45【31214】",일반수업,31,21,1
2025학년도 2학기,핵물리학,"화12:00-13:15【31214】,목13:30-14:45【31214】","화12:00-13:15【31214】,목13:30-14:45【31214】",국제어수업,31,10,1
2025학년도 2학기,졸업논문연구,미지정,미지정,일반수업,0,12,1
2025학년도 2학기,반도체및기능성소재물리,"화16:30-17:45【31214】,목15:00-16:15【31214】","화16:30-17:45【31214】,목15:00-16:15【31214】",일반수업,31,0,0
2025학년도 2학기,물리세미나2,수17:00-17:50【31214】,수17:00-17:50【31214】,일반수업,31,0,0
2025학년도 2학기,양자광학,"화15:00-16:15【31355】,목16:30-17:45【31355】","화15:00-16:15【31355】,목16:30-17:45【31355】",일반수업,31,0,0
2025학년도 2학기,고체물리1,"화09:00-10:15【31214】,목10:30-11:45【31214】","화09:00-10:15【31214】,목10:30-11:45【31214】",일반수업,31,0,0
2025학년도 2학기,양자정보학,"월15:00-16:15【31355】,월16:30-17:45【31355】","월15:00-16:15【31355】,월16:30-17:45【31355】",국제어수업,31,0,0
2025학년도 2학기,고급양자역학,"목12:00-13:15【31355】,목13:30-14:45【31355】","목12:00-13:15【31355】,목13:30-14:45【31355】",일반수업,31,0,0
2025학년도 2학기,응집물리학1,"화12:00-13:15【61306】,화13:30-14:45【61306】","화12:00-13:15【61306】,화13:30-14:45【61306】",일반수업,61,0,0
2025학년도 2학기,AI로배우는양자전자물리,"화16:30-17:45【31355】,목15:00-16:15【31355】","화16:30-17:45【31355】,목15:00-16:15【31355】",일반수업,31,0,0
2025학년도 2학기,대학원양자역학1,"금15:00-16:15【31355】,금16:30-17:45【31355】","금15:00-16:15【31355】,금16:30-17:45【31355】",국제어수업,31,0,0
2025학년도 2학기,통계역학,"금09:00-10:15【31355】,금10:30-11:45【31355】","금09:00-10:15【31355】,금10:30-11:45【31355】",일반수업,31,0,0
2025학년도 2학기,물리학특강2,"월12:00-13:15【31355】,월13:30-14:45【31355】","월12:00-13:15【31355】,월13:30-14:45【31355】",일반수업,31,0,0
