학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,생명공학의이해,"화11:00-11:50【미지정】,화12:00-12:50【미지정】","화11:00-11:50【미지정】,화12:00-12:50【미지정】",일반수업,0,17,1
2025학년도 2학기,바이오창업교육,"【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】","【모듈B】월09:00-10:15【62355】,월10:30-11:45【62355】",일반수업,모듈B,54,1
2025학년도 2학기,차세대바이오헬스캡스톤디자인,"월18:00-19:15【61306】,월19:30-20:45【61306】","월18:00-19:15【61306】,월19:30-20:45【61306】",일반수업,61,25,1
2025학년도 2학기,동역학,화15:00-16:15【61209】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【61209】【1.5h(ON)+1.5h(OFF)】,일반수업,61,31,1
2025학년도 2학기,컴퓨터프로그래밍,"목09:00-09:50【62157B】,목10:00-10:50【62157B】","목09:00-09:50【62157B】,목10:00-10:50【62157B】",일반수업,62,39,1
2025학년도 2학기,컴퓨터프로그래밍실습,"목11:00-11:50【62157B】,목12:00-12:50【62157B】","목11:00-11:50【62157B】,목12:00-12:50【62157B】",일반수업,62,39,1
2025학년도 2학기,공업수학II,수13:30-14:45【61209】【1.5h(ON)+1.5h(OFF)】,수13:30-14:45【61209】【1.5h(ON)+1.5h(OFF)】,국제어수업,61,0,0
2025학년도 2학기,고체역학,"월13:30-14:45【61209】,수12:00-13:15【61209】","월13:30-14:45【61209】,수12:00-13:15【61209】",국제어수업,61,45,1
2025학년도 2학기,전자기학II,"금12:00-13:15【61209】,금13:30-14:45【61209】","금12:00-13:15【61209】,금13:30-14:45【61209】",일반수업,61,35,1
2025학년도 2학기,고급파이썬데이터분석,"화18:00-19:15【62157B】,화19:30-20:45【62157B】","화18:00-19:15【62157B】,화19:30-20:45【62157B】",일반수업,62,27,1
2025학년도 2학기,바이오계측공학,수15:00-16:15【61156】【0.5h(ON)+1.5h(OFF)】,수15:00-16:15【61156】【0.5h(ON)+1.5h(OFF)】,일반수업,61,17,1
2025학년도 2학기,바이오계측공학실습,"수17:00-17:50【61156】,수18:00-18:50【61156】","수17:00-17:50【61156】,수18:00-18:50【61156】",일반수업,61,18,1
2025학년도 2학기,심혈관생체역학,"화16:30-17:45【61209】,목15:00-16:15【61209】","화16:30-17:45【61209】,목15:00-16:15【61209】",국제어수업,61,7,1
2025학년도 2학기,빅데이터분석공학,"금15:00-16:15【62157B】,금16:30-17:45【62157B】","금15:00-16:15【62157B】,금16:30-17:45【62157B】",일반수업,62,3,1
2025학년도 2학기,자동제어,"금18:00-19:15【61209】,금19:30-20:45【61209】","금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업,61,7,1
2025학년도 2학기,VR프로그래밍,월15:00-16:15【62157B】【0.5h(ON)+1.5h(OFF)】,월15:00-16:15【62157B】【0.5h(ON)+1.5h(OFF)】,일반수업,62,8,1
2025학년도 2학기,VR프로그래밍실습,"월17:00-17:50【62157B】,월18:00-18:50【62157B】","월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업,62,8,1
2025학년도 2학기,회로이론,"금09:00-10:15【62157B】,금10:30-11:45【62157B】","금09:00-10:15【62157B】,금10:30-11:45【62157B】",일반수업,62,36,1
2025학년도 2학기,바이오제품개발학,"금09:00-10:15【61208】,금10:30-11:45【61208】","금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업,61,49,1
