학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,상변태학,"월16:30-17:45【26108】,수15:00-16:15【26108】","월16:30-17:45【26108】,수15:00-16:15【26108】",국제어수업,26,107,2
2025학년도 2학기,상변태학,"월15:00-16:15【26108】,수16:30-17:45【26108】","월15:00-16:15【26108】,수16:30-17:45【26108】",국제어수업,26,107,2
2025학년도 2학기,유기고분자재료,"목12:00-13:15【26110】,목13:30-14:45【26110】","목12:00-13:15【26110】,목13:30-14:45【26110】",국제어수업,26,0,0
2025학년도 2학기,화공기기분석,월15:00-16:15【26308】【1.5h(ON)+1.5h(OFF)】,월15:00-16:15【26308】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,60,1
2025학년도 2학기,반응공학,"월10:30-11:45【26308】,수09:00-10:15【26308】【1h(ON)+3h(OFF)[4시간]】","월10:30-11:45【26308】,수09:00-10:15【26308】【1h(ON)+3h(OFF)[4시간]】",국제어수업,26,0,0
2025학년도 2학기,반응공학,"화09:00-10:15【26507】,목10:30-11:45【26507】","화09:00-10:15【26507】,목10:30-11:45【26507】",일반수업,26,0,0
2025학년도 2학기,반응공학,화10:30-11:45【26505】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26505】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,반응공학,"월16:30-17:45【26310】,수15:00-16:15【26310】","월16:30-17:45【26310】,수15:00-16:15【26310】",일반수업,26,0,0
2025학년도 2학기,화공전자재료,수18:00-19:15【26308】【1.5h(ON)+1.5h(OFF)】,수18:00-19:15【26308】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,공정제어및설계,"화09:00-10:15【26110】,화10:30-11:45【26110】","화09:00-10:15【26110】,화10:30-11:45【26110】",국제어수업,26,104,2
2025학년도 2학기,공정제어및설계,"금12:00-13:15【26308】,금13:30-14:45【26308】","금12:00-13:15【26308】,금13:30-14:45【26308】",국제어수업,26,104,2
2025학년도 2학기,반도체공학,"화10:30-11:45【22211】,목09:00-10:15【22211】","화10:30-11:45【22211】,목09:00-10:15【22211】",일반수업,22,0,0
2025학년도 2학기,반도체공학,"화16:30-17:45【22110】,목15:00-16:15【22110】","화16:30-17:45【22110】,목15:00-16:15【22110】",일반수업,22,0,0
2025학년도 2학기,회로이론2,"화10:30-11:45【21534】,목09:00-10:15【21534】","화10:30-11:45【21534】,목09:00-10:15【21534】",일반수업,21,321,5
2025학년도 2학기,회로이론2,"화10:30-11:45【22410】,목09:00-10:15【22410】","화10:30-11:45【22410】,목09:00-10:15【22410】",일반수업,22,321,5
2025학년도 2학기,회로이론2,목09:00-10:15【22110】【1.5h(ON)+1.5h(OFF)】,목09:00-10:15【22110】【1.5h(ON)+1.5h(OFF)】,일반수업,22,321,5
2025학년도 2학기,회로이론2,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,일반수업,22,321,5
2025학년도 2학기,회로이론2,"화10:30-11:45【23219】,목09:00-10:15【23219】","화10:30-11:45【23219】,목09:00-10:15【23219】",국제어수업,23,321,5
2025학년도 2학기,전자회로2,목12:00-13:15【85712】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【85712】【1.5h(ON)+1.5h(OFF)】,일반수업,85,0,0
