학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,안테나공학,"월13:30-14:45【22110】,수12:00-13:15【23529】","월13:30-14:45【22110】,수12:00-13:15【23529】",일반수업,22,27,1
2025학년도 2학기,해석학2,목12:00-13:15【31316】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【31316】【1.5h(ON)+1.5h(OFF)】,일반수업,31,55,1
2025학년도 2학기,집합론,수16:30-17:45【31316】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【31316】【1.5h(ON)+1.5h(OFF)】,일반수업,31,60,1
2025학년도 2학기,전산응용수학,금16:30-17:45【31316】【1.5h(ON)+1.5h(OFF)】,금16:30-17:45【31316】【1.5h(ON)+1.5h(OFF)】,일반수업,31,19,1
2025학년도 2학기,선형대수2,수12:00-13:15【31316】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【31316】【1.5h(ON)+1.5h(OFF)】,일반수업,31,0,0
2025학년도 2학기,암호론,"화09:00-10:15【31316】,목10:30-11:45【31316】","화09:00-10:15【31316】,목10:30-11:45【31316】",국제어수업,31,0,0
2025학년도 2학기,편미분방정식,"월12:00-13:15【31316】,수13:30-14:45【31316】","월12:00-13:15【31316】,수13:30-14:45【31316】",일반수업,31,0,0
2025학년도 2학기,미분기하학2,"금09:00-10:15【31316】,금10:30-11:45【31316】","금09:00-10:15【31316】,금10:30-11:45【31316】",국제어수업,31,0,0
2025학년도 2학기,확률론,월10:30-11:45【31316】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【31316】【1.5h(ON)+1.5h(OFF)】,일반수업,31,38,1
2025학년도 2학기,현대대수학2,"화12:00-13:15【31316】,목13:30-14:45【31316】","화12:00-13:15【31316】,목13:30-14:45【31316】",국제어수업,31,0,0
2025학년도 2학기,위상수학2,"화16:30-17:45【31316】,목15:00-16:15【31316】","화16:30-17:45【31316】,목15:00-16:15【31316】",국제어수업,31,0,0
2025학년도 2학기,복소해석학2,"월16:30-17:45【31316】,수15:00-16:15【31316】","월16:30-17:45【31316】,수15:00-16:15【31316】",국제어수업,31,0,0
2025학년도 2학기,고급위상수학,"화13:30-14:45【31351A】,목12:00-13:15【31351A】","화13:30-14:45【31351A】,목12:00-13:15【31351A】",국제어수업,31,0,0
2025학년도 2학기,대수적조합론,"금15:00-16:15【31351A】,금16:30-17:45【31351A】","금15:00-16:15【31351A】,금16:30-17:45【31351A】",국제어수업,31,0,0
2025학년도 2학기,고급금융수학,화16:30-17:45【31351A】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【31351A】【1.5h(ON)+1.5h(OFF)】,국제어수업,31,0,0
2025학년도 2학기,자연과학연구학점1,미지정,미지정,일반수업,0,18,11
2025학년도 2학기,자연과학연구학점2,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학연구학점3,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학과인문학,"금15:00-16:15【32255】,금16:30-17:45【32255】","금15:00-16:15【32255】,금16:30-17:45【32255】",일반수업,32,77,1
2025학년도 2학기,운영체제,"화12:00-13:15【26310】,목13:30-14:45【26310】","화12:00-13:15【26310】,목13:30-14:45【26310】",일반수업,26,109,2
2025학년도 2학기,운영체제,"화13:30-14:45【85602】,목12:00-13:15【85602】","화13:30-14:45【85602】,목12:00-13:15【85602】",일반수업,85,109,2
