학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,양자정보공학입문2,"월16:30-17:45【83279】,수15:00-16:15【83279】","월16:30-17:45【83279】,수15:00-16:15【83279】",일반수업,83,27,1
2025학년도 2학기,공학수치해석,"화13:30-14:45【23219】,목12:00-13:15【23219】","화13:30-14:45【23219】,목12:00-13:15【23219】",국제어수업,23,132,2
2025학년도 2학기,공학수치해석,수09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,수09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,132,2
2025학년도 2학기,기술경영개론,"금15:00-16:15【26421】,금16:30-17:45【26421】","금15:00-16:15【26421】,금16:30-17:45【26421】",일반수업,26,192,3
2025학년도 2학기,기술경영개론,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,192,3
2025학년도 2학기,기술경영개론,수12:00-13:15【26515】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26515】【1.5h(ON)+1.5h(OFF)】,일반수업,26,192,3
2025학년도 2학기,공학기초수학2,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,공학기초수학2,화15:00-16:15【26307】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,공학기초수학2,화16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,화16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,공학기초수학2,수12:00-13:15【26307】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,공학기초수학2,수16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【26307】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,0,0
2025학년도 2학기,공학기초수학2,"월12:00-13:15【26223】,수13:30-14:45【26223】","월12:00-13:15【26223】,수13:30-14:45【26223】",일반수업,26,0,0
2025학년도 2학기,공학기초수학2,"월13:30-14:45【26223】,수12:00-13:15【26223】","월13:30-14:45【26223】,수12:00-13:15【26223】",일반수업,26,0,0
2025학년도 2학기,공학기초수학2,"월12:00-13:15【22410】,수13:30-14:45【22410】","월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업,22,0,0
2025학년도 2학기,공학기초수학2,"월15:00-16:15【26223】,수16:30-17:45【26223】","월15:00-16:15【26223】,수16:30-17:45【26223】",일반수업,26,0,0
2025학년도 2학기,공학기초수학2,"화09:00-10:15【26223】,목10:30-11:45【26223】","화09:00-10:15【26223】,목10:30-11:45【26223】",일반수업,26,0,0
2025학년도 2학기,공학기초수학2,"화13:30-14:45【26305】,목12:00-13:15【26305】","화13:30-14:45【26305】,목12:00-13:15【26305】",일반수업,26,0,0
2025학년도 2학기,인공지능과디지털수학,"금09:00-10:15【26513】,금10:30-11:45【26513】","금09:00-10:15【26513】,금10:30-11:45【26513】",일반수업,26,0,0
2025학년도 2학기,공과대학전공입문,"월10:00-10:50【미지정】,월11:00-11:50【미지정】","월10:00-10:50【미지정】,월11:00-11:50【미지정】",일반수업,0,0,0
2025학년도 2학기,공학연구프로젝트Ⅰ,미지정,미지정,일반수업,0,92,49
2025학년도 2학기,공학연구프로젝트Ⅱ,미지정,미지정,일반수업,0,78,32
2025학년도 2학기,공학과인공지능,"월16:30-17:45【26421】,수15:00-16:15【26421】","월16:30-17:45【26421】,수15:00-16:15【26421】",일반수업,26,8,1
2025학년도 2학기,양자정보과학Ⅱ,"월12:00-13:15【83140】,월13:30-14:45【83140】","월12:00-13:15【83140】,월13:30-14:45【83140】",국제어수업,83,0,0
