학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,로봇공학,"화15:00-16:15【85777】,화16:30-17:45【85777】","화15:00-16:15【85777】,화16:30-17:45【85777】",일반수업,85,0,0
2025학년도 2학기,나노소자공학,"화12:00-13:15【21502】,화13:30-14:45【21502】","화12:00-13:15【21502】,화13:30-14:45【21502】",국제어수업,21,0,0
2025학년도 2학기,전자에너지변환공학,"목12:00-13:15【22111】,목13:30-14:45【22111】","목12:00-13:15【22111】,목13:30-14:45【22111】",국제어수업,22,0,0
2025학년도 2학기,영상처리,"수12:00-13:15【85712】,수13:30-14:45【85712】","수12:00-13:15【85712】,수13:30-14:45【85712】",국제어수업,85,0,0
2025학년도 2학기,기술혁신과사업경영,"월15:00-16:15【330118】,월16:30-17:45【330118】","월15:00-16:15【330118】,월16:30-17:45【330118】",일반수업,33,0,0
2025학년도 2학기,SOC설계및실습,"금15:00-16:15【330110】,금16:30-17:45【400202】","금15:00-16:15【330110】,금16:30-17:45【400202】",일반수업,33,0,0
2025학년도 2학기,메모리반도체설계,"화10:30-11:45【400118】,목09:00-10:15【400118】","화10:30-11:45【400118】,목09:00-10:15【400118】",국제어수업,40,0,0
2025학년도 2학기,무선네트워크코너스톤,금10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,금10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,국제어수업,21,0,0
2025학년도 2학기,차량용임베디드소프트웨어,금13:30-14:45【330110】【1.5h(ON)+1.5h(OFF)】,금13:30-14:45【330110】【1.5h(ON)+1.5h(OFF)】,국제어수업,33,0,0
2025학년도 2학기,제어공학심화,화09:00-10:15【22410】【1.5h(ON)+1.5h(OFF)】,화09:00-10:15【22410】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,0,0
2025학년도 2학기,고속패키지및인터커넥트설계,"화12:00-13:15【400118】,화13:30-14:45【400118】","화12:00-13:15【400118】,화13:30-14:45【400118】",일반수업,40,0,0
