학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,차세대바이오헬스캡스톤디자인,"월18:00-19:15【61306】,월19:30-20:45【61306】","월18:00-19:15【61306】,월19:30-20:45【61306】",일반수업,61,25,1
2025학년도 2학기,생물물리학,"화09:00-10:15【31213】,목10:30-11:45【31213】","화09:00-10:15【31213】,목10:30-11:45【31213】",일반수업,31,37,1
2025학년도 2학기,동물생리학,"【모듈A】월10:30-11:45【31213】,수09:00-10:15【31213】","【모듈A】월10:30-11:45【31213】,수09:00-10:15【31213】",일반수업,모듈A,75,1
2025학년도 2학기,생체대사조절학,"월12:00-13:15【31213】,수13:30-14:45【31213】","월12:00-13:15【31213】,수13:30-14:45【31213】",일반수업,31,75,1
2025학년도 2학기,세상을바꾼의약품,"화12:00-13:15【330226】,화13:30-14:45【330226】","화12:00-13:15【330226】,화13:30-14:45【330226】",국제어수업,33,0,0
2025학년도 2학기,영양대사생화학,"월15:00-16:15【61208】,수16:30-17:45【61208】","월15:00-16:15【61208】,수16:30-17:45【61208】",국제어수업,61,68,1
2025학년도 2학기,대사공학및합성생물학,"목19:00-19:50【61306】,목20:00-20:50【61306】【1h(ON)+2h(OFF)】","목19:00-19:50【61306】,목20:00-20:50【61306】【1h(ON)+2h(OFF)】",국제어수업,61,0,0
2025학년도 2학기,마음뇌인공지능,"목09:00-10:15【86120】,목10:30-11:45【86120】","목09:00-10:15【86120】,목10:30-11:45【86120】",일반수업,86,0,0
2025학년도 2학기,기초생체재료학,"【모듈C】화09:00-10:15【86120】,화10:30-11:45【86120】","【모듈C】화09:00-10:15【86120】,화10:30-11:45【86120】",일반수업,모듈C,0,0
2025학년도 2학기,바이오프로그래밍과머신러닝,"화10:00-10:50【86103】,화11:00-11:50【86103】【1h(ON)+2h(OFF)】","화10:00-10:50【86103】,화11:00-11:50【86103】【1h(ON)+2h(OFF)】",국제어수업,86,11,1
2025학년도 2학기,바이오메디컬종합설계,"화18:00-18:50【86206】,화19:00-19:50【86206】,화20:00-20:50【86206】,화21:00-21:45【86206】,화21:45-22:30【86206】,화22:30-23:15【86206】","화18:00-18:50【86206】,화19:00-19:50【86206】,화20:00-20:50【86206】,화21:00-21:45【86206】,화21:45-22:30【86206】,화22:30-23:15【86206】",국제어수업,86,19,1
2025학년도 2학기,계산생물학의최신동향,"화12:00-13:15【62306】,목13:30-14:45【62306】","화12:00-13:15【62306】,목13:30-14:45【62306】",일반수업,62,70,1
2025학년도 2학기,종양생물학,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,58,1
2025학년도 2학기,바이오공정공학,화13:30-14:45【62355】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,73,1
2025학년도 2학기,나노바이오공학,월12:00-13:15【62306】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【62306】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,0,0
