학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 2학기,분자생물학,"금09:00-10:15【31213】,금10:30-11:45【31213】","금09:00-10:15【31213】,금10:30-11:45【31213】",일반수업,31,105,2
2025학년도 2학기,분자생물학,"금15:00-16:15【31213】,금16:30-17:45【31213】","금15:00-16:15【31213】,금16:30-17:45【31213】",일반수업,31,105,2
2025학년도 2학기,유기화학1,"월18:00-19:15【330126】,월19:30-20:45【330126】","월18:00-19:15【330126】,월19:30-20:45【330126】",일반수업,33,39,1
2025학년도 2학기,물리화학2,"월16:30-17:45【330126】,수15:00-16:15【330126】","월16:30-17:45【330126】,수15:00-16:15【330126】",일반수업,33,49,1
2025학년도 2학기,유기화학2,"화13:30-14:45【330126】,목12:00-13:15【330126】","화13:30-14:45【330126】,목12:00-13:15【330126】",일반수업,33,0,0
2025학년도 2학기,유기화학2,"화13:30-14:45【330118】,목12:00-13:15【330118】","화13:30-14:45【330118】,목12:00-13:15【330118】",일반수업,33,0,0
2025학년도 2학기,무기화학2,"월12:00-13:15【330126】,수13:30-14:45【330126】","월12:00-13:15【330126】,수13:30-14:45【330126】",일반수업,33,0,0
2025학년도 2학기,분석화학2,"화16:30-17:45【330126】,목15:00-16:15【330126】","화16:30-17:45【330126】,목15:00-16:15【330126】",일반수업,33,0,0
2025학년도 2학기,물리화학실험2,"월18:00-18:50【32254B】,월19:00-19:50【32254B】","월18:00-18:50【32254B】,월19:00-19:50【32254B】",국제어수업,32,87,4
2025학년도 2학기,물리화학실험2,"화18:00-18:50【32254B】,화19:00-19:50【32254B】","화18:00-18:50【32254B】,화19:00-19:50【32254B】",국제어수업,32,87,4
2025학년도 2학기,물리화학실험2,"수18:00-18:50【32254B】,수19:00-19:50【32254B】","수18:00-18:50【32254B】,수19:00-19:50【32254B】",국제어수업,32,87,4
2025학년도 2학기,물리화학실험2,"목18:00-18:50【32254B】,목19:00-19:50【32254B】","목18:00-18:50【32254B】,목19:00-19:50【32254B】",국제어수업,32,87,4
2025학년도 2학기,유기화학실험2,"화18:00-18:50【330231】,화19:00-19:50【330231】","화18:00-18:50【330231】,화19:00-19:50【330231】",국제어수업,33,0,0
2025학년도 2학기,유기화학실험2,"수18:00-18:50【330231】,수19:00-19:50【330231】","수18:00-18:50【330231】,수19:00-19:50【330231】",국제어수업,33,0,0
2025학년도 2학기,유기화학실험2,"목18:00-18:50【330231】,목19:00-19:50【330231】","목18:00-18:50【330231】,목19:00-19:50【330231】",국제어수업,33,0,0
2025학년도 2학기,무기화학실험2,"월18:00-18:50【330225】,월19:00-19:50【330225】","월18:00-18:50【330225】,월19:00-19:50【330225】",국제어수업,33,21,1
2025학년도 2학기,물리화학특론,"화15:00-16:15【330126】,목16:30-17:45【330126】【1h(ON)+3h(OFF)[4시간]】","화15:00-16:15【330126】,목16:30-17:45【330126】【1h(ON)+3h(OFF)[4시간]】",국제어수업,33,0,0
2025학년도 2학기,컴퓨터화학,"금12:00-13:15【330126】,금13:30-14:45【330126】","금12:00-13:15【330126】,금13:30-14:45【330126】",일반수업,33,0,0
2025학년도 2학기,생물화학2,수16:30-17:45【330126】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,56,1
2025학년도 2학기,졸업논문연구2,미지정,미지정,일반수업,0,29,1
2025학년도 2학기,고분자화학,"월10:30-11:45【330126】,수09:00-10:15【330126】","월10:30-11:45【330126】,수09:00-10:15【330126】",일반수업,33,19,1
2025학년도 2학기,생물화학실험,"수18:00-18:50【330219】,수19:00-19:50【330219】","수18:00-18:50【330219】,수19:00-19:50【330219】",국제어수업,33,0,0
2025학년도 2학기,분석화학실험,"화18:00-18:50【330219】,화19:00-19:50【330219】","화18:00-18:50【330219】,화19:00-19:50【330219】",국제어수업,33,0,0
2025학년도 2학기,재료화학2,목13:30-14:45【330126】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,0,0
2025학년도 2학기,촉매합성화학,월13:30-14:45【330126】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【330126】【1.5h(ON)+1.5h(OFF)】,일반수업,33,0,0
2025학년도 2학기,고급무기화학,월09:00-10:15【330226】【1.5h(ON)+1.5h(OFF)】,월09:00-10:15【330226】【1.5h(ON)+1.5h(OFF)】,국제어수업,33,0,0
2025학년도 2학기,고급분석화학1,"수12:00-13:15【330226】,수13:30-14:45【330226】","수12:00-13:15【330226】,수13:30-14:45【330226】",국제어수업,33,0,0
2025학년도 2학기,고급소재화학2,"월15:00-16:15【330226】,월16:30-17:45【330226】","월15:00-16:15【330226】,월16:30-17:45【330226】",국제어수업,33,0,0
2025학년도 2학기,세상을바꾼의약품,"화12:00-13:15【330226】,화13:30-14:45【330226】","화12:00-13:15【330226】,화13:30-14:45【330226】",국제어수업,33,0,0
2025학년도 2학기,유기전자연성재료물리화학,"수15:00-16:15【330226】,수16:30-17:45【330226】","수15:00-16:15【330226】,수16:30-17:45【330226】",국제어수업,33,0,0
2025학년도 2학기,나노융합미래기술,월10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【83188】【1.5h(ON)+1.5h(OFF)】,일반수업,83,34,1
2025학년도 2학기,기초생체재료학,"【모듈C】화09:00-10:15【86120】,화10:30-11:45【86120】","【모듈C】화09:00-10:15【86120】,화10:30-11:45【86120】",일반수업,모듈C,79,1
2025학년도 2학기,나노바이오공학,월12:00-13:15【62306】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【62306】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,0,0
2025학년도 2학기,자연과학연구학점1,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학연구학점2,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학연구학점3,미지정,미지정,일반수업,0,0,0
2025학년도 2학기,자연과학과인문학,"금15:00-16:15【32255】,금16:30-17:45【32255】","금15:00-16:15【32255】,금16:30-17:45【32255】",일반수업,32,0,0
2025학년도 2학기,전자기학1,"월16:30-17:45【32255】,수15:00-16:15【32255】","월16:30-17:45【32255】,수15:00-16:15【32255】",일반수업,32,72,1
2025학년도 2학기,양자역학2,"화10:30-11:45【31214】,목09:00-10:15【31214】","화10:30-11:45【31214】,목09:00-10:15【31214】",일반수업,31,42,1
