요일,시각,21,22,23,24,33,40,53,71,83,85,86,25_26_27,31_32,51_61_62
월,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,09:00,118,134,0,0,20,63,66,0,0,0,60,209,130,0
월,09:30,118,134,0,0,20,63,66,0,0,0,60,209,130,0
월,10:00,118,134,0,0,20,63,78,0,0,0,60,209,130,0
월,10:30,63,246,0,0,0,232,78,0,0,63,60,473,78,43
월,11:00,63,246,0,0,0,232,78,0,0,63,60,473,87,43
월,11:30,63,246,0,0,0,232,78,0,0,63,60,473,87,43
월,12:00,60,125,0,0,30,20,0,0,28,67,0,382,52,60
월,12:30,60,125,0,0,30,20,0,0,28,67,0,382,52,60
월,13:00,60,125,0,0,30,20,36,0,28,67,0,382,43,60
월,13:30,73,238,0,0,0,93,36,0,27,0,0,431,84,56
월,14:00,73,238,0,0,0,93,36,0,27,0,0,431,84,56
월,14:30,73,238,0,0,0,93,36,0,27,0,0,431,84,56
월,15:00,0,97,0,0,0,43,40,0,5,0,0,210,0,93
월,15:30,0,97,0,0,0,43,40,0,5,0,0,210,0,93
월,16:00,0,97,0,0,0,43,40,0,5,0,0,210,0,93
월,16:30,60,253,0,0,0,26,40,0,0,11,0,328,19,48
월,17:00,60,253,0,0,0,26,0,0,0,11,0,328,19,66
월,17:30,60,253,0,0,0,26,0,0,0,11,0,328,19,66
월,18:00,0,84,50,27,0,0,0,0,0,52,0,118,38,45
월,18:30,0,84,50,27,0,0,0,0,0,52,0,118,38,45
월,19:00,0,84,50,27,0,0,0,0,0,52,0,118,38,27
월,19:30,0,49,50,27,0,0,0,0,0,52,0,86,38,27
월,20:00,0,49,50,27,0,0,0,0,0,52,0,86,16,27
월,20:30,0,49,50,27,0,0,0,0,0,52,0,86,16,27
월,21:00,0,49,50,27,0,0,0,0,0,52,0,18,16,0
월,21:30,0,49,50,27,0,0,0,0,0,52,0,18,16,0
화,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,09:00,141,176,0,0,89,0,173,0,0,66,0,289,69,82
화,09:30,141,176,0,0,89,0,173,0,0,66,0,289,69,82
화,10:00,141,176,0,0,89,0,173,0,0,66,0,289,69,82
화,10:30,180,417,73,0,0,73,173,0,0,0,0,334,67,56
화,11:00,180,417,73,0,0,73,173,0,0,0,0,334,67,56
화,11:30,180,417,73,0,0,73,173,0,0,0,0,334,67,56
화,12:00,103,139,0,0,45,64,0,0,0,130,0,327,102,32
화,12:30,103,139,0,0,45,64,0,0,0,130,0,327,102,32
화,13:00,103,139,0,0,45,64,114,0,0,130,0,327,102,32
화,13:30,0,173,65,0,106,99,181,0,0,0,35,156,60,39
화,14:00,0,173,65,0,106,99,181,0,0,0,35,156,60,39
화,14:30,0,173,65,0,106,99,181,0,0,0,35,156,60,39
화,15:00,12,106,76,0,114,113,66,0,0,0,0,308,33,88
화,15:30,12,106,76,0,114,113,66,0,0,0,0,308,33,88
화,16:00,12,106,76,0,114,113,0,0,0,0,0,308,33,88
